"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","2","1","1","1","1","2","1","2","1","3","3","1","2","4","1","4","8"
"2","1","2","1","1","1","1","2","2","4","4","3","3","1","3","3","1","8"
"3","2","1","1","1","1","2","1","2","3","2","1","2","1","2","4","1","2"
"4","2","2","2","2","1","1","1","1","2","3","3","2","2","2","3","1","1"
"5","2","1","2","1","2","1","1","1","2","1","3","1","1","2","4","4","4"
"6","2","2","1","1","1","2","2","1","2","4","3","4","4","1","3","3","5"
"7","2","1","2","1","2","1","1","1","4","4","2","3","2","1","1","4","10"
"8","1","2","2","1","2","2","2","1","4","3","4","1","2","2","2","1","2"
"9","2","1","2","2","1","1","2","2","1","2","4","2","2","1","3","3","4"
"10","1","1","2","2","1","2","2","1","3","2","3","1","4","2","4","3","5"
"11","2","1","2","2","1","1","2","2","3","3","1","4","1","2","2","3","10"
"12","1","1","2","1","2","2","1","2","2","1","3","4","2","3","4","1","9"
"13","2","2","1","2","2","2","1","2","4","1","2","2","1","3","4","3","3"
"14","2","2","1","1","1","2","2","1","1","3","2","3","1","1","4","1","7"
"15","2","1","2","1","2","1","1","1","3","1","1","3","4","2","3","2","8"
"16","2","2","1","2","2","2","1","2","2","2","3","3","1","1","2","4","9"
"17","2","1","1","2","2","2","2","1","2","4","4","2","1","3","2","3","8"
"18","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"19","1","2","2","1","2","2","2","1","4","3","2","4","1","2","3","4","4"
"20","1","2","1","1","1","1","2","2","2","1","2","3","4","4","4","3","2"
"21","1","1","1","2","2","1","2","2","3","4","2","1","3","2","1","4","9"
"22","1","1","1","1","1","1","1","1","2","3","2","4","1","3","1","2","5"
"23","1","1","2","2","1","2","2","1","4","4","4","4","4","4","4","4","1"
"24","1","1","2","2","1","2","2","1","1","2","4","3","1","4","3","2","9"
"25","2","2","2","2","1","1","1","1","4","2","3","2","4","4","1","4","7"
"26","1","1","1","2","2","1","2","2","4","3","3","1","1","4","3","3","7"
"27","2","2","1","2","2","2","1","2","1","3","4","3","3","2","4","4","5"
"28","1","1","1","1","1","1","1","1","4","3","1","2","4","1","2","3","9"
"29","2","1","1","1","1","2","1","2","2","2","4","1","4","3","3","2","10"
"30","1","2","1","2","2","1","1","1","1","2","3","1","4","3","2","1","4"
"31","1","1","1","1","1","1","1","1","3","4","4","2","2","3","4","4","7"
"32","1","2","2","1","2","2","2","1","1","3","1","2","4","3","4","2","10"
"33","2","1","2","1","2","1","1","1","1","4","3","4","3","4","2","3","2"
"34","1","2","2","1","2","2","2","1","2","4","1","2","1","4","2","4","6"
"35","2","2","1","1","1","2","2","1","3","2","2","3","3","3","2","4","1"
"36","2","1","2","2","1","1","2","2","4","2","2","4","3","1","4","1","8"
"37","2","2","1","2","2","2","1","2","4","1","1","4","4","4","1","3","1"
"38","2","2","2","1","2","1","2","2","4","2","1","2","2","3","1","1","5"
"39","2","2","1","1","1","2","2","1","1","1","4","4","2","2","1","3","9"
"40","1","2","1","1","1","1","2","2","2","1","4","2","3","4","1","2","4"
"41","1","1","1","1","1","1","1","1","1","4","2","2","3","2","3","3","3"
"42","2","1","1","2","2","2","2","1","4","1","2","1","2","1","3","2","2"
"43","2","1","1","1","1","2","1","2","4","4","4","1","4","2","2","1","6"
"44","1","1","1","2","2","1","2","2","2","3","1","1","4","1","4","4","3"
"45","1","1","2","1","2","2","1","2","3","3","3","3","3","3","3","3","1"
"46","1","2","1","2","2","1","1","1","1","2","1","4","3","3","3","4","2"
"47","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","1"
"48","2","2","2","2","1","1","1","1","2","3","4","4","3","1","2","1","3"
"49","2","1","2","2","1","1","2","2","2","3","4","3","4","3","1","4","2"
"50","2","2","2","1","2","1","2","2","3","1","4","1","3","3","2","3","7"
"51","2","2","1","2","2","2","1","2","2","4","1","4","2","2","3","2","7"
"52","2","2","1","1","1","2","2","1","3","2","1","1","2","4","3","4","3"
"53","2","2","2","1","2","1","2","2","1","4","3","3","4","2","1","2","3"
"54","2","1","2","2","1","1","2","2","1","1","1","4","1","3","3","4","6"
"55","2","1","1","2","2","2","2","1","3","3","3","2","3","1","1","2","6"
"56","1","2","1","2","2","1","1","1","4","2","4","3","1","2","1","3","10"
"57","1","1","2","2","1","2","2","1","4","1","3","3","2","3","2","2","3"
"58","1","2","2","2","1","2","1","2","3","4","1","3","2","1","4","3","4"
"59","1","2","1","2","2","1","1","1","3","1","4","3","4","1","3","1","6"
"60","1","1","2","1","2","2","1","2","3","2","4","4","1","4","1","1","3"
"61","2","1","2","1","2","1","1","1","2","2","2","3","2","4","4","3","6"
"62","1","2","1","2","2","1","1","1","3","3","4","4","2","4","4","2","8"
"63","1","2","2","2","1","2","1","2","3","4","3","2","1","1","1","2","2"
"64","1","2","1","1","1","1","2","2","4","2","3","4","3","2","4","2","6"
"65","1","1","2","1","2","2","1","2","1","2","2","4","4","1","2","2","7"
"66","2","1","1","2","2","2","2","1","3","4","2","4","4","3","1","1","4"
"67","1","1","2","2","1","2","2","1","2","1","1","3","3","2","1","1","7"
"68","2","2","2","2","1","1","1","1","4","4","1","1","3","3","4","2","9"
"69","2","1","1","1","1","2","1","2","4","3","1","3","3","4","2","2","4"
"70","1","2","2","2","1","2","1","2","1","3","2","1","2","3","1","3","6"
"71","1","2","2","1","2","2","2","1","2","2","1","1","3","1","1","3","8"
"72","1","2","2","2","1","2","1","2","2","4","2","1","3","4","3","1","10"
"73","2","2","2","1","2","1","2","2","3","3","2","2","4","4","3","1","9"
"74","2","1","1","2","2","2","2","1","1","1","3","2","3","4","4","1","10"
"75","1","1","2","1","2","2","1","2","4","1","4","2","3","1","3","4","5"
"76","1","2","2","2","1","2","1","2","1","1","2","2","4","2","2","4","8"
"77","1","1","1","2","2","1","2","2","1","4","1","3","2","4","2","1","5"
"78","2","2","2","2","1","1","1","1","3","1","2","1","1","4","2","2","5"
"79","1","2","1","1","1","1","2","2","3","1","3","4","2","1","2","4","10"
"80","2","2","2","1","2","1","2","2","1","4","4","1","1","1","4","2","1"
