,A,B,C
1,1,1,4
2,1,2,6
3,1,3,9
4,1,1,8
5,1,2,2
6,1,3,1
7,1,1,3
8,1,2,10
9,1,3,10
10,1,1,10
11,1,2,9
12,1,3,1
13,1,1,3
14,1,2,4
15,1,3,5
16,1,1,2
17,1,2,7
18,1,3,11
19,1,1,5
20,1,2,7
21,1,3,6
22,1,1,5
23,1,2,6
24,1,3,8
25,1,1,11
26,1,2,1
27,1,3,3
28,1,1,9
29,1,2,11
30,1,3,2
31,1,1,4
32,1,2,8
33,1,3,7
34,2,1,2
35,2,2,4
36,2,3,4
37,2,1,6
38,2,2,5
39,2,3,6
40,2,1,1
41,2,2,10
42,2,3,8
43,2,1,7
44,2,2,1
45,2,3,3
46,2,1,8
47,2,2,11
48,2,3,10
49,2,1,10
50,2,2,5
51,2,3,11
52,2,1,6
53,2,2,3
54,2,3,4
55,2,1,9
56,2,2,9
57,2,3,9
58,2,1,11
59,2,2,2
60,2,3,5
61,2,1,1
62,2,2,3
63,2,3,7
64,2,1,7
65,2,2,8
66,2,3,2
