"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","2","1","2","1","1","4","1","1","4","4","2","2","4","5","3","2","2"
"2","1","1","1","1","1","2","3","2","2","2","4","1","8","5","7","3","3"
"3","2","2","2","2","2","2","2","1","4","1","2","1","2","1","7","6","7"
"4","2","2","2","2","1","3","2","4","1","3","1","1","4","4","2","7","3"
"5","1","1","2","2","2","1","4","3","1","4","4","3","4","3","7","1","1"
"6","2","1","1","2","4","3","1","2","4","4","3","4","1","4","7","5","6"
"7","2","2","2","2","4","2","1","3","3","3","3","1","7","2","3","3","1"
"8","2","1","2","1","4","1","2","2","2","4","4","2","7","7","2","6","4"
"9","1","1","1","1","2","1","2","4","4","3","4","1","5","2","5","5","2"
"10","1","1","1","1","1","4","2","1","1","1","3","1","7","3","4","8","6"
"11","1","2","1","2","2","2","1","1","1","4","3","2","5","7","8","4","3"
"12","1","2","1","2","1","1","4","3","3","1","3","2","8","4","6","6","2"
"13","1","1","2","2","3","4","3","4","3","4","2","3","7","1","6","5","3"
"14","2","1","1","2","3","2","1","3","1","2","4","4","3","1","2","8","2"
"15","1","1","2","2","1","2","1","1","3","1","4","3","1","8","5","7","4"
"16","1","1","2","2","4","1","3","1","2","2","1","3","5","4","3","8","7"
"17","2","2","2","2","4","4","4","4","4","4","4","1","8","8","8","8","8"
"18","1","1","2","2","1","4","4","2","4","2","3","3","2","2","2","4","5"
"19","2","2","2","2","3","1","4","1","1","2","3","1","6","5","1","5","4"
"20","2","1","1","2","4","1","4","1","3","3","4","4","2","6","4","2","3"
"21","1","2","1","2","3","3","2","2","3","4","1","2","2","5","5","8","1"
"22","1","2","2","1","3","1","1","2","1","4","2","4","8","2","4","7","7"
"23","2","1","1","2","2","3","2","4","3","2","2","4","8","3","3","4","4"
"24","1","1","2","2","2","3","1","4","2","3","3","3","3","5","4","6","8"
"25","2","1","2","1","2","3","4","3","2","1","2","2","1","2","1","8","3"
"26","1","2","2","1","1","3","3","3","1","1","4","4","2","7","3","5","8"
"27","1","2","1","2","3","1","3","1","4","3","2","2","1","3","2","3","8"
"28","1","2","2","1","2","4","2","1","3","4","4","4","3","4","1","3","5"
"29","1","1","1","1","3","4","1","3","2","3","2","1","2","4","8","1","4"
"30","1","2","2","1","3","3","4","1","2","3","1","4","7","8","7","4","2"
"31","1","1","1","1","3","2","4","4","1","4","1","1","1","6","3","6","5"
"32","2","2","1","1","3","1","2","2","4","1","3","3","3","8","3","1","3"
"33","2","2","1","1","1","1","1","4","3","3","2","3","6","7","7","8","5"
"34","1","2","1","2","2","4","4","2","2","3","4","2","6","1","3","7","6"
"35","2","2","1","1","2","4","1","1","2","1","1","3","8","6","2","5","1"
"36","2","2","2","2","2","4","3","2","3","2","1","1","1","7","4","1","2"
"37","1","2","2","1","4","4","1","3","4","2","1","4","6","3","5","6","3"
"38","1","2","1","2","4","4","3","4","1","1","1","2","3","2","7","2","4"
"39","2","2","1","1","3","3","3","1","3","2","4","3","4","2","8","6","6"
"40","2","2","1","1","4","4","2","3","1","3","4","3","1","5","6","4","7"
"41","1","2","1","2","1","3","1","4","4","2","4","2","7","6","1","1","7"
"42","2","1","1","2","3","4","4","4","2","1","3","4","4","7","5","3","7"
"43","2","1","2","1","3","4","2","3","3","2","3","2","5","6","7","7","8"
"44","2","1","2","1","4","3","3","1","1","3","3","2","8","1","5","1","5"
"45","1","2","2","1","2","2","3","2","4","3","3","4","4","6","6","8","4"
"46","2","1","1","2","1","2","2","1","2","4","1","4","6","2","6","1","8"
"47","2","2","1","1","1","3","4","3","4","4","1","3","5","1","4","3","4"
"48","1","1","1","1","2","3","3","3","3","4","3","1","6","8","2","2","7"
"49","2","1","2","1","2","1","1","4","1","2","1","2","2","8","6","3","6"
"50","2","1","2","1","1","2","4","2","3","3","1","2","3","3","8","5","7"
"51","2","2","1","1","2","2","4","2","1","2","2","3","7","4","5","2","8"
"52","2","1","2","1","3","2","3","4","4","1","4","2","6","4","4","4","1"
"53","1","2","1","2","4","2","2","3","2","2","2","2","4","8","4","5","5"
"54","2","1","1","2","1","4","3","2","1","3","2","4","5","8","1","6","1"
"55","1","2","2","1","1","1","2","4","2","2","3","4","1","1","8","2","1"
"56","2","2","1","1","4","2","3","4","2","4","3","3","2","3","1","7","2"
"57","1","1","1","1","4","1","1","2","3","1","1","1","4","1","1","4","8"
"58","2","2","2","2","1","1","3","3","2","4","2","1","3","6","5","4","6"
"59","1","1","2","2","3","2","2","3","4","3","1","3","8","7","1","2","6"
"60","1","2","2","1","4","2","4","4","3","1","2","4","5","5","2","1","6"
"61","2","1","1","2","2","1","3","3","4","1","1","4","7","5","8","7","5"
"62","1","1","1","1","4","3","4","1","4","2","2","1","3","7","6","7","1"
"63","2","2","2","2","3","3","1","2","2","1","4","1","5","3","6","2","5"
"64","1","1","2","2","4","3","2","2","1","1","2","3","6","6","8","3","2"
