"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","1","1","2","2","1","2","2","1","1","1","1","1","1","2","4","4","3","3","3"
"2","2","2","1","1","2","2","1","2","1","2","1","2","2","1","1","4","3","2","3"
"3","2","1","1","2","2","1","2","1","1","1","2","1","2","1","4","2","4","2","4"
"4","2","2","2","2","2","1","2","2","1","2","1","2","2","2","4","1","1","4","1"
"5","2","2","1","1","2","1","2","2","2","1","1","1","1","2","2","3","4","1","3"
"6","2","2","1","1","1","2","2","1","1","1","2","2","1","3","3","2","1","4","3"
"7","2","1","2","1","2","2","1","1","1","1","2","1","2","2","1","3","2","4","2"
"8","1","2","1","2","2","1","2","1","2","2","1","1","1","4","1","2","3","4","2"
"9","2","2","2","2","1","1","1","1","1","1","2","2","1","4","2","3","3","2","1"
"10","2","1","1","2","1","2","2","2","2","1","1","2","2","4","1","3","1","3","4"
"11","2","1","1","2","1","1","1","2","1","2","1","1","1","3","2","4","2","4","4"
"12","1","1","1","1","2","1","2","2","1","2","2","1","2","3","3","3","3","3","1"
"13","1","1","2","2","1","1","1","1","2","2","1","2","2","1","3","3","4","4","3"
"14","1","2","1","2","2","2","1","1","1","1","1","2","2","3","2","1","4","3","2"
"15","1","1","2","2","2","2","1","2","1","2","2","1","2","4","2","2","1","1","3"
"16","1","1","1","1","1","2","2","1","2","2","1","2","2","2","2","2","2","2","1"
"17","1","2","2","1","1","1","1","2","1","2","2","2","1","2","1","2","4","3","4"
"18","1","2","2","1","1","2","2","2","2","1","2","1","2","1","2","1","3","4","4"
"19","2","1","2","1","1","1","1","2","2","1","1","2","2","3","4","2","3","1","2"
"20","2","1","1","2","2","2","1","1","2","2","2","2","1","2","3","1","3","1","4"
"21","1","2","2","1","2","1","2","1","1","1","1","2","2","4","3","4","2","1","4"
"22","2","2","1","1","1","1","1","1","2","2","2","1","2","4","4","1","2","3","3"
"23","2","1","2","1","1","2","2","2","1","2","1","1","1","4","3","1","4","2","2"
"24","1","2","2","1","2","2","1","1","2","2","1","1","1","3","4","3","1","2","4"
"25","1","2","1","2","1","1","1","2","2","1","2","1","2","2","3","4","1","2","2"
"26","1","1","2","2","2","1","2","2","2","1","2","2","1","3","1","1","2","2","3"
"27","1","1","1","1","2","2","1","2","2","1","2","2","1","4","4","4","4","4","1"
"28","2","2","2","2","1","2","2","1","2","2","2","1","2","3","1","4","4","1","1"
"29","1","2","1","2","1","2","2","2","1","2","2","2","1","1","4","3","2","1","2"
"30","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"31","2","1","2","1","2","1","2","1","2","2","2","2","1","1","2","4","1","3","2"
"32","2","2","2","2","2","2","1","2","2","1","1","1","1","1","3","2","2","3","1"
