"","A","B","C","D","E","F","G","H","J"
"1","2","2","2","2","2","2","2","2","1"
"2","2","1","2","1","1","2","1","2","6"
"3","2","2","2","2","1","1","1","1","5"
"4","1","2","1","2","2","1","2","1","6"
"5","1","1","1","1","2","2","2","2","5"
"6","1","2","2","1","2","1","1","2","8"
"7","2","2","1","1","2","2","1","1","3"
"8","1","2","1","2","1","2","1","2","2"
"9","2","1","2","1","2","1","2","1","2"
"10","2","1","1","2","1","2","2","1","8"
"11","2","1","1","2","2","1","1","2","4"
"12","2","2","1","1","1","1","2","2","7"
"13","1","1","1","1","1","1","1","1","1"
"14","1","1","2","2","2","2","1","1","7"
"15","1","1","2","2","1","1","2","2","3"
"16","1","2","2","1","1","2","2","1","4"
