"","A","B","C","D","E","F","G"
"1","2","2","1","1","2","1","2"
"2","1","2","2","1","2","2","1"
"3","1","2","1","2","1","2","2"
"4","1","1","1","1","1","1","1"
"5","2","1","1","2","2","2","1"
"6","2","2","2","2","1","1","1"
"7","2","1","2","1","1","2","2"
"8","1","1","2","2","2","1","2"
