"","A","B","C","D","E","F","G","H","J","K"
"1","1","2","2","2","1","3","1","6","3","5"
"2","1","2","3","3","1","1","3","2","2","3"
"3","1","3","3","1","2","3","2","6","1","6"
"4","3","2","1","2","1","2","2","3","5","6"
"5","2","2","3","2","2","2","1","4","4","1"
"6","1","1","1","1","1","1","1","1","1","1"
"7","3","2","2","1","2","1","1","5","6","2"
"8","3","1","2","1","3","1","3","4","3","6"
"9","3","3","3","3","3","1","1","1","5","5"
"10","1","1","2","2","2","2","2","1","2","2"
"11","1","2","1","1","2","1","3","3","4","5"
"12","1","3","3","1","1","2","3","4","5","2"
"13","3","3","2","2","1","3","3","1","4","4"
"14","1","1","3","2","3","1","2","3","6","4"
"15","3","1","1","3","1","2","3","6","6","1"
"16","2","1","3","2","3","2","3","5","1","5"
"17","3","3","2","3","2","2","1","3","1","3"
"18","1","1","2","3","3","2","1","2","4","6"
"19","3","3","3","2","2","1","2","2","3","1"
"20","2","3","1","2","1","1","1","5","2","6"
"21","2","3","2","1","3","3","3","3","2","1"
"22","3","2","3","1","3","2","1","6","2","4"
"23","3","1","3","1","1","3","2","5","4","3"
"24","3","1","1","3","2","3","2","4","2","5"
"25","1","2","2","3","3","3","2","5","5","1"
"26","2","2","1","1","3","2","2","1","3","3"
"27","2","1","3","3","1","3","1","3","3","2"
"28","1","3","1","3","2","2","3","5","3","4"
"29","2","3","2","1","1","2","2","2","6","5"
"30","2","2","2","3","1","1","2","4","1","4"
"31","2","1","1","1","2","3","1","2","5","4"
"32","1","3","1","2","3","3","1","4","6","3"
"33","2","3","1","3","3","1","2","6","4","2"
"34","2","2","3","3","2","3","3","1","6","6"
"35","3","2","1","2","3","3","3","2","1","2"
"36","2","1","2","2","2","1","3","6","5","3"
