"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","4","1","3","2","3","2","4","1","2","3","1","4","1","4","2","3","14"
"2","3","4","1","2","2","1","4","3","4","3","2","1","1","2","3","4","8"
"3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"4","4","2","1","3","4","2","1","3","4","2","1","3","4","2","1","3","9"
"5","4","2","1","3","1","3","4","2","3","1","2","4","2","4","3","1","12"
"6","2","1","4","3","1","2","3","4","4","3","2","1","3","4","1","2","6"
"7","3","2","4","1","2","3","1","4","4","1","3","2","1","4","2","3","16"
"8","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","5"
"9","1","2","3","4","4","3","2","1","2","1","4","3","3","4","1","2","8"
"10","1","3","4","2","1","3","4","2","1","3","4","2","1","3","4","2","9"
"11","2","4","3","1","3","1","2","4","1","3","4","2","4","2","1","3","12"
"12","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1"
"13","3","4","1","2","4","3","2","1","1","2","3","4","2","1","4","3","6"
"14","1","1","1","1","4","4","4","4","2","2","2","2","3","3","3","3","4"
"15","2","3","1","4","4","1","3","2","3","2","4","1","1","4","2","3","15"
"16","3","4","1","2","1","2","3","4","2","1","4","3","4","3","2","1","7"
"17","4","4","4","4","1","1","1","1","3","3","3","3","2","2","2","2","4"
"18","3","2","4","1","1","4","2","3","2","3","1","4","4","1","3","2","15"
"19","1","4","2","3","2","3","1","4","3","2","4","1","4","1","3","2","14"
"20","2","2","2","2","4","4","4","4","3","3","3","3","1","1","1","1","3"
"21","3","1","2","4","4","2","1","3","1","3","4","2","2","4","3","1","10"
"22","1","2","3","4","2","1","4","3","3","4","1","2","4","3","2","1","6"
"23","4","4","4","4","2","2","2","2","1","1","1","1","3","3","3","3","3"
"24","4","1","3","2","4","1","3","2","4","1","3","2","4","1","3","2","13"
"25","2","3","1","4","1","4","2","3","4","1","3","2","3","2","4","1","14"
"26","1","4","2","3","3","2","4","1","4","1","3","2","2","3","1","4","15"
"27","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1"
"28","3","2","4","1","3","2","4","1","3","2","4","1","3","2","4","1","13"
"29","2","1","4","3","2","1","4","3","2","1","4","3","2","1","4","3","5"
"30","3","1","2","4","3","1","2","4","3","1","2","4","3","1","2","4","9"
"31","3","2","4","1","4","1","3","2","1","4","2","3","2","3","1","4","14"
"32","4","1","3","2","1","4","2","3","3","2","4","1","2","3","1","4","16"
"33","3","1","2","4","1","3","4","2","2","4","3","1","4","2","1","3","11"
"34","2","4","3","1","2","4","3","1","2","4","3","1","2","4","3","1","9"
"35","3","1","2","4","2","4","3","1","4","2","1","3","1","3","4","2","12"
"36","4","4","4","4","3","3","3","3","2","2","2","2","1","1","1","1","2"
"37","2","4","3","1","4","2","1","3","3","1","2","4","1","3","4","2","11"
"38","1","3","4","2","2","4","3","1","3","1","2","4","4","2","1","3","10"
"39","1","3","4","2","4","2","1","3","2","4","3","1","3","1","2","4","12"
"40","3","3","3","3","1","1","1","1","2","2","2","2","4","4","4","4","3"
"41","1","4","2","3","4","1","3","2","2","3","1","4","3","2","4","1","16"
"42","2","2","2","2","3","3","3","3","1","1","1","1","4","4","4","4","4"
"43","4","2","1","3","3","1","2","4","2","4","3","1","1","3","4","2","10"
"44","2","3","1","4","2","3","1","4","2","3","1","4","2","3","1","4","13"
"45","2","4","3","1","1","3","4","2","4","2","1","3","3","1","2","4","10"
"46","2","3","1","4","3","2","4","1","1","4","2","3","4","1","3","2","16"
"47","4","1","3","2","2","3","1","4","1","4","2","3","3","2","4","1","15"
"48","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","2"
"49","4","3","2","1","3","4","1","2","2","1","4","3","1","2","3","4","6"
"50","2","2","2","2","1","1","1","1","4","4","4","4","3","3","3","3","2"
"51","2","1","4","3","4","3","2","1","3","4","1","2","1","2","3","4","7"
"52","4","3","2","1","4","3","2","1","4","3","2","1","4","3","2","1","5"
"53","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","5"
"54","3","3","3","3","2","2","2","2","4","4","4","4","1","1","1","1","4"
"55","4","2","1","3","2","4","3","1","1","3","4","2","3","1","2","4","11"
"56","4","3","2","1","1","2","3","4","3","4","1","2","2","1","4","3","8"
"57","2","1","4","3","3","4","1","2","1","2","3","4","4","3","2","1","8"
"58","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"59","4","3","2","1","2","1","4","3","1","2","3","4","3","4","1","2","7"
"60","1","1","1","1","3","3","3","3","4","4","4","4","2","2","2","2","3"
"61","3","3","3","3","4","4","4","4","1","1","1","1","2","2","2","2","2"
"62","1","3","4","2","3","1","2","4","4","2","1","3","2","4","3","1","11"
"63","1","2","3","4","3","4","1","2","4","3","2","1","2","1","4","3","7"
"64","1","4","2","3","1","4","2","3","1","4","2","3","1","4","2","3","13"
