"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","1","1","1","1","2","2","1","1","2","1","2","1","1","1","8","2","5","3","6","4","7"
"2","2","1","2","1","1","1","1","1","1","1","1","1","2","2","8","3","4","7","5","2","6"
"3","1","1","1","1","2","1","2","1","1","2","2","1","1","1","3","8","7","4","2","5","6"
"4","2","2","1","1","2","1","1","2","2","2","1","2","1","2","1","3","2","4","6","8","3"
"5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"6","2","2","2","2","2","1","2","1","1","2","2","1","1","1","2","4","1","3","5","7","3"
"7","2","2","1","1","2","1","2","1","1","2","2","2","1","2","4","1","5","8","3","2","4"
"8","2","1","2","1","1","2","2","1","2","2","1","1","2","2","3","5","2","8","1","7","7"
"9","1","2","2","1","2","2","2","2","1","1","1","2","2","1","3","7","1","5","6","2","5"
"10","2","1","2","1","2","1","2","1","1","2","2","1","2","2","6","6","6","6","6","6","1"
"11","2","1","1","2","2","2","1","1","2","1","2","2","2","1","3","1","4","2","8","6","3"
"12","1","2","2","1","2","1","1","2","2","2","1","2","2","1","8","1","3","6","2","7","8"
"13","1","2","1","2","1","1","1","1","1","1","1","1","2","2","5","7","6","8","2","4","3"
"14","1","2","1","2","2","1","1","2","2","2","1","1","2","2","6","4","7","1","8","2","7"
"15","2","2","2","2","2","2","1","1","2","1","2","1","1","1","5","6","3","4","1","2","2"
"16","2","2","2","2","1","1","2","2","2","1","2","1","1","1","1","7","4","6","3","5","7"
"17","1","2","1","2","2","2","1","1","2","1","2","1","2","2","4","8","2","6","5","1","5"
"18","2","2","2","2","2","1","1","2","2","2","1","1","1","1","3","2","6","7","4","1","4"
"19","2","1","1","2","2","1","2","1","1","2","2","2","2","1","8","7","2","1","4","3","2"
"20","1","2","1","2","2","1","2","1","1","2","2","1","2","2","7","2","4","5","1","8","8"
"21","1","1","2","2","2","1","2","1","1","2","2","2","1","2","1","5","3","7","8","4","5"
"22","1","1","2","2","2","2","2","2","1","1","1","2","1","2","7","1","6","4","5","3","7"
"23","1","1","2","2","1","1","1","1","1","1","1","2","1","2","3","4","5","6","7","8","2"
"24","2","1","1","2","1","1","1","1","1","1","1","2","2","1","6","2","8","4","3","7","5"
"25","2","1","2","1","2","1","1","2","2","2","1","1","2","2","7","8","1","2","3","4","2"
"26","1","2","1","2","1","2","1","2","1","2","2","1","2","2","3","3","3","3","3","3","1"
"27","2","2","1","1","2","2","1","1","2","1","2","2","1","2","7","7","7","7","7","7","1"
"28","1","2","2","1","1","2","2","1","2","2","1","2","2","1","4","4","4","4","4","4","1"
"29","1","1","2","2","2","1","1","2","2","2","1","2","1","2","4","7","8","3","1","6","6"
"30","1","1","2","2","2","2","1","1","2","1","2","2","1","2","6","3","1","8","4","5","8"
"31","1","2","1","2","1","2","2","1","2","2","1","1","2","2","2","1","8","7","6","5","2"
"32","1","1","1","1","1","2","1","2","1","2","2","1","1","1","7","5","8","6","4","2","3"
"33","2","2","2","2","1","2","1","2","1","2","2","1","1","1","6","1","2","5","7","4","6"
"34","2","1","2","1","1","2","1","2","1","2","2","1","2","2","2","7","5","4","8","1","8"
"35","1","2","1","2","1","1","2","2","2","1","2","1","2","2","8","5","1","4","7","6","4"
"36","1","1","2","2","1","2","2","1","2","2","1","2","1","2","8","6","7","5","3","1","3"
"37","1","2","2","1","2","1","2","1","1","2","2","2","2","1","5","3","8","2","7","1","7"
"38","1","1","2","2","1","1","2","2","2","1","2","2","1","2","2","2","2","2","2","2","1"
"39","2","2","2","2","1","2","2","1","2","2","1","1","1","1","7","3","5","1","2","6","5"
"40","2","2","1","1","1","1","1","1","1","1","1","2","1","2","2","8","3","5","4","6","7"
"41","2","1","2","1","2","2","1","1","2","1","2","1","2","2","1","4","8","5","2","3","4"
"42","1","1","1","1","1","1","2","2","2","1","2","1","1","1","4","3","6","5","8","7","2"
"43","2","2","1","1","2","2","2","2","1","1","1","2","1","2","6","5","4","3","2","1","2"
"44","1","1","2","2","1","2","1","2","1","2","2","2","1","2","5","8","4","1","6","7","4"
"45","1","2","2","1","1","2","1","2","1","2","2","2","2","1","1","2","7","8","5","6","2"
"46","1","2","2","1","1","1","2","2","2","1","2","2","2","1","6","8","5","7","1","3","3"
"47","1","1","1","1","1","2","2","1","2","2","1","1","1","1","6","7","3","2","5","8","4"
"48","2","2","1","1","1","1","2","2","2","1","2","2","1","2","3","6","8","1","5","4","8"
"49","2","1","1","2","2","2","2","2","1","1","1","2","2","1","2","3","7","6","1","4","4"
"50","2","2","1","1","1","2","1","2","1","2","2","2","1","2","8","4","6","2","1","5","5"
"51","2","1","1","2","1","2","1","2","1","2","2","2","2","1","4","6","1","7","2","8","7"
"52","2","2","1","1","1","2","2","1","2","2","1","2","1","2","5","2","1","6","8","3","6"
"53","2","1","1","2","1","1","2","2","2","1","2","2","2","1","7","4","3","8","6","1","6"
"54","2","1","1","2","1","2","2","1","2","2","1","2","2","1","1","8","6","3","7","2","8"
"55","1","2","1","2","2","2","2","2","1","1","1","1","2","2","1","6","5","2","4","7","6"
"56","2","2","2","2","1","1","1","1","1","1","1","1","1","1","4","5","7","2","6","3","8"
"57","1","1","1","1","2","2","2","2","1","1","1","1","1","1","5","4","2","7","3","6","8"
"58","2","1","2","1","1","1","2","2","2","1","2","1","2","2","5","1","7","3","4","8","5"
"59","1","2","2","1","2","2","1","1","2","1","2","2","2","1","2","5","6","1","3","8","6"
"60","1","1","1","1","2","1","1","2","2","2","1","1","1","1","2","6","4","8","7","3","5"
"61","2","1","2","1","2","2","2","2","1","1","1","1","2","2","4","2","3","1","7","5","3"
"62","2","2","2","2","2","2","2","2","1","1","1","1","1","1","8","8","8","8","8","8","1"
"63","1","2","2","1","1","1","1","1","1","1","1","2","2","1","7","6","2","3","8","5","4"
"64","2","1","1","2","2","1","1","2","2","2","1","2","2","1","5","5","5","5","5","5","1"
