"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","2","4","3","2","3","2","1","8","1","7","4","1","2"
"2","3","4","1","3","2","3","2","1","2","4","8","1","4"
"3","2","4","4","2","2","3","4","3","6","1","3","7","6"
"4","1","4","3","2","1","3","2","5","5","8","1","6","1"
"5","2","3","4","3","2","1","2","6","1","2","1","8","3"
"6","4","2","3","4","2","4","3","7","2","3","1","7","2"
"7","4","1","4","1","3","3","4","5","2","6","4","2","3"
"8","4","4","4","4","4","4","4","8","8","8","8","8","8"
"9","3","3","4","1","2","3","1","4","7","8","7","4","2"
"10","2","1","4","3","1","4","4","2","4","3","7","1","1"
"11","3","3","2","2","3","4","1","3","2","5","5","8","1"
"12","1","3","4","3","4","4","1","7","5","1","4","3","4"
"13","2","2","1","1","1","4","3","3","5","7","8","4","3"
"14","1","1","1","4","3","3","2","7","6","7","7","8","5"
"15","2","3","2","4","3","2","2","5","8","3","3","4","4"
"16","4","2","4","4","3","1","2","4","5","5","2","1","6"
"17","4","3","3","1","1","3","3","6","8","1","5","1","5"
"18","1","3","2","4","1","3","1","8","4","4","2","7","3"
"19","3","2","2","3","4","3","1","2","8","7","1","2","6"
"20","1","2","1","1","3","1","4","2","1","8","5","7","4"
"21","1","1","4","3","3","1","3","3","8","4","6","6","2"
"22","4","1","1","2","3","1","1","1","4","1","1","4","8"
"23","3","2","4","4","1","4","1","1","1","6","3","6","5"
"24","3","2","3","4","4","1","4","6","6","4","4","4","1"
"25","3","3","1","2","2","1","4","8","5","3","6","2","5"
"26","2","2","3","2","4","3","3","4","4","6","6","8","4"
"27","2","1","2","4","4","3","4","1","5","2","5","5","2"
"28","2","1","3","3","4","1","1","5","7","5","8","7","5"
"29","2","2","4","2","1","2","2","7","7","4","5","2","8"
"30","4","3","2","2","1","1","2","2","6","6","8","3","2"
"31","1","2","2","1","2","4","1","5","6","2","6","1","8"
"32","3","4","4","4","2","1","3","5","4","7","5","3","7"
"33","2","3","3","3","3","4","3","1","6","8","2","2","7"
"34","4","1","2","2","2","4","4","6","7","7","2","6","4"
"35","1","4","4","2","4","2","3","2","2","2","2","4","5"
"36","3","4","2","3","3","2","3","6","5","6","7","7","8"
"37","1","2","4","2","3","3","1","6","3","3","8","5","7"
"38","1","2","3","2","2","2","4","1","8","5","7","3","3"
"39","4","2","2","3","2","2","2","3","4","8","4","5","5"
"40","3","1","3","1","4","3","2","3","1","3","2","3","8"
"41","3","1","1","2","1","4","2","4","8","2","4","7","7"
"42","3","2","1","3","1","2","4","5","3","1","2","8","2"
"43","2","2","2","1","4","1","2","8","2","1","7","6","7"
"44","4","4","3","4","1","1","1","3","3","2","7","2","4"
"45","4","3","1","2","4","4","3","5","1","4","7","5","6"
"46","4","3","4","1","4","2","2","1","3","7","6","7","1"
"47","4","2","1","3","3","3","3","8","7","2","3","3","1"
"48","3","1","4","1","1","2","3","8","6","5","1","5","4"
"49","1","3","3","3","1","1","4","4","2","7","3","5","8"
"50","1","1","2","4","2","2","3","4","1","1","8","2","1"
"51","2","4","1","1","2","1","1","7","8","6","2","5","1"
"52","4","4","1","3","4","2","1","4","6","3","5","6","3"
"53","4","4","2","3","1","3","4","7","1","5","6","4","7"
"54","1","4","1","1","4","4","2","6","4","5","3","2","2"
"55","2","1","1","4","1","2","1","6","2","8","6","3","6"
"56","1","4","2","1","1","1","3","1","7","3","4","8","6"
"57","3","4","3","4","3","4","2","2","7","1","6","5","3"
"58","2","4","2","1","3","4","4","4","3","4","1","3","5"
"59","2","3","1","4","2","3","3","2","3","5","4","6","8"
"60","1","1","3","3","2","4","2","8","3","6","5","4","6"
"61","3","1","2","2","4","1","3","7","3","8","3","1","3"
"62","3","3","3","1","3","2","4","7","4","2","8","6","6"
"63","1","3","1","4","4","2","4","3","7","6","1","1","7"
"64","4","1","3","1","2","2","1","2","5","4","3","8","7"
