"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"28","1","1","1","1","2","2","2","1","1","2","2","2","1","2","1","2","2","2","1","2","2","1","2","2","1","2","1","2","2","1","1","1","2","1","2","1","1","1","1","4","2","3","5","4","8","3","3","4","8","5","8","1","5"
"29","2","2","1","2","1","2","2","1","1","2","2","2","1","2","1","1","1","2","2","1","1","1","1","1","1","1","2","2","1","1","1","1","2","2","1","1","1","1","2","3","1","4","4","3","1","5","8","2","2","5","2","7","3"
"30","2","2","1","2","1","2","1","2","2","1","2","1","1","1","2","1","2","1","1","1","1","2","2","1","1","1","1","1","1","2","1","2","2","2","1","1","2","2","2","4","3","1","7","7","4","4","4","4","2","7","8","8","5"
"31","1","2","1","2","2","1","2","2","1","2","2","1","2","2","2","2","1","1","1","1","2","1","2","2","1","2","2","1","2","2","2","1","1","2","2","2","2","1","1","2","3","4","7","3","6","2","6","6","1","2","8","3","3"
"32","1","1","1","2","1","2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","1","2","2","1","2","2","1","1","1","1","2","2","1","2","2","1","1","4","2","3","3","3","2","7","2","6","3","7","3","5","6"
"33","1","2","2","2","1","1","2","2","2","1","2","1","2","2","1","1","1","2","2","1","1","1","1","2","2","1","1","1","1","2","2","1","1","2","2","1","2","2","4","3","2","1","5","5","8","2","5","7","5","7","2","1","6"
"34","1","1","2","2","2","2","2","1","1","2","2","1","1","1","2","1","2","1","1","1","1","1","1","2","2","1","2","1","2","1","2","2","1","1","1","1","2","2","2","3","1","4","1","7","2","8","6","3","8","4","4","1","1"
"35","2","1","1","1","1","1","2","2","1","1","1","1","2","2","1","2","2","2","2","1","1","2","2","1","2","2","2","2","1","2","1","2","2","2","1","2","2","1","4","3","2","1","2","2","1","7","6","4","8","4","7","3","7"
"36","1","2","2","2","1","1","1","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","2","2","1","2","2","1","1","2","2","1","2","2","1","1","1","4","4","4","4","2","1","5","7","1","5","5","5","8","2","4"
"37","1","1","2","2","2","2","1","2","2","2","1","2","1","2","2","2","1","1","2","2","1","1","1","2","1","2","2","1","2","2","1","2","2","2","1","1","1","1","4","2","1","3","6","1","1","2","5","5","7","4","3","8","5"
