"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U"
"1","1","1","2","1","1","2","1","2","2","2","1","1","2","2","1","2","2","1","5","3"
"2","2","1","2","1","1","1","2","2","2","1","2","1","2","1","1","1","2","2","1","8"
"3","1","2","1","2","2","2","1","1","1","2","1","1","2","1","2","1","1","1","6","4"
"4","1","2","2","1","2","1","1","1","2","2","1","2","2","1","2","1","1","1","4","8"
"5","2","1","1","2","1","2","2","2","1","1","1","2","2","1","2","1","1","1","4","7"
"6","1","2","1","1","2","1","2","2","2","1","2","1","2","2","1","2","1","1","5","7"
"7","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","2","3","11"
"8","2","2","1","1","1","2","2","2","1","2","2","1","1","1","2","2","2","1","5","4"
"9","1","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","5","10"
"10","1","2","1","2","2","2","1","1","1","2","1","2","1","2","2","2","1","1","1","5"
"11","2","2","2","1","1","1","2","1","1","2","2","2","2","1","1","1","2","1","6","5"
"12","1","2","2","1","1","1","2","1","1","2","1","2","1","2","2","1","1","1","3","2"
"13","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","7"
"14","2","1","1","1","2","2","2","1","2","2","2","1","1","1","2","2","2","1","6","8"
"15","1","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","11"
"16","1","1","2","2","2","1","2","2","1","2","2","1","2","2","1","2","1","1","4","9"
"17","1","2","2","1","2","1","1","1","2","1","1","2","2","2","1","2","2","1","3","9"
"18","1","1","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","2","8"
"19","2","1","2","2","1","2","1","1","1","2","2","1","2","2","1","2","1","1","5","8"
"20","1","1","1","2","2","2","1","2","2","1","1","1","1","2","2","2","1","2","6","8"
"21","2","1","2","1","1","1","2","2","2","1","1","2","1","2","2","2","1","1","1","6"
"22","1","1","2","1","2","2","2","1","1","1","2","1","2","2","1","2","1","1","2","3"
"23","2","1","2","2","1","2","1","1","1","2","2","2","1","2","1","1","2","1","4","3"
"24","2","1","1","1","2","1","1","2","1","2","1","2","2","2","1","2","2","1","4","7"
"25","1","2","2","2","1","2","2","1","2","2","2","2","1","2","2","1","2","1","6","9"
"26","2","2","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","1","2","5"
"27","1","1","2","2","2","1","1","1","2","1","1","2","1","1","2","2","2","1","5","2"
"28","2","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","1","2","4","5"
"29","2","2","2","2","1","2","2","1","2","1","1","1","2","2","2","2","1","2","1","2"
"30","1","1","1","1","2","1","1","2","1","2","2","2","1","1","1","1","2","1","1","2"
"31","2","2","1","1","1","2","2","2","1","2","2","1","2","2","1","1","1","2","5","2"
"32","2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","6","11"
"33","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","8"
"34","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","5"
"35","1","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","4","11"
"36","2","2","2","1","2","1","1","1","2","2","2","1","2","2","2","1","2","1","3","1"
"37","2","1","1","1","2","2","2","1","2","2","1","2","2","1","1","1","2","2","4","2"
"38","1","2","1","1","1","2","1","1","2","1","2","2","2","1","2","2","2","1","2","4"
"39","2","2","1","2","1","1","1","2","2","2","2","2","1","2","1","1","1","2","3","8"
"40","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","3"
"41","2","2","1","2","1","1","1","2","2","2","1","2","2","2","1","2","1","1","2","1"
"42","1","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","6","11"
"43","1","2","1","1","1","2","1","1","2","1","2","2","1","2","1","1","1","2","2","2"
"44","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","2","5","9"
"45","1","2","2","1","2","1","1","1","2","2","2","1","1","2","1","2","2","2","4","6"
"46","1","1","2","1","2","2","2","1","1","1","2","1","1","1","2","1","2","2","2","1"
"47","1","2","1","1","2","1","2","2","2","1","1","2","1","1","2","1","2","2","5","5"
"48","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","2","1","1","10"
"49","1","1","1","2","1","1","2","1","2","2","1","1","1","2","1","1","2","1","5","5"
"50","1","2","1","1","2","1","2","2","2","1","1","1","2","1","2","2","1","2","4","3"
"51","2","2","2","1","2","1","1","1","2","2","2","1","1","1","1","2","1","2","3","3"
"52","2","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","3","10"
"53","2","2","1","2","2","1","2","1","1","1","1","1","2","1","1","2","1","2","3","6"
"54","2","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1"
"55","1","1","1","2","1","2","2","2","1","1","1","2","1","1","1","2","1","2","3","1"
"56","1","1","2","2","2","1","2","2","1","2","1","2","1","1","1","2","2","2","5","11"
"57","2","1","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","2","6","6"
"58","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","5","11"
"59","2","1","2","1","1","1","2","2","2","1","2","2","2","1","2","1","1","1","6","2"
"60","1","2","2","1","2","1","1","1","2","2","1","1","1","2","2","2","1","2","1","10"
"61","2","2","1","2","2","1","2","1","1","1","2","2","1","1","2","1","1","2","5","3"
"62","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","1","2","10"
"63","1","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","2","1","6","6"
"64","2","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","2","11"
"65","1","2","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","6","7"
"66","1","1","1","2","1","1","2","1","2","2","2","1","1","1","1","2","1","1","6","1"
"67","2","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","2","1","1","4"
"68","1","2","1","1","1","2","2","2","1","2","1","2","1","1","1","2","2","2","2","8"
"69","1","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","1","4","8"
"70","1","1","2","1","1","2","1","2","2","2","1","1","2","1","1","2","1","2","3","5"
"71","2","2","2","1","2","2","1","2","1","1","1","1","1","2","1","1","2","1","5","6"
"72","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","2","9"
"73","2","2","2","1","2","2","1","2","1","1","1","1","1","1","1","1","1","1","6","10"
"74","1","2","2","2","1","1","1","2","1","1","1","2","2","2","1","1","1","2","6","5"
"75","1","1","1","2","1","1","2","1","2","2","2","1","2","2","2","1","2","2","6","3"
"76","1","1","1","2","1","1","2","1","2","2","2","2","2","1","2","2","1","2","5","7"
"77","1","1","2","2","2","1","1","1","2","1","1","2","2","2","1","1","1","2","5","4"
"78","1","2","1","1","2","1","2","2","2","1","1","1","1","2","1","1","2","1","4","1"
"79","1","2","2","2","1","2","2","1","2","1","2","1","1","1","2","1","1","2","4","6"
"80","1","2","1","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","2","6"
"81","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","1","3","11"
"82","1","2","2","2","1","1","1","2","1","1","2","1","2","1","1","1","2","2","4","4"
"83","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","1","1"
"84","2","1","2","2","2","1","2","2","1","2","1","1","2","1","2","2","2","1","2","2"
"85","2","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","3"
"86","2","1","1","2","2","2","1","2","2","1","2","1","2","1","1","2","2","2","3","2"
"87","1","2","2","2","1","1","1","2","1","1","2","1","1","2","2","2","1","1","4","2"
"88","2","2","1","2","1","1","1","2","2","2","1","1","2","1","2","2","2","1","3","6"
"89","1","1","2","2","2","1","2","2","1","1","1","1","2","2","2","1","2","2","6","10"
"90","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","2","1","1","2","6"
"91","1","1","2","1","1","2","1","2","2","2","1","1","1","1","2","1","1","2","5","1"
"92","1","1","2","1","1","2","1","2","2","2","2","2","1","2","2","1","2","1","3","7"
"93","2","1","2","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","2","4"
"94","2","1","2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","4","1"
"95","2","1","1","2","1","2","2","2","1","1","2","1","1","2","1","2","2","2","4","5"
"96","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","2","4","11"
"97","1","2","1","2","2","2","1","1","1","2","2","1","2","1","1","1","2","2","1","7"
"98","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","1","6"
"99","2","2","1","2","2","1","2","1","1","1","2","2","1","2","2","1","2","1","3","8"
"100","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","1","2","9"
"101","2","1","2","1","1","1","2","2","2","2","1","2","2","1","2","1","1","1","1","11"
"102","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","1","2","5","8"
"103","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","2","2","2","7"
"104","1","1","1","2","1","2","2","2","1","1","1","2","2","2","2","1","2","1","3","3"
"105","2","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","1","2","6","7"
"106","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","2","6","9"
"107","2","1","2","2","1","2","1","1","1","2","2","1","2","1","1","1","2","2","1","9"
"108","2","2","2","1","2","2","1","2","1","1","1","2","2","2","2","1","2","2","6","1"
"109","1","2","1","1","1","2","2","2","1","2","2","1","2","1","1","1","2","2","3","10"
"110","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5","9"
"111","2","2","1","2","2","1","2","1","1","2","1","2","2","1","2","1","1","1","3","9"
"112","1","1","1","2","2","2","1","2","2","1","2","2","1","2","1","1","1","2","1","9"
"113","2","1","2","2","2","1","1","1","2","1","1","2","1","1","1","2","2","2","2","7"
"114","2","2","1","2","2","1","2","1","1","1","2","2","2","2","1","2","2","1","5","1"
"115","2","1","2","1","1","1","2","2","2","1","2","2","1","2","1","2","2","2","6","4"
"116","2","1","2","2","1","2","1","1","1","1","1","2","2","2","1","2","2","1","2","10"
"117","1","2","2","1","1","1","2","1","1","2","1","2","2","1","1","2","2","2","3","4"
"118","2","1","2","2","1","2","1","1","1","2","1","2","1","1","2","1","2","2","5","6"
"119","1","1","1","1","2","1","1","2","1","2","2","2","2","2","2","2","1","2","1","4"
"120","1","2","1","1","1","2","2","2","1","1","1","2","2","2","1","2","2","1","1","11"
"121","2","2","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","4","10"
"122","2","1","2","2","2","1","1","1","2","1","2","1","2","2","2","1","1","1","2","5"
"123","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","1","2","1","4","10"
"124","2","2","2","1","2","2","1","2","1","1","2","2","2","1","2","2","1","2","4","9"
"125","2","1","1","1","2","2","2","1","2","2","1","2","1","2","2","2","1","1","4","4"
"126","1","1","2","1","2","2","2","1","1","1","2","2","1","2","1","1","1","2","3","7"
"127","2","2","2","1","2","2","1","2","1","1","1","2","1","1","1","2","1","1","6","3"
"128","2","2","1","2","1","1","1","2","2","2","1","2","1","1","2","1","2","2","2","3"
"129","2","1","1","1","2","2","2","1","2","2","2","1","2","2","1","2","1","1","5","10"
"130","1","2","1","2","2","2","1","1","1","2","1","1","1","2","1","2","2","2","6","2"
"131","2","1","1","2","2","2","1","2","2","1","2","1","1","2","2","1","1","1","3","4"
"132","1","1","2","1","2","2","2","1","1","1","1","1","2","1","2","2","2","1","3","5"
