"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","1","2","1","3","1","3","2","3","3","2","1","2","5"
"2","3","3","3","3","1","1","2","2","1","1","2","2","2"
"3","3","2","2","1","1","3","3","2","1","2","3","1","12"
"4","1","3","2","3","2","3","2","1","2","1","3","1","9"
"5","3","2","1","2","2","1","3","1","3","1","3","2","10"
"6","1","1","1","1","1","1","1","1","1","1","1","1","1"
"7","3","1","2","3","1","2","3","1","2","3","1","2","7"
"8","2","2","3","3","1","1","1","1","2","2","3","3","4"
"9","2","2","3","3","2","2","3","3","1","1","1","1","3"
"10","2","2","2","2","2","2","2","2","2","2","2","2","1"
"11","1","2","1","3","3","1","3","2","2","3","2","1","6"
"12","1","2","3","1","3","2","2","1","1","3","3","2","8"
"13","1","1","2","2","3","3","3","3","1","1","2","2","4"
"14","3","3","1","1","2","2","2","2","3","3","1","1","4"
"15","1","1","1","1","2","2","3","3","2","2","3","3","2"
"16","3","2","1","2","1","2","1","3","1","3","2","3","9"
"17","2","3","1","2","1","3","3","2","2","1","1","3","8"
"18","3","1","3","2","3","2","1","2","2","1","3","1","5"
"19","3","1","3","2","2","3","2","1","1","2","1","3","6"
"20","2","1","3","1","3","1","3","2","3","2","1","2","9"
"21","2","1","1","3","3","2","2","1","3","1","2","3","12"
"22","2","1","1","3","2","3","1","2","1","3","3","2","11"
"23","2","3","1","2","3","1","2","3","1","2","3","1","7"
"24","1","2","3","1","2","3","1","2","3","1","2","3","7"
"25","2","3","2","1","2","1","3","1","1","3","2","3","5"
"26","1","1","2","2","1","1","2","2","3","3","3","3","3"
"27","1","3","3","2","2","1","1","3","2","3","1","2","12"
"28","2","3","2","1","1","2","1","3","3","1","3","2","6"
"29","3","3","1","1","3","3","1","1","2","2","2","2","3"
"30","1","3","3","2","1","2","3","1","3","2","2","1","11"
"31","1","3","2","3","3","2","1","2","1","2","1","3","10"
"32","3","2","2","1","3","1","2","3","2","1","1","3","11"
"33","2","1","3","1","1","3","2","3","2","3","2","1","10"
"34","3","3","3","3","3","3","3","3","3","3","3","3","1"
"35","3","1","2","3","2","1","1","3","3","2","2","1","8"
"36","2","2","2","2","3","3","1","1","3","3","1","1","2"
