"","A","B","C","D","E","F","G","H","J","K","L"
"1","3","2","2","3","5","1","4","4","1","5","7"
"2","5","4","3","2","1","4","3","2","1","5","5"
"3","4","1","4","3","3","2","1","2","5","5","10"
"4","1","3","5","2","4","2","4","1","3","5","3"
"5","5","1","3","1","5","2","4","3","4","2","9"
"6","4","3","3","4","1","2","5","5","2","1","7"
"7","5","4","4","5","2","3","1","1","3","2","7"
"8","2","4","2","1","1","5","4","5","3","3","10"
"9","1","5","5","1","3","4","2","2","4","3","7"
"10","2","2","2","2","2","2","2","2","2","2","1"
"11","2","5","4","4","5","2","3","1","1","3","6"
"12","5","2","4","1","3","1","3","5","2","4","3"
"13","3","5","3","2","2","1","5","1","4","4","10"
"14","4","2","1","1","2","4","5","3","3","5","6"
"15","4","5","1","2","3","3","4","5","1","2","2"
"16","3","4","5","1","2","2","3","4","5","1","2"
"17","5","2","5","4","4","3","2","3","1","1","10"
"18","1","4","3","3","4","1","2","5","5","2","6"
"19","4","5","2","5","4","1","3","2","3","1","9"
"20","4","1","3","5","2","5","2","4","1","3","3"
"21","1","1","2","4","2","3","3","5","4","5","8"
"22","1","1","1","1","1","1","1","1","1","1","1"
"23","4","3","2","1","5","3","2","1","5","4","5"
"24","3","1","4","2","5","4","2","5","3","1","4"
"25","2","1","5","4","3","1","5","4","3","2","5"
"26","3","2","1","5","4","2","1","5","4","3","5"
"27","1","2","3","4","5","5","1","2","3","4","2"
"28","5","1","2","3","4","4","5","1","2","3","2"
"29","2","1","1","2","4","5","3","3","5","4","7"
"30","5","5","5","5","5","5","5","5","5","5","1"
"31","1","2","4","2","1","3","5","4","5","3","9"
"32","3","3","3","3","3","3","3","3","3","3","1"
"33","2","3","5","3","2","4","1","5","1","4","9"
"34","4","2","5","3","1","5","3","1","4","2","4"
"35","1","3","1","5","5","4","3","4","2","2","10"
"36","3","1","5","5","1","3","4","2","2","4","6"
"37","5","5","1","3","1","2","2","4","3","4","8"
"38","2","5","3","1","4","3","1","4","2","5","4"
"39","2","4","1","3","5","3","5","2","4","1","3"
"40","3","4","1","4","3","5","2","1","2","5","9"
"41","1","4","2","5","3","2","5","3","1","4","4"
"42","3","5","2","4","1","4","1","3","5","2","3"
"43","1","5","4","3","2","5","4","3","2","1","5"
"44","5","3","1","4","2","1","4","2","5","3","4"
"45","4","4","4","4","4","4","4","4","4","4","1"
"46","3","3","4","1","4","5","5","2","1","2","8"
"47","2","2","3","5","3","4","4","1","5","1","8"
"48","4","4","5","2","5","1","1","3","2","3","8"
"49","2","3","4","5","1","1","2","3","4","5","2"
"50","5","3","2","2","3","5","1","4","4","1","6"
