"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","2","1","1","2","2","2","1","2","2","1","1","5","2"
"2","2","2","2","1","2","1","5","2","2","1","5","6","9"
"3","1","1","2","2","2","1","4","1","3","3","5","9","3"
"4","2","1","1","1","1","1","2","5","2","3","4","8","3"
"5","1","1","2","1","2","1","1","4","3","5","3","2","4"
"6","1","1","2","2","2","2","5","2","4","3","2","1","5"
"7","1","2","2","2","1","1","3","1","1","1","4","4","2"
"8","1","1","2","2","2","1","2","4","1","3","1","5","9"
"9","1","1","1","1","2","1","1","2","5","4","4","9","4"
"10","1","1","2","1","2","1","5","3","2","5","1","10","2"
"11","1","2","1","1","2","2","1","2","1","5","5","8","5"
"12","1","2","2","2","1","2","5","3","3","1","3","8","6"
"13","1","1","1","1","1","1","3","2","2","1","5","5","7"
"14","2","1","2","2","1","1","3","3","2","5","1","9","10"
"15","2","1","1","1","1","1","1","4","1","3","2","6","1"
"16","2","2","2","1","1","1","2","2","5","4","3","9","9"
"17","2","1","2","2","1","1","4","4","3","5","3","1","2"
"18","1","2","1","2","1","1","5","5","2","3","3","8","8"
"19","1","1","2","1","2","2","4","2","1","5","4","8","10"
"20","1","2","2","2","1","2","1","4","4","1","5","10","8"
"21","2","2","1","2","2","2","2","4","2","4","2","4","10"
"22","1","2","1","2","1","1","4","4","1","3","1","6","6"
"23","1","2","1","2","2","2","5","5","1","2","2","9","7"
"24","2","1","1","1","1","2","5","3","5","3","5","4","9"
"25","2","2","2","1","2","1","5","4","1","3","2","5","4"
"26","2","1","2","2","2","1","1","2","3","2","2","4","3"
"27","1","2","1","2","1","2","2","2","4","3","2","2","2"
"28","1","2","2","1","1","2","1","5","1","2","3","9","2"
"29","1","2","1","1","2","1","3","4","3","5","4","2","9"
"30","2","2","1","2","2","1","1","3","1","4","5","2","8"
"31","2","2","2","1","1","2","5","5","3","4","4","5","5"
"32","1","2","1","1","2","2","4","5","4","5","1","4","1"
"33","1","2","1","2","1","2","3","3","5","3","4","4","4"
"34","2","1","1","2","2","1","5","1","1","1","4","3","10"
"35","1","1","1","1","1","1","2","1","1","1","3","3","5"
"36","2","2","1","2","2","1","5","2","5","4","3","10","6"
"37","2","1","2","2","1","2","1","1","5","5","2","5","6"
"38","1","2","2","2","1","1","2","5","5","1","2","2","10"
"39","1","1","2","2","1","1","3","1","4","4","2","8","9"
"40","2","1","1","2","2","2","3","4","4","1","5","9","6"
"41","1","1","1","1","1","2","5","4","4","1","4","9","1"
"42","1","2","1","2","2","1","3","3","4","2","3","5","3"
"43","1","1","2","1","2","2","3","1","5","5","2","6","8"
"44","2","1","1","2","2","2","2","3","3","1","3","7","4"
"45","1","1","1","1","2","2","3","4","2","4","3","3","8"
"46","2","2","2","1","1","2","4","4","2","4","2","3","3"
"47","2","2","1","2","1","2","1","5","4","5","1","3","9"
"48","2","2","2","1","2","1","4","1","1","1","3","4","7"
"49","1","1","2","2","1","2","5","3","1","4","1","2","3"
"50","1","2","1","1","2","2","5","1","5","5","3","6","3"
"51","2","2","2","1","2","2","4","3","5","3","5","3","2"
"52","2","1","2","2","1","1","5","5","4","5","5","3","4"
"53","1","1","2","2","2","2","1","3","5","3","4","3","7"
"54","1","2","1","2","2","1","4","4","5","2","5","7","5"
"55","1","2","2","1","1","1","3","2","3","2","2","3","6"
"56","2","1","1","1","1","1","1","3","4","2","3","6","10"
"57","1","1","2","2","1","1","4","2","5","4","4","10","1"
"58","2","2","2","1","2","1","3","5","5","1","1","2","5"
"59","2","1","2","2","2","1","2","3","4","2","4","6","5"
"60","2","2","1","2","1","1","5","4","3","5","4","1","7"
"61","1","2","1","1","2","1","2","3","2","5","2","10","7"
"62","2","1","2","2","2","2","5","1","2","2","5","2","1"
"63","2","1","1","1","1","2","4","1","2","2","4","2","6"
"64","2","2","1","2","1","1","4","3","2","5","2","9","5"
"65","1","1","1","1","1","1","1","5","5","1","1","1","3"
"66","2","1","1","1","1","2","4","2","4","3","3","2","7"
"67","1","1","2","2","1","2","2","5","3","4","5","6","7"
"68","1","2","2","1","1","2","2","1","2","2","5","1","4"
"69","2","2","1","2","2","1","4","1","4","4","1","8","4"
"70","2","1","2","2","1","2","2","2","1","5","4","7","8"
"71","1","1","1","1","1","2","4","3","3","1","2","7","9"
"72","2","2","1","2","1","2","3","2","1","5","5","7","3"
"73","2","2","2","1","1","1","1","1","4","4","1","7","7"
"74","2","1","1","1","1","2","3","1","3","3","1","10","5"
"75","1","1","1","1","2","2","4","5","3","4","5","5","10"
"76","2","2","1","2","1","2","2","1","5","5","3","5","1"
"77","2","2","2","1","2","2","2","1","3","3","1","9","8"
"78","2","2","2","1","1","1","3","3","1","4","5","1","1"
"79","2","2","2","1","2","2","1","3","3","1","2","8","1"
"80","2","1","1","2","2","1","4","5","5","1","2","1","8"
"81","2","1","2","2","2","2","3","4","5","2","1","8","7"
"82","1","2","1","2","2","1","2","2","3","2","1","3","1"
"83","1","2","1","2","1","1","1","1","3","3","5","10","10"
"84","1","2","1","2","2","2","1","1","2","2","4","1","9"
"85","2","1","2","2","2","2","4","5","1","2","3","10","9"
"86","2","2","1","2","2","2","3","5","3","4","4","6","2"
"87","2","1","1","1","1","2","3","5","1","2","2","10","4"
"88","1","2","2","1","1","1","4","3","4","2","4","5","8"
"89","1","1","1","1","2","2","2","3","1","4","1","1","6"
"90","2","1","1","1","1","1","5","2","3","2","1","4","8"
"91","2","2","2","1","2","2","2","4","4","1","4","10","3"
"92","1","1","1","1","2","1","5","1","4","4","2","7","2"
"93","1","2","2","1","1","2","5","4","5","2","1","7","10"
"94","1","2","2","2","1","2","4","2","2","1","1","6","4"
"95","2","1","1","1","1","1","2","4","5","2","5","8","2"
"96","1","1","2","1","2","1","2","5","4","5","5","4","6"
"97","2","2","2","1","2","1","1","5","2","3","4","7","6"
"98","1","1","2","2","2","1","3","5","2","3","3","7","1"
"99","2","2","2","1","2","2","3","2","4","3","3","1","10"
"100","1","1","2","2","1","2","1","4","2","4","3","4","5"
