"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","2","3","4","3","1","4","1","2","4","1","3","2","28"
"2","1","1","1","2","4","4","1","1","2","1","1","1","5"
"3","1","3","4","1","2","4","2","4","3","2","1","3","19"
"4","2","2","2","1","1","1","4","4","4","3","3","3","3"
"5","3","3","3","2","2","2","4","4","4","1","1","1","7"
"6","1","2","4","2","1","3","3","4","2","1","4","3","13"
"7","2","1","4","4","1","2","2","1","4","4","1","2","9"
"8","1","2","3","3","2","1","1","2","3","3","2","1","9"
"9","2","2","2","1","4","4","1","1","3","4","4","4","4"
"10","1","1","1","1","1","1","1","1","1","1","1","1","1"
"11","3","1","2","3","3","1","3","1","3","2","1","3","18"
"12","1","4","2","4","1","4","3","2","1","3","1","4","22"
"13","3","2","1","4","1","2","1","4","3","2","3","4","26"
"14","3","2","4","2","1","4","3","2","2","4","2","3","24"
"15","1","4","2","4","4","1","2","3","2","4","2","3","25"
"16","2","1","4","4","3","4","4","3","1","1","4","3","11"
"17","2","4","1","2","1","3","2","3","4","3","1","4","15"
"18","4","4","4","3","2","2","3","3","1","2","2","2","4"
"19","1","2","3","3","1","2","2","1","1","1","4","3","8"
"20","4","4","4","3","4","4","1","1","4","3","3","3","2"
"21","3","3","3","4","2","2","3","3","4","3","3","3","5"
"22","3","1","2","3","4","2","4","2","1","4","3","1","19"
"23","2","4","3","2","1","3","1","3","4","1","2","4","19"
"24","4","3","2","2","3","4","4","3","2","2","3","4","9"
"25","1","4","2","4","2","3","4","1","3","1","3","2","23"
"26","3","3","3","4","3","3","2","2","3","4","4","4","2"
"27","3","4","2","3","1","4","4","1","2","2","1","3","12"
"28","3","3","3","4","1","1","4","4","2","1","1","1","4"
"29","1","1","1","2","2","2","3","3","3","4","4","4","3"
"30","2","4","1","1","3","2","4","2","3","1","4","3","16"
"31","4","1","3","1","3","2","1","4","2","4","2","3","23"
"32","1","1","1","2","1","1","4","4","1","2","2","2","2"
"33","3","4","2","1","4","3","2","4","1","1","3","2","14"
"34","3","3","3","3","3","3","3","3","3","3","3","3","1"
"35","2","1","3","2","4","1","1","4","3","3","4","2","12"
"36","4","3","2","2","1","2","2","1","3","3","2","1","11"
"37","2","3","1","3","1","4","3","2","4","2","4","1","23"
"38","2","3","4","1","4","3","4","1","2","3","2","1","26"
"39","3","1","2","3","1","3","1","3","2","3","4","2","20"
"40","1","1","1","4","4","4","2","2","2","3","3","3","7"
