"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"1","2","1","2","2","1","2","2","1","1","2","2","1","2","2","2","1","2","1","2","2","2","2","1","2","2","1","1","2","2","1","2","2","3","4","3","1","3","4","1","2","3","4","1","4","3","1","2","2","6","1","7","4","13"
"2","2","1","2","2","1","1","2","2","1","2","2","1","1","1","2","2","1","1","2","2","1","2","2","2","2","1","2","2","1","1","2","2","4","3","1","3","4","1","1","3","1","2","2","1","3","2","1","5","4","8","6","3","5"
"3","2","1","2","1","2","2","1","2","2","2","1","1","2","2","2","1","2","1","2","2","2","1","2","1","2","2","1","2","2","2","2","1","4","1","1","1","1","2","2","3","4","3","3","2","2","2","4","1","4","1","2","8","11"
"4","2","2","2","2","2","1","2","2","2","2","1","2","1","2","2","1","2","2","2","1","1","2","2","2","2","1","1","2","2","2","2","1","3","3","2","2","3","1","4","1","2","2","3","1","4","3","3","3","2","1","5","7","8"
"5","2","2","1","1","2","2","1","2","1","1","1","1","2","2","1","1","1","2","2","1","1","1","1","1","2","2","2","2","1","1","1","1","2","3","3","2","2","1","2","1","2","4","1","2","4","4","1","5","3","6","6","8","13"
"6","1","2","2","2","1","2","2","1","2","1","2","2","1","2","1","2","2","2","2","1","1","2","2","2","1","2","2","2","1","2","2","1","1","4","1","3","1","2","3","2","2","1","1","3","3","1","2","5","2","2","2","8","12"
"7","1","2","1","1","1","1","2","2","2","1","2","2","1","2","2","1","2","1","2","2","2","1","2","2","2","1","1","1","1","1","2","2","4","2","3","4","3","3","2","2","2","2","3","2","2","4","2","5","5","7","1","6","16"
"8","2","1","1","1","1","2","2","1","1","2","2","1","1","1","1","1","1","2","2","1","2","1","2","2","1","2","1","1","1","2","2","1","1","1","3","4","2","4","4","3","1","1","4","4","2","3","1","5","7","1","5","1","1"
"9","1","1","2","2","2","2","1","2","2","2","1","2","2","1","1","2","2","2","2","1","2","2","1","1","2","2","1","1","1","1","1","1","2","2","1","1","1","3","1","4","1","4","4","1","1","2","2","5","6","5","1","1","8"
"10","2","1","2","2","1","2","1","2","2","1","2","2","1","2","2","2","1","2","2","1","1","2","2","1","1","1","1","1","1","1","1","1","3","2","4","2","4","1","2","2","3","1","1","2","2","3","4","8","4","3","7","1","4"
"11","2","1","1","2","2","2","1","2","2","2","1","1","1","1","1","1","1","2","2","1","2","2","1","1","1","1","1","1","1","1","2","2","2","4","1","4","4","2","3","2","2","2","2","2","3","4","3","6","1","1","4","5","7"
"12","1","1","1","2","1","1","2","2","2","2","1","2","2","1","2","2","1","2","1","2","1","1","1","1","2","2","1","2","2","1","2","2","1","2","4","4","3","4","2","1","4","2","1","4","3","2","1","6","2","6","2","1","9"
"13","1","1","1","2","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","2","1","2","2","1","2","1","1","1","1","1","1","1","4","3","3","4","1","1","1","4","3","1","2","2","4","3","4","8","8","2","4","8"
"14","1","2","2","1","2","2","2","1","2","2","1","1","2","2","1","1","1","1","2","2","2","1","2","2","2","1","2","1","2","1","1","1","2","3","4","4","4","1","3","3","1","3","3","3","3","4","2","4","2","4","7","1","3"
"15","2","1","1","1","1","2","2","1","2","2","1","1","1","1","1","2","2","1","1","1","2","2","1","1","2","2","2","1","2","2","1","2","4","2","2","2","4","4","1","3","3","3","1","2","4","1","4","5","2","7","4","7","14"
"16","1","1","1","2","1","2","2","1","1","2","2","2","1","2","2","2","1","1","2","2","2","2","1","2","1","2","1","2","2","1","1","1","3","2","3","4","2","1","3","4","4","2","3","3","1","3","3","1","1","5","6","8","14"
"17","1","2","2","2","1","1","1","1","2","2","1","1","1","1","1","1","1","2","1","2","1","1","1","2","1","2","2","1","2","2","2","1","3","2","1","4","3","2","1","3","2","4","3","2","4","2","2","8","7","3","6","4","2"
"18","2","2","1","1","2","2","1","2","2","1","2","1","2","2","1","2","2","1","1","1","1","2","2","2","1","2","1","2","2","1","2","2","3","4","2","4","4","1","3","1","4","2","4","4","2","2","4","5","6","4","3","2","2"
"19","1","2","1","1","1","2","1","2","2","2","1","1","1","1","2","2","1","1","1","1","2","2","1","2","2","1","1","2","2","1","2","2","2","4","3","3","1","3","4","3","2","3","1","3","1","3","2","8","4","6","5","2","6"
"20","1","2","2","1","2","2","2","1","1","2","2","1","2","2","1","2","2","2","1","2","2","2","1","1","1","1","1","1","1","1","2","2","3","4","1","2","2","1","2","3","3","1","2","1","1","2","3","4","7","6","2","7","16"
"21","1","1","2","2","2","2","1","2","1","2","2","2","2","1","1","1","1","1","1","1","2","1","2","2","1","2","2","1","2","1","2","2","3","1","4","3","3","3","4","4","3","2","1","3","3","4","3","5","3","3","8","7","11"
"22","1","2","2","2","1","2","1","2","1","2","2","1","2","2","1","1","1","1","2","2","2","2","1","1","2","2","2","1","2","2","1","2","1","2","2","4","2","3","4","2","2","4","1","1","2","3","4","3","8","4","2","5","5"
"23","1","2","1","2","2","2","2","1","1","2","2","1","1","1","2","2","1","1","1","1","2","1","2","1","2","2","1","2","2","2","2","1","1","1","1","3","3","1","3","2","1","4","3","1","4","4","4","7","6","6","4","6","4"
"24","2","2","2","2","2","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","8","8","8","8","8","16"
"25","2","2","2","1","1","1","2","2","1","1","1","1","2","2","2","1","2","2","1","2","2","2","1","1","2","2","2","1","2","1","2","2","1","3","2","3","4","2","1","4","3","2","4","3","2","4","2","6","7","5","5","8","4"
"26","2","1","2","2","1","2","1","2","1","1","1","2","1","2","2","1","2","1","1","1","1","1","1","2","2","1","2","1","2","1","2","2","2","1","1","4","2","1","3","2","1","3","4","4","4","1","1","8","5","5","2","7","15"
"27","2","1","2","1","2","2","1","2","1","2","2","1","2","2","2","2","1","2","1","2","2","2","1","2","1","2","2","2","1","2","1","2","1","2","4","3","3","2","3","3","2","1","2","4","4","4","1","1","5","7","7","2","8"
"28","1","1","2","2","2","1","2","2","2","1","2","1","2","2","1","1","1","2","1","2","2","1","2","1","2","2","1","2","2","1","1","1","4","4","1","2","3","3","3","1","1","1","2","4","2","1","2","8","3","8","5","5","14"
"29","2","1","1","2","2","2","2","1","1","1","1","2","2","1","1","2","2","1","2","2","1","2","2","2","2","1","1","2","2","1","1","1","2","2","2","3","3","3","4","2","2","3","2","4","2","2","1","4","7","3","4","8","10"
"30","1","2","2","1","2","1","2","2","2","2","1","1","1","1","1","2","2","1","2","2","1","1","1","2","2","1","1","1","1","1","1","1","1","4","2","2","3","4","3","2","3","1","4","2","3","3","1","7","8","5","6","2","11"
"31","2","1","1","2","2","2","1","2","1","2","2","1","1","1","1","2","2","1","1","1","2","1","2","2","2","1","2","1","2","1","1","1","3","3","4","2","2","2","2","2","4","4","3","4","1","2","2","6","8","7","5","3","12"
"32","2","2","1","2","1","2","1","2","2","2","1","2","1","2","1","1","1","2","1","2","2","1","2","2","2","1","1","1","1","2","1","2","4","3","3","3","1","2","3","4","3","4","2","4","2","3","4","4","6","2","6","7","9"
"33","1","2","2","1","2","1","2","2","1","2","2","1","1","1","1","1","1","2","1","2","1","2","2","1","1","1","2","1","2","1","2","2","4","3","3","4","1","4","2","2","1","3","1","4","1","1","4","7","1","3","3","8","8"
"34","2","2","2","1","1","1","2","2","2","1","2","1","2","2","2","2","1","1","2","2","2","1","2","2","1","2","1","1","1","1","1","1","4","4","3","1","2","2","4","4","1","4","1","1","4","2","3","6","2","3","4","2","15"
"35","1","2","1","2","2","1","2","2","2","2","1","1","2","2","2","2","1","2","2","1","1","2","2","2","1","2","1","2","2","2","1","2","3","1","2","3","2","4","2","3","1","4","1","2","2","1","2","4","5","5","8","3","7"
"36","1","2","1","2","2","1","1","1","1","1","1","2","1","2","2","1","2","1","2","2","2","2","1","1","2","2","1","1","1","2","2","1","3","3","1","4","1","1","1","3","1","1","1","4","3","3","4","6","3","7","8","2","10"
"37","1","1","2","2","2","1","2","2","1","1","1","1","2","2","1","2","2","1","2","2","2","2","1","2","1","2","2","2","1","1","2","2","1","3","4","4","1","3","2","1","3","3","3","2","4","3","3","8","6","2","4","3","1"
"38","2","1","1","2","2","1","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","1","1","1","2","2","1","2","2","4","2","1","3","2","2","1","3","2","3","4","3","4","3","3","7","8","4","8","1","13"
"39","1","2","2","1","2","2","1","2","1","1","1","2","1","2","1","2","2","2","2","1","1","1","1","1","1","1","2","2","1","1","2","2","2","1","3","3","3","4","4","3","1","2","3","1","2","2","4","6","8","2","7","4","14"
"40","2","2","1","2","1","1","1","1","1","2","2","2","2","1","1","1","1","1","2","2","1","2","2","1","1","1","1","1","1","2","2","1","2","3","4","3","4","3","2","1","3","4","4","3","4","2","2","7","5","1","2","2","14"
"41","2","2","2","2","2","2","1","2","1","1","1","1","1","1","2","1","2","1","2","2","1","2","2","1","1","1","2","1","2","2","1","2","4","2","3","3","3","1","3","4","4","1","4","2","1","2","2","2","2","6","8","5","1"
"42","2","2","2","1","1","1","1","1","1","2","2","2","1","2","2","1","2","2","2","1","1","1","1","1","2","2","1","2","2","1","2","2","4","2","4","2","1","3","3","4","1","1","1","3","1","4","1","4","8","1","4","3","2"
"43","1","1","2","1","1","2","2","1","1","2","2","2","2","1","1","2","2","2","2","1","2","1","2","2","2","1","1","1","1","2","1","2","1","3","3","1","3","1","2","1","2","3","2","3","4","1","4","6","4","5","8","5","2"
"44","1","2","2","2","1","2","1","2","2","2","1","1","2","2","1","2","2","2","1","2","2","1","2","2","1","2","1","1","1","2","2","1","4","1","3","2","4","3","1","2","4","2","4","3","4","1","1","3","1","6","7","3","10"
"45","2","2","1","1","2","1","1","1","2","1","2","1","1","1","1","1","1","1","1","1","2","2","1","2","1","2","2","2","1","1","2","2","4","3","4","2","3","4","3","4","2","4","3","1","2","1","3","2","4","5","2","1","10"
"46","1","2","2","1","2","1","1","1","2","1","2","2","2","1","1","2","2","1","1","1","2","2","1","2","2","1","2","2","1","1","1","1","4","1","4","3","2","1","1","2","1","2","1","2","4","3","2","1","7","1","3","5","9"
"47","2","1","2","1","2","2","2","1","1","1","1","2","1","2","2","2","1","2","2","1","1","1","1","2","1","2","1","1","1","2","1","2","4","3","2","2","2","3","1","3","4","2","3","4","3","4","2","7","6","3","2","5","6"
"48","2","1","1","1","1","1","1","1","2","1","2","2","1","2","1","1","1","1","2","2","2","1","2","1","2","2","2","2","1","2","1","2","2","4","2","1","2","4","3","2","3","2","3","3","3","2","4","8","7","6","8","3","8"
"49","1","2","1","1","1","2","2","1","1","1","1","2","2","1","2","1","2","2","1","2","1","2","2","1","1","1","1","1","1","1","1","1","2","2","4","4","2","2","3","3","2","2","1","1","4","1","4","2","6","8","5","3","11"
"50","1","1","2","2","2","1","1","1","2","2","1","2","1","2","1","1","1","2","2","1","1","2","2","1","2","2","2","1","2","1","1","1","1","1","3","3","2","2","1","1","3","2","3","4","1","1","1","2","4","4","4","2","16"
"51","1","1","2","1","1","1","2","2","1","2","2","2","1","2","1","1","1","2","2","1","1","1","1","2","2","1","2","1","2","2","1","2","2","4","1","3","4","4","2","4","4","1","1","2","4","2","3","1","6","4","5","6","10"
"52","1","1","1","2","1","2","2","1","2","2","1","2","1","2","2","1","2","2","1","2","2","1","2","1","2","2","2","2","1","1","2","2","2","1","2","2","4","1","2","4","2","4","2","1","3","1","2","1","8","3","3","2","1"
"53","1","1","1","2","1","2","1","2","2","1","2","1","2","2","2","1","2","2","2","1","1","2","2","1","2","2","1","1","1","1","2","2","3","4","4","3","1","4","4","4","4","3","3","1","4","1","1","7","7","7","6","5","3"
"54","2","2","2","2","2","1","1","1","1","1","1","1","2","2","2","2","1","1","2","2","2","2","1","1","1","1","1","1","1","2","1","2","3","1","1","1","4","4","3","1","2","3","3","3","1","1","1","5","8","3","5","6","9"
"55","2","1","1","1","1","1","1","1","1","1","1","2","1","2","1","2","2","2","1","2","2","2","1","2","1","2","1","2","2","2","2","1","3","3","3","3","4","4","2","2","1","4","2","1","1","4","1","8","2","4","1","5","11"
"56","1","1","1","1","2","1","1","1","2","2","1","2","2","1","2","1","2","1","2","2","1","1","1","1","1","1","2","2","1","2","1","2","3","4","3","2","3","2","4","4","1","3","2","4","4","3","2","5","1","4","2","3","4"
"57","1","2","1","1","1","1","1","1","1","2","2","1","2","2","2","2","1","2","2","1","1","1","1","1","1","1","1","2","2","1","1","1","4","4","4","3","4","2","1","2","2","3","3","4","3","2","4","3","3","5","1","7","1"
"58","2","1","1","2","2","2","2","1","2","1","2","2","2","1","1","1","1","2","1","2","1","1","1","1","1","1","2","2","1","1","2","2","3","1","3","1","1","3","1","2","4","1","3","2","4","4","4","4","2","5","5","2","5"
"59","1","2","2","1","2","2","1","2","2","1","2","2","1","2","1","1","1","1","1","1","1","2","2","2","2","1","1","2","2","1","1","1","3","2","2","1","1","4","1","3","3","4","2","3","4","4","1","6","1","8","2","6","1"
