"","A","B","C"
"1","2","1","18"
"2","2","1","16"
"3","2","1","8"
"4","1","2","2"
"5","1","2","6"
"6","2","2","7"
"7","2","1","4"
"8","1","2","10"
"9","1","1","7"
"10","1","2","4"
"11","1","2","8"
"12","1","2","14"
"13","2","1","14"
"14","1","1","17"
"15","1","2","12"
"16","1","1","3"
"17","2","2","11"
"18","1","1","9"
"19","2","1","6"
"20","2","2","13"
"21","2","2","17"
"22","1","1","5"
"23","2","2","9"
"24","2","2","3"
"25","2","1","12"
"26","2","1","2"
"27","1","2","18"
"28","2","2","1"
"29","2","2","15"
"30","1","1","15"
"31","2","1","10"
"32","1","1","1"
"33","1","1","11"
"34","2","2","5"
"35","1","1","13"
"36","1","2","16"
