"","A","B","C","D","E","F","G","H","J","K","L","M","N","O"
"1","2","2","1","2","1","1","3","1","1","2","3","1","1","8"
"2","2","1","2","2","1","3","3","2","3","1","1","2","3","24"
"3","1","2","1","2","2","3","2","3","1","2","1","3","3","12"
"4","2","3","2","1","1","2","3","2","1","1","2","1","2","14"
"5","1","2","2","1","2","2","1","3","1","1","1","2","1","15"
"6","3","2","1","2","3","2","3","3","3","1","3","3","2","30"
"7","3","1","3","2","2","3","1","3","2","2","3","2","3","14"
"8","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"9","3","1","1","3","2","3","1","1","2","2","3","1","2","17"
"10","1","3","3","3","2","3","2","2","2","1","1","1","3","33"
"11","1","1","3","3","3","2","3","3","2","2","2","3","1","11"
"12","2","1","1","1","3","1","3","3","3","2","2","2","1","33"
"13","1","3","1","2","2","2","3","3","3","3","2","1","3","27"
"14","3","1","3","1","1","2","1","2","3","1","3","2","2","12"
"15","3","3","3","3","1","2","3","3","1","3","1","2","2","2"
"16","2","3","2","3","3","1","3","1","2","3","2","1","1","12"
"17","1","2","2","3","3","3","3","2","2","3","2","2","2","19"
"18","3","1","2","2","3","3","1","3","1","3","2","1","3","21"
"19","2","1","2","3","2","2","2","1","3","3","1","3","3","25"
"20","1","3","2","3","1","3","1","1","1","2","1","1","3","30"
"21","1","3","2","2","3","1","3","1","1","2","3","2","3","29"
"22","1","2","3","3","2","1","3","3","1","1","1","1","2","22"
"23","1","1","2","3","1","2","2","3","3","2","2","1","2","6"
"24","1","1","2","2","3","2","1","2","1","2","2","3","2","5"
"25","3","2","3","3","2","1","1","3","1","2","2","3","1","24"
"26","3","2","2","2","1","2","1","1","1","3","3","3","2","33"
"27","3","3","2","3","2","3","1","1","3","1","2","3","1","7"
"28","1","1","1","1","2","3","1","1","2","1","2","3","3","2"
"29","1","2","1","2","2","3","3","2","2","1","3","3","2","13"
"30","1","1","3","2","2","1","3","1","3","3","2","2","2","10"
"31","3","2","2","2","1","1","2","1","2","1","2","3","3","32"
"32","1","3","3","2","1","3","1","2","3","2","3","2","1","31"
"33","1","2","2","3","1","1","1","3","3","1","2","2","2","18"
"34","2","3","2","3","3","1","1","3","3","2","1","1","3","13"
"35","3","2","1","3","1","2","2","1","3","2","2","2","3","28"
"36","2","1","3","3","1","2","1","2","2","3","1","3","1","29"
"37","3","3","2","1","1","3","2","3","2","2","1","1","1","10"
"38","3","1","1","2","3","3","3","2","2","3","1","1","1","18"
"39","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"40","2","3","3","2","3","3","2","1","3","1","1","2","2","16"
