"","A","B","C","D","E","F","G","H","J"
"1","2","4","2","4","1","3","1","3","5"
"2","2","2","2","2","2","2","2","2","1"
"3","2","1","3","4","3","4","2","1","4"
"4","2","2","1","1","3","3","4","4","2"
"5","3","4","2","1","2","1","3","4","4"
"6","1","3","2","4","3","1","4","2","6"
"7","2","3","3","2","4","1","1","4","8"
"8","3","2","1","4","4","1","2","3","7"
"9","3","3","3","3","3","3","3","3","1"
"10","3","3","4","4","2","2","1","1","2"
"11","1","3","1","3","2","4","2","4","5"
"12","4","2","3","1","2","4","1","3","6"
"13","4","4","3","3","1","1","2","2","2"
"14","4","3","2","1","4","3","2","1","3"
"15","3","4","1","2","3","4","1","2","3"
"16","3","1","4","2","1","3","2","4","6"
"17","1","1","2","2","4","4","3","3","2"
"18","1","4","4","1","3","2","2","3","8"
"19","3","2","2","3","1","4","4","1","8"
"20","1","1","1","1","1","1","1","1","1"
"21","4","1","1","4","2","3","3","2","8"
"22","2","3","4","1","1","4","3","2","7"
"23","4","1","2","3","3","2","1","4","7"
"24","4","3","1","2","1","2","4","3","4"
"25","4","2","4","2","3","1","3","1","5"
"26","1","4","3","2","2","3","4","1","7"
"27","1","2","3","4","1","2","3","4","3"
"28","1","2","4","3","4","3","1","2","4"
"29","2","1","4","3","2","1","4","3","3"
"30","3","1","3","1","4","2","4","2","5"
"31","4","4","4","4","4","4","4","4","1"
"32","2","4","1","3","4","2","3","1","6"
