"","A","B","C"
"1","2","1","12"
"2","1","2","10"
"3","1","1","7"
"4","1","1","11"
"5","1","2","2"
"6","1","1","13"
"7","2","1","14"
"8","2","1","2"
"9","1","2","8"
"10","2","1","8"
"11","1","2","18"
"12","2","1","10"
"13","1","1","15"
"14","1","1","19"
"15","1","2","6"
"16","1","1","9"
"17","2","2","1"
"18","1","1","3"
"19","2","1","20"
"20","1","1","5"
"21","2","1","18"
"22","2","2","9"
"23","2","2","15"
"24","1","2","12"
"25","1","2","16"
"26","2","2","5"
"27","2","2","13"
"28","2","2","17"
"29","2","1","6"
"30","2","2","11"
"31","2","2","19"
"32","1","2","4"
"33","2","2","21"
"34","1","2","22"
"35","2","2","3"
"36","2","1","16"
"37","2","1","22"
"38","1","1","21"
"39","2","1","4"
"40","1","2","20"
"41","1","2","14"
"42","2","2","7"
"43","1","1","1"
"44","1","1","17"
