"","A","B","C"
"1","2","2","53"
"2","1","2","22"
"3","2","2","13"
"4","1","1","53"
"5","2","2","49"
"6","1","1","21"
"7","2","1","16"
"8","2","2","17"
"9","1","2","34"
"10","2","2","27"
"11","1","2","10"
"12","2","1","12"
"13","1","1","51"
"14","2","2","51"
"15","1","1","19"
"16","2","1","4"
"17","2","1","36"
"18","1","1","1"
"19","1","2","58"
"20","2","2","31"
"21","1","2","62"
"22","1","1","23"
"23","2","1","62"
"24","1","1","29"
"25","2","2","5"
"26","2","2","39"
"27","2","2","9"
"28","1","1","47"
"29","1","2","32"
"30","2","1","54"
"31","2","2","55"
"32","2","1","58"
"33","2","2","23"
"34","2","2","25"
"35","1","1","9"
"36","1","1","55"
"37","1","1","13"
"38","2","1","52"
"39","1","2","30"
"40","2","1","34"
"41","2","2","35"
"42","1","2","54"
"43","2","1","26"
"44","2","1","44"
"45","1","2","14"
"46","2","2","3"
"47","1","2","16"
"48","1","1","45"
"49","1","1","25"
"50","1","1","39"
"51","1","1","17"
"52","1","1","7"
"53","2","2","33"
"54","2","2","11"
"55","1","1","61"
"56","1","1","5"
"57","1","2","46"
"58","1","1","57"
"59","1","2","20"
"60","1","1","11"
"61","1","2","38"
"62","1","2","18"
"63","2","2","61"
"64","2","2","15"
"65","2","2","59"
"66","2","1","42"
"67","2","2","47"
"68","1","2","40"
"69","2","1","40"
"70","2","1","28"
"71","2","1","20"
"72","1","1","37"
"73","1","1","15"
"74","1","2","44"
"75","1","2","2"
"76","2","1","10"
"77","1","2","36"
"78","2","1","38"
"79","1","2","8"
"80","1","2","56"
"81","2","1","46"
"82","2","1","30"
"83","1","2","28"
"84","2","1","2"
"85","1","2","50"
"86","2","1","14"
"87","1","1","59"
"88","1","1","49"
"89","1","1","27"
"90","2","1","60"
"91","2","2","29"
"92","1","1","41"
"93","1","2","42"
"94","2","2","57"
"95","1","2","60"
"96","2","1","32"
"97","2","2","37"
"98","2","1","50"
"99","2","1","22"
"100","1","1","43"
"101","2","2","45"
"102","2","2","19"
"103","2","2","1"
"104","1","1","3"
"105","1","2","4"
"106","2","1","18"
"107","1","1","33"
"108","1","1","31"
"109","1","2","24"
"110","1","2","6"
"111","1","2","26"
"112","1","2","48"
"113","1","1","35"
"114","2","1","48"
"115","2","1","8"
"116","2","2","7"
"117","2","1","24"
"118","1","2","52"
"119","2","2","41"
"120","2","2","43"
"121","2","2","21"
"122","2","1","56"
"123","2","1","6"
"124","1","2","12"
