"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","3","4","5","6","7","1","2","2","3","4","5","6","7","1","2"
"2","6","5","5","6","1","4","1","7","2","2","7","3","4","3","10"
"3","2","4","6","1","3","5","7","5","7","2","4","6","1","3","3"
"4","3","7","5","4","4","5","7","3","2","6","1","1","6","2","8"
"5","3","6","2","5","1","4","7","1","4","7","3","6","2","5","4"
"6","6","3","1","7","7","1","3","6","5","2","4","4","2","5","8"
"7","6","2","5","1","4","7","3","4","7","3","6","2","5","1","4"
"8","2","6","4","3","3","4","6","2","1","5","7","7","5","1","8"
"9","7","2","5","2","7","6","6","1","4","5","4","1","3","3","13"
"10","5","4","4","5","7","3","7","6","1","1","6","2","3","2","10"
"11","6","4","2","7","5","3","1","2","7","5","3","1","6","4","6"
"12","4","6","1","3","5","7","2","7","2","4","6","1","3","5","3"
"13","1","4","1","6","5","5","6","3","4","3","7","2","2","7","14"
"14","1","5","3","2","2","3","5","1","7","4","6","6","4","7","8"
"15","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1"
"16","1","4","7","3","6","2","5","6","2","5","1","4","7","3","4"
"17","3","1","6","4","2","7","5","6","4","2","7","5","3","1","6"
"18","2","3","4","5","6","7","1","1","2","3","4","5","6","7","2"
"19","4","7","3","6","2","5","1","2","5","1","4","7","3","6","4"
"20","3","3","4","6","2","6","4","7","7","5","1","2","1","5","11"
"21","6","5","4","3","2","1","7","5","4","3","2","1","7","6","7"
"22","6","2","6","4","3","3","4","1","2","1","5","7","7","5","14"
"23","2","1","1","2","4","7","4","3","5","5","3","6","7","6","10"
"24","2","3","5","1","5","3","2","6","4","7","1","7","4","6","12"
"25","5","2","7","6","6","7","2","5","4","1","3","3","1","4","8"
"26","2","5","2","7","6","6","7","4","5","4","1","3","3","1","14"
"27","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1"
"28","1","2","3","4","5","6","7","7","1","2","3","4","5","6","2"
"29","6","1","4","1","6","5","5","7","3","4","3","7","2","2","13"
"30","4","1","5","2","6","3","7","2","6","3","7","4","1","5","5"
"31","4","3","2","1","7","6","5","3","2","1","7","6","5","4","7"
"32","5","5","6","1","4","1","6","2","2","7","3","4","3","7","11"
"33","1","1","2","4","7","4","2","5","5","3","6","7","6","3","11"
"34","4","1","6","5","5","6","1","4","3","7","2","2","7","3","8"
"35","7","1","3","6","3","1","7","4","2","5","6","5","2","4","12"
"36","4","7","4","2","1","1","2","6","7","6","3","5","5","3","14"
"37","6","3","7","4","1","5","2","4","1","5","2","6","3","7","5"
"38","1","6","4","2","7","5","3","4","2","7","5","3","1","6","6"
"39","3","5","7","2","4","6","1","6","1","3","5","7","2","4","3"
"40","3","6","3","1","7","7","1","5","6","5","2","4","4","2","14"
"41","7","3","6","2","5","1","4","5","1","4","7","3","6","2","4"
"42","1","3","5","7","2","4","6","4","6","1","3","5","7","2","3"
"43","1","7","6","5","4","3","2","7","6","5","4","3","2","1","7"
"44","7","5","3","1","6","4","2","3","1","6","4","2","7","5","6"
"45","7","7","1","3","6","3","1","4","4","2","5","6","5","2","11"
"46","3","5","1","5","3","2","2","4","7","1","7","4","6","6","13"
"47","6","6","6","6","6","6","6","6","6","6","6","6","6","6","1"
"48","5","4","3","2","1","7","6","4","3","2","1","7","6","5","7"
"49","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1"
"50","7","7","7","7","7","7","7","7","7","7","7","7","7","7","1"
"51","7","1","2","3","4","5","6","6","7","1","2","3","4","5","2"
"52","7","5","4","4","5","7","3","2","6","1","1","6","2","3","9"
"53","3","7","4","1","5","2","6","1","5","2","6","3","7","4","5"
"54","3","4","6","2","6","4","3","7","5","1","2","1","5","7","12"
"55","3","2","1","7","6","5","4","2","1","7","6","5","4","3","7"
"56","7","2","4","6","1","3","5","3","5","7","2","4","6","1","3"
"57","3","1","7","7","1","3","6","5","2","4","4","2","5","6","9"
"58","6","1","3","5","7","2","4","2","4","6","1","3","5","7","3"
"59","4","3","3","4","6","2","6","5","7","7","5","1","2","1","10"
"60","7","3","7","5","4","4","5","2","3","2","6","1","1","6","14"
"61","5","6","7","1","2","3","4","4","5","6","7","1","2","3","2"
"62","5","7","2","4","6","1","3","1","3","5","7","2","4","6","3"
"63","4","2","7","5","3","1","6","7","5","3","1","6","4","2","6"
"64","5","7","3","7","5","4","4","6","2","3","2","6","1","1","13"
"65","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"66","4","5","7","3","7","5","4","1","6","2","3","2","6","1","12"
"67","5","1","5","3","2","2","3","7","1","7","4","6","6","4","14"
"68","1","7","7","1","3","6","3","2","4","4","2","5","6","5","10"
"69","6","7","2","5","2","7","6","3","1","4","5","4","1","3","12"
"70","6","4","3","3","4","6","2","1","5","7","7","5","1","2","9"
"71","1","3","6","3","1","7","7","2","5","6","5","2","4","4","13"
"72","4","5","6","7","1","2","3","3","4","5","6","7","1","2","2"
"73","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"74","6","6","7","2","5","2","7","3","3","1","4","5","4","1","11"
"75","1","5","2","6","3","7","4","6","3","7","4","1","5","2","5"
"76","7","4","1","5","2","6","3","5","2","6","3","7","4","1","5"
"77","1","6","5","5","6","1","4","3","7","2","2","7","3","4","9"
"78","2","6","3","7","4","1","5","7","4","1","5","2","6","3","5"
"79","5","2","6","3","7","4","1","3","7","4","1","5","2","6","5"
"80","5","6","1","4","1","6","5","2","7","3","4","3","7","2","12"
"81","2","2","3","5","1","5","3","6","6","4","7","1","7","4","11"
"82","5","3","2","2","3","5","1","7","4","6","6","4","7","1","9"
"83","4","6","2","6","4","3","3","5","1","2","1","5","7","7","13"
"84","2","1","7","6","5","4","3","1","7","6","5","4","3","2","7"
"85","7","6","5","4","3","2","1","6","5","4","3","2","1","7","7"
"86","2","5","1","4","7","3","6","7","3","6","2","5","1","4","4"
"87","4","2","1","1","2","4","7","6","3","5","5","3","6","7","9"
"88","1","2","4","7","4","2","1","5","3","6","7","6","3","5","12"
"89","3","2","2","3","5","1","5","4","6","6","4","7","1","7","10"
"90","2","7","5","3","1","6","4","5","3","1","6","4","2","7","6"
"91","7","4","2","1","1","2","4","7","6","3","5","5","3","6","8"
"92","5","3","1","6","4","2","7","1","6","4","2","7","5","3","6"
"93","2","4","7","4","2","1","1","3","6","7","6","3","5","5","13"
"94","4","4","5","7","3","7","5","1","1","6","2","3","2","6","11"
"95","5","1","4","7","3","6","2","3","6","2","5","1","4","7","4"
"96","6","7","1","2","3","4","5","5","6","7","1","2","3","4","2"
"97","7","6","6","7","2","5","2","1","3","3","1","4","5","4","10"
"98","2","7","6","6","7","2","5","4","1","3","3","1","4","5","9"
