"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q"
"1","1","1","2","1","1","2","1","2","2","2","2","2","1","1","3","6"
"2","2","2","1","2","2","1","2","1","1","1","2","2","1","2","3","8"
"3","1","1","1","2","1","1","1","2","1","2","2","1","1","1","4","11"
"4","2","1","2","2","1","2","1","2","2","1","1","2","2","2","6","13"
"5","2","1","1","1","2","1","1","2","1","2","2","1","1","2","4","1"
"6","1","2","1","1","1","2","2","2","1","2","2","1","2","2","2","4"
"7","1","2","2","1","2","1","1","1","2","2","1","2","2","1","4","8"
"8","2","2","1","1","1","2","1","1","2","1","1","1","2","1","2","5"
"9","1","2","1","1","1","2","2","2","1","2","2","2","2","1","2","13"
"10","2","1","2","1","1","1","2","2","2","1","1","2","1","2","2","14"
"11","2","2","2","1","2","2","1","2","1","1","2","2","2","2","5","7"
"12","1","2","2","2","1","2","2","1","2","1","1","2","2","1","4","7"
"13","1","2","2","2","1","1","1","2","1","1","1","2","2","1","6","1"
"14","2","1","2","2","2","1","1","1","2","1","2","1","2","1","2","2"
"15","1","1","1","2","2","1","2","1","2","1","2","1","2","1","5","13"
"16","2","1","1","2","2","2","1","2","1","1","1","2","2","2","4","12"
"17","2","2","1","1","1","1","1","1","1","1","2","1","2","1","6","14"
"18","2","1","1","1","2","2","2","1","2","1","1","1","2","1","1","11"
"19","2","1","1","1","2","2","2","1","2","2","2","1","1","2","6","7"
"20","2","2","1","1","1","2","1","1","2","1","2","2","1","2","2","1"
"21","2","1","2","1","1","1","2","2","2","1","2","1","2","2","1","8"
"22","2","1","2","1","1","1","2","2","2","1","1","2","1","2","1","4"
"23","2","1","2","1","2","2","1","2","1","2","2","1","1","1","1","13"
"24","1","1","1","2","2","2","2","2","2","2","1","2","1","2","5","14"
"25","1","1","1","2","2","2","1","2","2","1","1","1","1","2","6","8"
"26","2","1","1","2","1","2","2","2","1","1","1","2","2","1","4","6"
"27","1","2","2","2","1","2","2","1","2","1","2","1","1","2","4","3"
"28","1","1","2","1","1","2","1","2","2","2","1","1","2","2","3","2"
"29","2","2","1","2","1","1","1","2","2","2","1","1","2","2","3","3"
"30","2","1","2","2","1","1","1","2","1","2","1","1","2","2","5","10"
"31","1","1","2","2","2","1","2","2","1","2","2","2","1","1","2","3"
"32","2","1","2","2","1","2","1","1","1","2","1","2","1","1","5","4"
"33","2","2","2","1","2","2","1","2","1","1","1","1","1","1","5","3"
"34","2","2","2","2","2","1","2","1","2","2","2","2","2","1","1","10"
"35","1","1","1","2","1","1","2","1","2","2","2","2","2","2","5","5"
"36","1","2","2","1","2","1","1","1","2","2","2","1","1","1","4","4"
"37","2","1","1","1","2","1","1","2","1","2","1","2","2","2","4","5"
"38","1","2","1","2","2","2","1","1","1","2","2","1","2","2","1","6"
"39","1","2","2","1","2","2","1","2","2","2","1","1","2","2","6","9"
"40","1","2","1","2","1","2","2","2","1","1","1","1","1","2","1","9"
"41","1","1","1","2","2","2","1","2","2","1","2","2","2","1","6","4"
"42","1","1","2","1","2","2","2","1","1","1","2","2","1","2","3","5"
"43","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","3"
"44","2","2","1","2","1","1","1","2","2","2","2","2","1","1","3","7"
"45","2","2","1","1","2","1","1","2","2","1","2","2","1","1","5","9"
"46","2","2","1","1","1","2","2","2","2","2","2","2","2","2","4","10"
"47","1","2","1","2","2","2","1","1","1","2","1","2","1","2","1","2"
"48","1","2","1","1","2","1","1","2","2","2","1","2","2","1","3","11"
"49","2","2","1","2","2","1","2","1","1","2","1","2","1","1","6","12"
"50","2","1","1","1","2","2","1","1","2","2","2","1","1","2","2","12"
"51","2","2","2","2","2","1","2","2","1","1","1","1","2","2","2","11"
"52","1","2","2","2","2","2","1","1","2","1","2","1","2","2","4","14"
"53","2","2","2","1","1","2","1","1","1","1","2","2","1","2","5","11"
"54","1","1","2","1","1","1","2","2","2","1","2","1","2","1","3","12"
"55","2","1","2","1","1","1","2","1","2","2","1","1","1","1","4","9"
"56","2","1","1","2","1","2","2","2","1","1","2","1","1","1","4","2"
"57","1","1","1","1","2","1","2","2","1","1","2","1","1","1","6","10"
"58","1","1","2","2","1","2","2","1","2","2","2","2","1","2","6","11"
"59","1","2","1","1","2","1","2","2","2","1","1","2","1","1","5","2"
"60","1","1","1","2","1","1","2","1","2","2","1","1","1","2","5","1"
"61","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1"
"62","1","2","2","1","2","1","2","1","1","1","1","2","1","2","4","13"
"63","1","1","1","1","1","1","1","1","1","2","1","2","2","1","1","14"
"64","2","2","1","2","2","1","2","1","1","1","1","1","2","2","3","4"
"65","1","2","1","2","1","2","1","1","2","1","1","1","1","1","2","10"
"66","2","1","2","2","2","1","1","1","2","1","1","2","1","1","2","6"
"67","1","2","2","1","1","2","2","1","1","2","1","1","2","1","5","12"
"68","2","2","2","1","1","1","2","1","1","2","1","1","1","2","6","6"
"69","1","1","2","2","2","1","1","1","1","2","2","2","2","2","2","9"
"70","1","1","2","2","2","1","2","2","1","2","1","1","2","2","2","7"
"71","1","2","1","1","1","2","2","2","1","2","1","2","1","1","2","8"
"72","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","7"
"73","1","2","1","1","2","1","2","2","2","1","2","1","2","2","5","6"
"74","1","2","2","2","1","1","1","2","1","1","2","1","1","1","6","5"
"75","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","5"
"76","2","2","1","2","1","1","1","1","2","2","1","1","1","2","3","13"
"77","2","2","2","2","2","2","2","2","1","2","2","1","1","1","3","14"
"78","2","1","1","2","1","2","2","1","1","1","2","2","2","1","3","9"
"79","2","2","2","1","1","1","2","1","1","2","2","2","2","2","6","2"
"80","2","1","1","1","2","2","2","1","2","2","1","2","2","1","6","3"
"81","1","1","2","1","2","2","2","1","1","1","1","1","2","1","3","1"
"82","1","1","2","1","2","2","1","1","1","1","1","2","1","2","3","10"
"83","1","2","2","2","1","1","1","2","2","1","2","2","1","2","1","12"
"84","2","1","2","2","1","2","1","1","1","2","2","1","2","1","5","8"
