"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","1","1","1","1","2","1","2","2","1","1","1","2","2","1","2","6","6"
"2","1","1","2","1","2","2","1","1","1","1","2","1","2","2","2","3","6"
"3","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","3"
"4","2","2","1","1","1","1","1","1","1","1","2","2","1","2","2","6","10"
"5","1","2","2","1","2","1","1","1","2","2","2","2","2","1","1","4","2"
"6","1","2","1","2","1","2","1","1","2","1","1","1","2","1","1","2","6"
"7","1","1","2","1","1","1","2","2","2","1","2","2","1","1","2","3","8"
"8","2","2","1","2","1","1","1","1","2","2","2","2","2","2","2","3","9"
"9","2","2","2","1","1","1","2","1","1","2","1","2","2","2","1","6","4"
"10","1","1","1","2","1","1","1","2","1","2","2","2","2","1","2","4","7"
"11","2","2","2","2","2","1","2","2","1","1","2","1","1","2","2","2","7"
"12","2","2","1","2","1","1","1","2","2","2","1","1","2","1","1","3","1"
"13","2","1","1","2","2","2","1","2","1","1","1","2","1","2","2","4","8"
"14","2","1","2","2","1","2","1","2","2","1","1","1","1","2","1","6","9"
"15","1","2","2","2","1","1","1","2","1","1","1","2","1","1","2","6","3"
"16","1","2","2","1","2","2","1","2","2","2","2","1","1","1","1","6","5"
"17","2","1","2","1","2","2","1","2","1","2","2","2","2","1","2","1","9"
"18","2","2","1","2","2","1","2","1","1","1","1","1","1","1","2","3","2"
"19","2","1","1","2","1","2","2","1","1","1","2","2","1","2","1","3","5"
"20","2","1","1","2","1","2","2","2","1","1","2","1","2","1","1","4","4"
"21","1","2","1","2","1","2","2","2","1","1","1","1","2","1","2","1","5"
"22","1","2","1","2","2","2","1","1","1","2","2","1","1","2","1","1","4"
"23","2","2","2","2","2","2","2","2","1","2","1","2","2","1","1","3","10"
"24","1","2","1","1","2","1","1","2","2","2","1","1","1","2","1","3","7"
"25","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","1","10"
"26","2","2","1","1","2","1","1","2","2","1","2","2","2","2","2","5","5"
"27","2","1","2","2","1","1","1","2","1","2","2","1","1","1","1","5","6"
"28","2","1","1","1","2","1","1","2","1","2","1","1","1","2","1","4","3"
"29","1","1","1","2","2","2","1","2","2","1","1","2","2","2","1","6","2"
"30","1","2","2","2","1","1","1","2","2","1","2","1","2","2","1","1","8"
"31","1","1","1","2","2","1","2","1","2","1","2","2","1","1","1","5","9"
"32","1","1","1","2","2","2","2","2","2","2","1","2","2","2","1","5","10"
"33","2","2","1","1","1","2","1","1","2","1","2","2","1","1","1","2","3"
"34","1","2","1","1","1","2","2","2","1","2","2","2","2","2","2","2","2"
"35","2","2","1","2","2","1","2","1","1","2","2","1","2","1","1","6","8"
"36","1","2","2","2","2","2","1","1","2","1","2","1","1","2","2","4","10"
"37","1","1","2","2","2","1","1","1","1","2","1","2","1","1","1","2","5"
"38","2","2","1","1","1","2","2","2","2","2","2","2","1","2","1","4","6"
"39","2","1","1","1","2","2","2","1","2","1","1","2","1","1","1","1","7"
"40","2","1","1","1","2","2","1","1","2","2","1","1","2","1","2","2","8"
"41","2","1","2","2","2","1","1","1","2","1","1","2","2","2","2","2","4"
"42","2","1","2","1","1","1","2","2","2","1","2","1","2","1","1","2","10"
"43","1","1","2","1","1","2","1","2","2","2","1","2","1","1","2","3","4"
"44","2","2","2","1","1","2","1","1","1","1","1","2","2","1","1","5","7"
"45","2","1","2","1","1","1","2","1","2","2","1","1","2","2","2","4","5"
"46","1","2","2","1","1","2","2","1","1","2","1","2","1","2","1","5","8"
"47","1","2","2","2","1","2","2","1","2","1","1","2","1","1","2","4","1"
"48","1","1","2","1","2","2","2","1","1","1","2","1","2","2","1","3","3"
"49","2","2","2","2","2","1","2","1","2","2","1","2","1","2","2","1","6"
"50","2","1","2","1","1","1","2","2","2","1","1","1","1","2","1","1","2"
"51","2","2","2","1","2","2","1","2","1","1","1","1","2","2","2","5","1"
"52","2","1","1","1","2","2","2","1","2","2","2","1","1","1","2","6","1"
"53","1","2","1","1","2","1","2","2","2","1","2","1","1","1","2","5","4"
"54","1","1","2","2","1","2","2","1","2","2","2","1","2","2","2","6","7"
"55","1","2","1","1","1","2","2","2","1","2","1","1","1","2","2","2","9"
"56","2","1","2","2","1","2","1","1","1","2","2","1","1","1","2","5","2"
"57","1","1","1","2","1","1","2","1","2","2","1","1","2","2","2","5","3"
"58","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","1","1"
"59","1","1","2","2","2","1","2","2","1","2","2","2","1","2","1","2","1"
"60","1","2","2","1","2","1","2","1","1","1","1","1","2","1","1","4","9"
