"","A","B","C"
"1","1","2","30"
"2","2","1","16"
"3","2","1","32"
"4","1","1","9"
"5","1","1","7"
"6","1","2","22"
"7","1","2","12"
"8","2","2","7"
"9","2","1","4"
"10","1","2","20"
"11","2","1","12"
"12","2","2","11"
"13","2","2","29"
"14","1","1","21"
"15","2","1","28"
"16","1","1","19"
"17","2","1","18"
"18","2","1","14"
"19","1","1","13"
"20","1","1","25"
"21","2","1","24"
"22","1","2","2"
"23","1","1","5"
"24","1","1","27"
"25","2","2","17"
"26","1","2","16"
"27","1","2","34"
"28","1","2","28"
"29","1","2","18"
"30","2","2","3"
"31","1","2","32"
"32","2","2","9"
"33","2","2","21"
"34","2","2","13"
"35","1","2","26"
"36","1","1","17"
"37","2","2","1"
"38","2","2","31"
"39","1","1","33"
"40","2","1","8"
"41","1","2","10"
"42","2","2","27"
"43","2","2","23"
"44","2","2","15"
"45","1","2","14"
"46","1","2","4"
"47","1","1","1"
"48","1","1","11"
"49","1","1","23"
"50","2","1","34"
"51","1","2","8"
"52","1","1","31"
"53","2","1","22"
"54","1","1","15"
"55","2","1","6"
"56","1","2","6"
"57","2","1","30"
"58","2","2","5"
"59","2","1","2"
"60","2","1","10"
"61","2","2","33"
"62","1","1","29"
"63","2","1","20"
"64","2","2","25"
"65","1","1","3"
"66","1","2","24"
"67","2","1","26"
"68","2","2","19"
