"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","2","1","2","1","2","5","8","7","2","1","4","3","6","5","8","7","2","1","4","3","2"
"2","2","2","1","1","3","3","8","4","5","1","6","2","3","7","4","8","1","5","2","6","13"
"3","2","2","2","2","1","3","6","1","3","8","1","6","5","2","7","4","2","5","4","7","6"
"4","1","2","2","1","4","1","6","7","8","5","2","3","3","2","5","8","7","6","1","4","4"
"5","1","2","2","1","4","6","8","2","3","5","7","1","2","8","6","4","1","7","5","3","7"
"6","1","2","1","2","2","1","8","6","2","4","5","7","5","7","2","4","8","6","3","1","11"
"7","1","2","1","2","2","4","1","2","7","8","5","6","3","4","1","2","7","8","5","6","2"
"8","2","1","2","1","2","1","7","4","4","7","1","6","2","5","3","8","8","3","5","2","14"
"9","2","1","1","2","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1"
"10","1","1","2","2","3","8","6","4","1","7","5","3","4","6","8","2","3","5","7","1","7"
"11","2","2","1","1","3","2","1","8","4","5","6","3","5","4","3","6","2","7","8","1","8"
"12","1","1","1","1","1","5","2","6","3","7","4","8","5","1","6","2","7","3","8","4","13"
"13","2","2","2","2","1","4","7","3","6","2","5","1","4","8","3","7","2","6","1","5","13"
"14","1","1","1","1","1","2","3","4","5","6","7","8","1","2","3","4","5","6","7","8","2"
"15","2","1","2","1","2","8","2","4","6","8","2","4","5","7","1","3","5","7","1","3","3"
"16","1","1","1","1","1","3","5","7","1","3","5","7","2","4","6","8","2","4","6","8","3"
"17","2","1","2","1","2","4","2","8","5","3","1","7","8","2","4","6","7","1","3","5","7"
"18","1","1","2","2","3","8","5","3","4","6","7","1","5","3","2","8","7","1","4","6","15"
"19","1","1","1","1","1","4","8","5","8","5","1","4","7","6","2","3","2","3","7","6","12"
"20","2","2","2","2","1","8","7","7","5","5","6","6","1","1","2","2","4","4","3","3","9"
"21","2","2","1","1","3","6","2","3","2","3","7","6","1","4","8","5","8","5","1","4","12"
"22","1","2","2","1","4","5","5","4","6","3","3","6","7","2","2","7","1","8","8","1","16"
"23","1","1","2","2","3","1","4","3","6","5","8","7","2","1","4","3","6","5","8","7","2"
"24","1","1","1","1","1","7","5","3","2","8","6","4","3","5","7","1","4","6","8","2","7"
"25","1","2","2","1","4","7","2","5","7","4","5","2","1","6","3","8","6","1","8","3","6"
"26","1","2","2","1","4","3","2","1","8","7","6","5","4","3","2","1","8","7","6","5","2"
"27","2","2","1","1","3","5","3","1","7","5","3","1","8","6","4","2","8","6","4","2","3"
"28","1","1","1","1","1","3","6","8","4","2","7","5","7","5","4","2","6","8","1","3","11"
"29","1","2","2","1","4","3","1","2","5","6","8","7","5","6","8","7","4","3","1","2","10"
"30","2","1","2","1","2","7","3","2","3","2","6","7","4","1","5","8","5","8","4","1","12"
"31","1","1","2","2","3","6","2","6","1","5","1","5","3","7","3","7","4","8","4","8","5"
"32","1","2","1","2","2","7","4","8","1","5","2","6","7","3","8","4","5","1","6","2","13"
"33","1","2","1","2","2","8","2","5","5","2","8","3","7","4","6","1","1","6","4","7","14"
"34","2","2","1","1","3","3","7","3","8","4","8","4","6","2","6","2","5","1","5","1","5"
"35","1","1","1","1","1","6","4","7","7","4","6","1","5","2","8","3","3","8","2","5","14"
"36","2","1","1","2","4","4","3","6","2","7","8","1","7","2","1","8","4","5","6","3","8"
"37","1","1","1","1","1","2","4","3","8","7","5","6","8","7","5","6","1","2","4","3","10"
"38","2","1","2","1","2","2","5","1","8","4","7","3","2","6","1","5","4","8","3","7","13"
"39","2","1","2","1","2","4","1","7","8","2","3","5","1","7","6","4","3","5","8","2","15"
"40","2","2","1","1","3","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","1"
"41","2","1","1","2","4","7","2","4","8","6","3","1","3","1","8","6","2","4","5","7","11"
"42","2","2","1","1","3","5","4","2","6","8","1","3","1","3","6","8","4","2","7","5","11"
