"","A","B","C","D","E","F","G","H","J","K","L","M","N","O"
"1","1","1","1","1","2","2","3","3","2","2","3","3","1","2"
"2","2","1","3","1","3","1","3","2","3","2","1","2","3","1"
"3","2","3","2","1","2","1","3","1","1","3","2","3","2","1"
"4","3","1","3","2","3","2","1","2","2","1","3","1","2","1"
"5","2","2","3","3","1","1","1","1","2","2","3","3","1","4"
"6","1","3","2","3","3","2","1","2","1","2","1","3","3","2"
"7","2","3","2","1","1","2","1","3","3","1","3","2","2","2"
"8","3","3","3","3","1","1","2","2","1","1","2","2","1","2"
"9","2","2","2","2","2","2","2","2","2","2","2","2","1","1"
"10","1","1","2","2","3","3","3","3","1","1","2","2","1","4"
"11","1","1","2","2","1","1","2","2","3","3","3","3","1","3"
"12","1","3","3","2","2","1","1","3","2","3","1","2","3","4"
"13","3","2","2","1","3","1","2","3","2","1","1","3","3","3"
"14","3","1","2","3","2","1","1","3","3","2","2","1","2","4"
"15","2","2","2","2","3","3","1","1","3","3","1","1","1","2"
"16","2","2","3","3","2","2","3","3","1","1","1","1","1","3"
"17","1","2","1","3","1","3","2","3","3","2","1","2","2","1"
"18","3","2","1","2","2","1","3","1","3","1","3","2","3","2"
"19","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"20","1","3","3","2","1","2","3","1","3","2","2","1","3","3"
"21","3","3","1","1","2","2","2","2","3","3","1","1","1","4"
"22","2","1","1","3","2","3","1","2","1","3","3","2","3","3"
"23","2","1","1","3","3","2","2","1","3","1","2","3","3","4"
"24","3","3","3","3","3","3","3","3","3","3","3","3","1","1"
"25","1","2","3","1","3","2","2","1","1","3","3","2","2","4"
"26","1","2","3","1","2","3","1","2","3","1","2","3","2","3"
"27","2","1","3","1","1","3","2","3","2","3","2","1","3","2"
"28","1","2","1","3","3","1","3","2","2","3","2","1","2","2"
"29","2","3","1","2","3","1","2","3","1","2","3","1","2","3"
"30","2","3","1","2","1","3","3","2","2","1","1","3","2","4"
"31","3","1","2","3","1","2","3","1","2","3","1","2","2","3"
"32","1","3","2","3","2","3","2","1","2","1","3","1","3","1"
"33","3","1","3","2","2","3","2","1","1","2","1","3","2","2"
"34","3","2","2","1","1","3","3","2","1","2","3","1","3","4"
"35","3","3","1","1","3","3","1","1","2","2","2","2","1","3"
"36","3","2","1","2","1","2","1","3","1","3","2","3","3","1"
