"","A","B","C","D","E","F","G","H","J","K","L"
"1","1","1","2","2","3","2","1","3","2","1","3"
"2","3","1","1","2","2","3","1","1","2","2","3"
"3","1","2","2","3","3","1","2","2","3","2","3"
"4","3","1","2","1","3","1","2","1","3","2","4"
"5","3","3","1","1","2","1","3","2","1","1","3"
"6","2","1","1","2","1","2","1","2","3","3","4"
"7","1","3","1","3","1","2","2","1","3","3","1"
"8","3","3","3","3","3","3","3","3","3","1","1"
"9","3","2","1","3","1","1","3","2","2","3","2"
"10","2","3","2","3","1","1","1","1","2","2","2"
"11","1","1","1","3","2","1","2","3","1","1","2"
"12","2","2","1","2","2","1","3","1","3","1","5"
"13","1","1","2","3","1","3","3","2","2","1","4"
"14","2","1","3","3","3","1","1","2","1","3","3"
"15","2","1","2","1","2","3","3","2","1","3","1"
"16","1","2","1","2","3","3","3","3","1","2","2"
"17","1","3","2","2","2","3","3","1","3","3","3"
"18","3","1","2","2","1","1","3","3","3","2","5"
"19","2","2","3","3","1","3","2","1","3","1","3"
"20","3","2","1","1","1","2","2","3","2","3","3"
"21","3","2","3","2","3","1","1","3","2","3","1"
"22","2","2","2","1","3","2","3","1","2","1","2"
"23","1","3","3","1","3","1","3","1","2","3","4"
"24","1","1","3","1","1","3","2","3","2","1","5"
"25","2","3","1","1","3","3","2","2","2","2","5"
"26","3","2","2","1","1","3","1","1","1","3","5"
"27","2","3","3","1","1","2","3","3","1","2","3"
"28","1","3","2","1","2","2","1","3","3","3","2"
"29","3","3","3","2","1","3","1","2","3","1","2"
"30","3","3","1","2","3","2","2","1","1","1","4"
"31","1","3","3","2","2","1","2","2","2","3","5"
"32","2","2","2","2","2","2","2","2","2","1","1"
"33","2","3","1","3","2","3","1","3","2","2","4"
"34","2","2","3","1","2","1","1","3","3","1","4"
"35","3","1","3","1","2","2","2","2","3","2","2"
"36","1","2","3","3","2","2","1","1","1","2","5"
"37","2","3","2","2","1","1","2","3","1","2","1"
"38","1","1","1","1","1","1","1","1","1","1","1"
"39","2","1","1","3","3","2","3","3","3","3","5"
"40","1","2","3","2","1","2","3","2","1","2","4"
"41","3","3","2","3","3","2","1","2","1","1","5"
"42","3","1","3","3","2","2","3","1","2","2","1"
"43","2","1","3","2","3","3","2","1","1","3","2"
"44","1","2","1","1","3","3","1","2","3","2","1"
"45","3","2","2","3","2","3","2","3","1","3","4"
