"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","2","2","1","1","1","1","2","1","2","2","1","3","2","4","6"
"2","2","2","1","2","2","1","2","2","1","4","4","4","4","4","1"
"3","1","1","1","1","2","2","1","2","2","1","3","3","4","4","2"
"4","1","2","2","2","1","2","2","2","1","1","4","3","2","1","3"
"5","2","1","2","2","1","2","1","2","2","2","4","1","1","4","8"
"6","2","1","2","1","2","2","1","1","1","4","1","2","3","4","3"
"7","1","1","1","2","1","2","2","2","1","2","1","2","4","3","4"
"8","1","2","2","1","2","2","1","2","2","2","2","2","2","2","1"
"9","2","2","1","2","2","1","1","1","1","1","3","2","2","3","8"
"10","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"11","2","2","1","2","1","2","2","1","2","4","2","2","1","1","2"
"12","2","1","2","2","2","1","2","2","1","3","1","1","2","2","2"
"13","2","2","1","1","1","1","1","2","2","3","2","1","4","3","3"
"14","1","1","1","2","2","1","1","2","2","3","4","2","3","1","6"
"15","1","1","1","1","1","1","2","2","1","4","2","3","3","2","8"
"16","2","1","2","1","1","1","1","2","2","4","3","4","2","1","4"
"17","2","1","2","2","2","1","1","1","1","2","2","3","4","1","7"
"18","1","2","2","1","1","1","2","2","1","3","3","2","1","4","7"
"19","1","2","2","2","2","1","2","1","2","1","2","1","3","4","4"
"20","2","1","2","1","1","1","2","1","2","1","4","2","4","2","5"
"21","2","2","1","1","2","2","1","1","1","3","4","3","1","2","4"
"22","2","2","1","1","2","2","2","2","1","2","3","1","3","1","5"
"23","1","2","2","1","1","1","1","1","1","2","4","4","3","3","2"
"24","2","1","2","1","2","2","2","2","1","1","2","4","1","3","6"
"25","1","2","2","2","1","2","1","1","1","4","3","1","4","2","6"
"26","1","1","1","2","1","2","1","1","1","3","2","4","2","4","5"
"27","1","1","1","2","2","1","2","1","2","2","3","4","1","2","3"
"28","1","1","1","1","2","2","2","1","2","4","4","1","2","3","7"
"29","1","2","2","1","2","2","2","1","2","3","1","4","4","1","8"
"30","2","2","1","2","1","2","1","2","2","1","1","4","3","2","7"
"31","1","2","2","2","2","1","1","2","2","4","1","3","1","3","5"
"32","2","1","2","2","1","2","2","1","2","3","3","3","3","3","1"
