"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"1","1","1","2","1","1","2","2","2","1","2","1","2","1","1","2","2","2","1","2","1","2","1","1","2","2","2","1","2","2","1","1","2","1","1","2","2","2","1","1","2","2","1","2","2","1","1","1","1","1","1","1","3","4","2","2","2","3","3","3","3","4","4","2"
"2","1","2","2","2","1","1","1","2","1","1","1","1","1","2","2","2","1","2","2","1","2","2","1","1","1","2","1","2","1","2","1","1","1","2","2","2","1","2","1","2","1","2","2","2","1","1","2","2","2","2","1","1","1","1","2","4","3","2","1","2","3","2","5"
"3","1","1","2","2","2","1","1","1","2","2","1","2","2","2","1","1","1","2","2","1","2","2","2","1","1","1","2","2","2","1","1","2","2","2","1","1","1","2","1","2","1","2","2","1","2","1","1","1","1","1","1","2","3","4","4","4","2","2","2","3","4","4","2"
"4","1","1","1","2","1","2","1","2","2","1","1","1","2","1","2","1","2","2","1","1","1","2","1","2","1","2","2","1","1","1","1","1","2","1","2","1","2","2","2","1","2","2","1","1","1","1","2","2","2","1","2","2","4","1","4","3","4","2","3","1","1","1","2"
"5","1","1","1","2","2","2","2","1","1","1","2","2","1","1","1","1","2","2","1","2","2","1","1","1","1","2","2","1","2","1","1","1","2","2","2","2","1","1","1","1","2","2","2","2","1","1","1","1","2","1","2","3","3","3","2","1","1","2","4","2","3","3","7"
"6","1","2","2","2","1","1","1","2","1","1","1","1","1","2","2","2","1","2","1","2","1","1","2","2","2","1","2","1","2","1","2","2","2","1","1","1","2","1","1","2","2","1","2","1","2","1","1","1","2","1","2","1","2","2","1","3","4","1","2","2","3","4","7"
"7","2","2","1","2","1","2","1","1","1","1","1","2","1","2","1","2","2","2","2","2","1","2","1","2","1","1","1","1","1","1","1","2","1","2","1","2","2","2","1","2","1","2","2","1","2","2","1","2","2","1","2","1","3","3","3","3","3","3","3","3","1","3","6"
"8","2","1","1","1","2","2","2","1","2","2","2","2","2","1","1","1","2","1","1","2","1","1","2","2","2","1","2","1","2","1","2","2","2","1","1","1","2","1","1","2","1","2","2","2","1","1","2","2","2","2","1","1","1","1","2","4","3","2","1","4","1","4","6"
"9","1","1","2","2","2","1","1","1","2","2","1","2","2","2","1","1","1","2","1","2","1","1","1","2","2","2","1","1","1","2","2","1","1","1","2","2","2","1","1","2","2","1","2","2","1","1","2","2","1","2","2","2","4","3","3","3","1","1","1","3","4","2","4"
"10","1","1","2","1","2","1","2","2","2","1","1","2","1","2","1","2","2","2","1","1","2","1","2","1","2","2","2","1","1","1","1","2","1","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"11","2","2","1","2","1","2","1","1","1","2","2","1","2","1","2","1","1","1","1","1","2","1","2","1","2","2","2","1","1","1","1","2","1","2","1","2","2","2","1","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","2","2","2","2","2","3","3","1","4"
"12","2","2","2","1","1","1","1","2","2","2","1","1","2","2","2","2","1","1","2","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","1","1","2","2","1","1","2","2","2","2","1","1","1","1","2","1","2","3","3","3","2","1","1","2","4","4","1","1","8"
"13","2","1","2","2","2","2","1","2","1","1","1","2","2","2","2","1","2","1","1","2","2","2","2","2","1","2","1","2","1","2","1","2","2","2","2","1","2","1","2","2","1","2","1","2","2","2","1","2","2","2","1","2","4","3","2","1","4","1","2","4","3","4","1"
"14","1","2","1","1","1","1","2","1","2","2","2","1","1","1","1","2","1","2","2","1","1","1","1","1","2","1","2","1","2","1","2","1","1","1","1","2","1","2","2","2","1","2","1","2","2","2","1","2","2","2","1","2","4","3","2","1","4","1","2","2","1","2","2"
"15","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","1","1","1","1","2","2","1","1","4","3","1","4","2","3","4","2","4","5"
"16","1","1","2","2","2","1","1","1","2","1","2","1","1","1","2","2","2","1","1","2","1","1","1","2","2","2","1","2","2","1","1","2","2","2","1","1","1","2","1","1","2","2","1","2","2","2","2","1","2","2","1","2","2","1","1","1","3","3","3","3","2","2","8"
"17","2","2","2","1","1","1","1","2","2","1","2","2","1","1","1","1","2","2","1","2","2","1","1","1","1","2","2","2","1","2","2","2","1","1","1","1","2","2","1","2","1","2","1","1","1","2","2","1","1","2","2","3","2","2","3","4","4","3","1","4","3","3","2"
"18","2","1","2","2","2","2","1","2","1","2","2","1","1","1","1","2","1","2","2","1","1","1","1","1","2","1","2","2","1","2","1","2","2","2","2","1","2","1","2","1","2","2","2","1","2","1","2","2","1","1","1","2","1","2","3","4","1","4","3","4","1","2","7"
"19","2","1","1","1","2","1","1","2","1","2","1","1","1","2","1","1","2","1","2","2","1","1","2","1","1","2","1","1","2","2","1","1","1","2","1","1","2","1","2","2","2","1","2","1","2","2","1","2","2","2","1","3","2","1","3","2","1","2","4","2","2","1","2"
"20","1","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","1","1","2","2","1","2","2","1","2","2","1","1","2","2","2","1","2","2","1","2","2","2","2","1","2","1","2","2","1","2","2","2","1","3","2","1","3","2","1","2","4","4","4","3","1"
"21","2","1","1","2","1","1","2","2","2","2","1","1","2","1","1","2","2","2","2","2","1","2","1","1","2","2","2","2","2","2","1","1","2","1","1","2","2","2","2","2","2","1","1","2","2","1","2","2","2","1","2","3","1","3","1","4","2","3","4","3","3","4","1"
"22","1","2","1","1","1","1","2","1","2","1","1","2","2","2","2","1","2","1","1","2","2","2","2","2","1","2","1","1","2","1","2","1","1","1","1","2","1","2","2","1","2","2","2","1","2","1","2","2","1","1","1","2","1","2","3","4","1","4","3","2","3","4","8"
"23","2","1","2","2","2","2","1","2","1","1","1","2","2","2","2","1","2","1","2","1","1","1","1","1","2","1","2","1","2","1","2","1","1","1","1","2","1","2","2","2","2","1","1","1","1","2","2","1","2","1","2","2","3","4","1","2","3","2","1","4","3","2","3"
"24","2","1","2","2","2","2","1","2","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","2","1","2","1","1","2","1","2","1","1","1","1","2","1","2","2","1","1","1","2","2","1","1","1","1","1","2","2","2","2","1","4","3","2","3","4","4","1","4","5"
"25","2","2","1","1","1","2","2","2","1","1","2","1","1","1","2","2","2","1","1","2","1","1","1","2","2","2","1","1","1","2","2","1","1","1","2","2","2","1","1","2","1","2","2","1","2","1","1","1","1","1","1","2","3","4","4","4","2","2","2","1","2","2","1"
"26","1","2","2","1","2","2","1","1","1","1","2","2","1","2","2","1","1","1","1","1","2","1","2","2","1","1","1","1","1","1","2","2","1","2","2","1","1","1","2","2","2","1","1","2","2","1","2","2","2","1","2","3","1","3","1","4","2","3","4","1","1","2","2"
"27","2","1","2","1","1","2","1","1","2","2","1","2","1","1","2","1","1","2","1","1","1","2","2","1","2","2","1","2","1","1","2","1","2","2","1","2","2","1","1","1","1","1","2","2","1","2","1","2","1","1","1","2","2","3","1","4","4","2","3","2","2","3","3"
"28","1","1","2","2","2","1","1","1","2","1","2","1","1","1","2","2","2","1","2","1","2","2","2","1","1","1","2","1","1","2","2","1","1","1","2","2","2","1","1","1","1","1","1","1","1","2","1","2","2","1","2","2","1","2","2","2","4","4","4","3","2","4","6"
"29","1","1","2","1","2","1","2","2","2","2","2","1","2","1","2","1","1","1","1","1","2","1","2","1","2","2","2","2","2","2","2","1","2","1","2","1","1","1","1","2","1","2","2","1","2","2","1","2","2","1","2","1","3","3","3","3","3","3","3","1","3","1","5"
"30","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","2","2","1","2","1","1","1","1","2","2","1","1","1","1","2","3","4","2","3","1","4","4","2","2","7"
"31","1","2","2","1","2","2","1","1","1","2","1","1","2","1","1","2","2","2","1","1","2","1","2","2","1","1","1","2","2","2","1","1","2","1","1","2","2","2","2","1","2","2","2","2","1","2","2","1","1","1","1","3","3","1","3","2","4","1","2","1","3","2","6"
"32","1","2","1","1","1","1","2","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","1","2","1","2","2","1","2","1","2","2","2","2","1","2","1","2","1","1","1","2","2","1","1","1","1","1","2","2","2","2","1","4","3","2","3","4","2","3","2","6"
"33","1","2","1","2","2","1","2","2","1","2","1","2","1","1","2","1","1","2","2","2","2","1","1","2","1","1","2","2","1","1","2","1","2","2","1","2","2","1","1","2","1","2","1","2","2","1","1","1","2","1","2","2","4","1","3","2","2","4","1","4","2","1","8"
"34","1","2","1","1","1","1","2","1","2","2","2","1","1","1","1","2","1","2","1","2","2","2","2","2","1","2","1","2","1","2","1","2","2","2","2","1","2","1","2","2","2","1","1","1","1","2","2","1","2","1","2","2","3","4","1","2","3","2","1","2","1","4","4"
"35","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","2","2","1","1","1","1","2","2","1","1","4","3","1","4","2","3","2","4","2","6"
"36","1","1","1","2","1","2","1","2","2","1","1","1","2","1","2","1","2","2","2","2","2","1","2","1","2","1","1","2","2","2","2","2","1","2","1","2","1","1","2","1","1","1","1","2","2","1","1","1","2","2","1","2","3","2","3","4","3","1","4","1","1","3","4"
"37","2","1","1","2","1","1","2","2","2","1","2","2","1","2","2","1","1","1","2","2","1","2","1","1","2","2","2","1","1","1","2","2","1","2","2","1","1","1","2","1","2","2","2","2","1","2","2","1","1","1","1","3","3","1","3","2","4","1","2","3","1","4","5"
"38","2","2","1","2","2","1","1","1","2","1","2","1","2","2","1","1","1","2","1","2","1","2","2","1","1","1","2","1","1","2","2","1","2","2","1","1","1","2","1","2","2","1","2","2","1","1","1","1","1","1","1","3","4","2","2","2","3","3","3","1","2","2","1"
"39","1","2","1","1","2","2","1","2","2","2","2","1","1","2","2","1","2","2","2","1","1","1","2","2","1","2","2","2","2","1","2","1","1","2","2","1","2","2","2","1","1","1","2","2","1","1","2","2","2","1","2","1","2","4","3","1","3","4","2","3","4","3","1"
"40","2","2","1","2","1","2","1","1","1","1","1","2","1","2","1","2","2","2","1","1","2","1","2","1","2","2","2","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","2","2","1","2","2","1","2","2","1","1","4","4","4","4","4","4","4","3","1","1","8"
"41","2","1","2","2","1","1","2","1","1","1","1","2","2","1","1","2","1","1","1","2","2","2","1","1","2","1","1","1","1","2","1","2","2","1","1","2","1","1","2","1","1","1","2","2","1","1","2","2","2","1","2","1","2","4","3","1","3","4","2","1","2","1","2"
"42","2","1","2","2","1","1","2","1","1","1","1","2","2","1","1","2","1","1","2","1","1","1","2","2","1","2","2","2","2","1","2","1","1","2","2","1","2","2","2","1","2","2","2","1","2","1","1","1","2","2","1","1","1","3","4","2","4","3","1","1","2","3","4"
"43","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","1","2","2","2","1","2","1","2","1","4","1","2","4","1","3","2","2","2","4","4"
"44","2","2","2","1","2","1","2","1","1","2","2","2","1","2","1","2","1","1","2","2","2","1","2","1","2","1","1","2","2","2","2","2","1","2","1","2","1","1","2","1","2","2","1","1","1","1","2","2","2","1","2","2","4","1","4","3","4","2","3","3","3","3","1"
"45","2","1","2","1","1","2","1","1","2","1","2","1","2","2","1","2","2","1","1","1","1","2","2","1","2","2","1","1","2","2","1","2","1","1","2","1","1","2","1","2","1","2","1","2","2","1","1","1","2","1","2","2","4","1","3","2","2","4","1","2","4","3","7"
"46","1","2","1","2","2","1","2","2","1","2","1","2","1","1","2","1","1","2","1","1","1","2","2","1","2","2","1","1","2","2","1","2","1","1","2","1","1","2","1","2","2","1","1","1","1","1","2","2","2","2","1","2","3","2","4","1","1","3","2","4","2","3","6"
"47","1","2","2","2","1","2","2","1","2","2","1","1","1","2","1","1","2","1","2","2","1","1","2","1","1","2","1","2","1","1","2","2","2","1","2","2","1","2","2","1","1","1","1","2","2","1","2","2","1","1","1","3","3","4","2","3","4","3","1","4","2","1","7"
"48","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","1","2","1","2","2","2","1","1","3","2","1","3","2","4","1","2","2","2","2"
"49","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","1","1","1","2","1","2","2","2","1","2","1","2","1","4","1","2","4","1","3","2","4","4","2","3"
"50","2","1","1","1","2","1","1","2","1","1","2","2","2","1","2","2","1","2","1","1","2","2","1","2","2","1","2","1","2","2","1","1","1","2","1","1","2","1","2","1","1","1","1","2","2","1","2","2","1","1","1","3","3","4","2","3","4","3","1","2","4","3","8"
"51","2","1","1","1","2","2","2","1","2","2","2","2","2","1","1","1","2","1","2","1","2","2","1","1","1","2","1","2","1","2","1","1","1","2","2","2","1","2","1","2","2","1","2","1","2","1","1","1","2","1","2","1","2","2","1","3","4","1","2","4","1","2","8"
"52","2","2","1","1","1","2","2","2","1","1","2","1","1","1","2","2","2","1","2","1","2","2","2","1","1","1","2","2","2","1","1","2","2","2","1","1","1","2","1","2","2","1","2","2","1","1","2","2","1","2","2","2","4","3","3","3","1","1","1","1","2","4","3"
"53","2","2","1","2","1","2","1","1","1","2","2","1","2","1","2","1","1","1","2","2","1","2","1","2","1","1","1","2","2","2","2","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3","2"
"54","1","1","2","1","1","2","2","2","1","2","1","2","1","1","2","2","2","1","1","2","1","2","2","1","1","1","2","1","1","2","2","1","2","2","1","1","1","2","1","2","1","2","2","1","2","1","2","2","1","2","2","3","3","1","1","1","4","4","4","3","4","2","4"
"55","1","1","1","2","2","2","2","1","1","2","1","1","2","2","2","2","1","1","2","1","1","2","2","2","2","1","1","1","2","1","1","1","2","2","2","2","1","1","1","2","1","2","1","1","1","2","2","1","1","2","2","3","2","2","3","4","4","3","1","2","1","1","1"
"56","2","2","1","2","2","1","1","1","2","1","2","1","2","2","1","1","1","2","2","1","2","1","1","2","2","2","1","2","2","1","1","2","1","1","2","2","2","1","1","2","1","2","2","1","2","1","2","2","1","2","2","3","3","1","1","1","4","4","4","1","2","4","3"
"57","2","2","1","1","1","2","2","2","1","2","1","2","2","2","1","1","1","2","1","2","1","1","1","2","2","2","1","2","2","1","1","2","2","2","1","1","1","2","1","1","1","1","1","1","1","2","1","2","2","1","2","2","1","2","2","2","4","4","4","1","4","2","5"
"58","1","1","2","1","2","1","2","2","2","2","2","1","2","1","2","1","1","1","2","2","1","2","1","2","1","1","1","1","1","1","1","2","1","2","1","2","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","1","4","4","4","4","4","4","4","1","3","3","7"
"59","2","1","1","1","2","2","2","1","2","1","1","1","1","2","2","2","1","2","2","1","2","2","1","1","1","2","1","1","2","1","2","2","2","1","1","1","2","1","1","1","2","2","1","1","1","2","1","2","1","1","1","1","4","4","3","1","2","3","4","4","3","2","4"
"60","2","2","2","1","1","1","1","2","2","1","2","2","1","1","1","1","2","2","2","1","1","2","2","2","2","1","1","1","2","1","1","1","2","2","2","2","1","1","1","2","2","1","1","2","2","2","1","2","1","1","1","3","1","1","4","3","3","4","2","4","3","1","4"
"61","2","1","1","1","2","1","1","2","1","1","2","2","2","1","2","2","1","2","2","2","1","1","2","1","1","2","1","2","1","1","2","2","2","1","2","2","1","2","2","1","2","2","1","1","1","1","1","1","1","2","2","3","4","3","1","4","3","4","2","2","4","1","6"
"62","1","1","1","2","2","2","2","1","1","2","1","1","2","2","2","2","1","1","1","2","2","1","1","1","1","2","2","2","1","2","2","2","1","1","1","1","2","2","1","2","2","1","1","2","2","2","1","2","1","1","1","3","1","1","4","3","3","4","2","2","1","3","3"
"63","2","2","2","1","2","1","2","1","1","1","1","1","2","1","2","1","2","2","2","2","2","1","2","1","2","1","1","1","1","1","1","1","2","1","2","1","2","2","2","2","2","1","2","1","2","2","2","1","1","1","1","2","2","3","2","1","2","4","1","3","1","3","5"
"64","2","2","2","1","1","1","1","2","2","2","1","1","2","2","2","2","1","1","1","2","2","1","1","1","1","2","2","1","2","1","1","1","2","2","2","2","1","1","1","1","1","1","2","1","2","1","2","2","2","2","1","3","4","4","1","2","2","1","3","4","1","3","6"
"65","1","2","1","1","2","2","1","2","2","2","2","1","1","2","2","1","2","2","1","2","2","2","1","1","2","1","1","1","1","2","1","2","2","1","1","2","1","1","2","1","2","2","2","1","2","1","1","1","2","2","1","1","1","3","4","2","4","3","1","3","4","1","3"
"66","2","1","1","1","2","1","1","2","1","2","1","1","1","2","1","1","2","1","1","1","2","2","1","2","2","1","2","2","1","1","2","2","2","1","2","2","1","2","2","2","1","2","2","2","1","2","2","1","2","1","2","3","1","2","4","1","2","1","3","2","2","3","4"
"67","1","1","1","2","2","2","2","1","1","1","2","2","1","1","1","1","2","2","2","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","1","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","1","3","4","4","1","2","2","1","3","2","3","1","5"
"68","2","2","2","1","2","1","2","1","1","1","1","1","2","1","2","1","2","2","1","1","1","2","1","2","1","2","2","2","2","2","2","2","1","2","1","2","1","1","2","2","1","2","2","2","1","2","1","2","1","2","2","2","1","4","1","2","1","3","2","3","1","1","7"
"69","1","2","2","2","1","2","2","1","2","1","2","2","2","1","2","2","1","2","2","2","1","1","2","1","1","2","1","1","2","2","1","1","1","2","1","1","2","1","2","2","1","2","2","2","1","2","2","1","2","1","2","3","1","2","4","1","2","1","3","4","4","1","3"
"70","1","1","2","1","1","2","2","2","1","1","2","1","2","2","1","1","1","2","2","1","2","1","1","2","2","2","1","1","1","2","2","1","2","2","1","1","1","2","1","1","2","2","1","2","2","2","1","2","2","1","2","3","2","4","4","4","1","1","1","3","2","4","6"
"71","2","1","2","1","1","2","1","1","2","1","2","1","2","2","1","2","2","1","2","2","2","1","1","2","1","1","2","2","1","1","2","1","2","2","1","2","2","1","1","2","2","1","1","1","1","1","2","2","2","2","1","2","3","2","4","1","1","3","2","2","4","1","5"
"72","1","2","2","2","1","2","2","1","2","2","1","1","1","2","1","1","2","1","1","1","2","2","1","2","2","1","2","1","2","2","1","1","1","2","1","1","2","1","2","1","2","2","1","1","1","1","1","1","1","2","2","3","4","3","1","4","3","4","2","4","2","3","5"
"73","2","1","1","2","1","1","2","2","2","1","2","2","1","2","2","1","1","1","1","1","2","1","2","2","1","1","1","2","2","2","1","1","2","1","1","2","2","2","2","1","1","1","2","1","2","2","1","2","1","2","2","3","4","2","4","1","3","2","1","3","1","2","7"
"74","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","2","1","2","2","2","2","1","2","1","2","2","2","1","1","3","2","1","3","2","4","1","4","4","4","1"
