"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","2","1","2","2","2","2","1","1","2","2","1","2","2","1","1","1","1","2","2","4","3"
"2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","1","1","1","3","3"
"3","1","1","2","1","2","1","2","2","2","2","1","1","2","2","1","2","2","1","1","4","6"
"4","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","3"
"5","1","2","1","2","1","2","2","2","2","1","1","2","2","1","2","2","1","1","2","4","9"
"6","2","2","2","1","1","2","2","1","2","2","1","1","1","1","2","1","2","1","1","3","5"
"7","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","1","2","8"
"8","1","1","2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","3","6"
"9","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","5"
"10","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","2","1","6"
"11","2","1","1","2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","1","3","7"
"12","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","7"
"13","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","2","3"
"14","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","2","1","10"
"15","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","2","5"
"16","1","1","1","1","2","1","2","1","2","2","2","2","1","1","2","2","1","2","1","3","1"
"17","1","2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","1","4","8"
"18","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","7"
"19","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","2","1","2"
"20","2","1","2","1","2","2","2","2","1","1","2","2","1","2","2","1","1","1","2","4","5"
"21","1","2","2","2","2","1","1","2","2","1","2","2","1","1","1","1","2","1","1","3","9"
"22","1","2","1","2","2","2","2","1","1","2","2","1","2","2","1","1","1","1","2","3","8"
"23","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","1","1"
"24","2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","1","2","4","1"
"25","2","2","1","1","1","1","2","1","2","1","2","2","2","2","1","1","2","2","1","4","10"
"26","2","1","1","1","1","2","1","2","1","2","2","2","2","1","1","2","2","1","2","3","10"
"27","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4"
"28","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","9"
"29","1","1","1","2","1","2","1","2","2","2","2","1","1","2","2","1","2","2","2","4","7"
"30","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","1","9"
"31","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","4"
"32","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","2","1","4"
"33","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","1","2","6"
"34","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","2","1"
"35","2","2","1","1","2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","3","4"
"36","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","1","2","10"
"37","2","2","2","2","1","1","2","2","1","2","2","1","1","1","1","2","1","2","1","4","2"
"38","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","2","1","8"
"39","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","1","2","2"
"40","1","2","2","1","1","1","1","2","1","2","1","2","2","2","2","1","1","2","2","3","2"
