"","A","B","C"
"1","2","2","27"
"2","1","1","29"
"3","2","2","19"
"4","2","2","13"
"5","1","2","10"
"6","1","2","2"
"7","1","2","12"
"8","1","2","16"
"9","2","2","11"
"10","2","1","18"
"11","1","1","11"
"12","1","2","22"
"13","1","1","15"
"14","2","2","7"
"15","2","2","23"
"16","2","1","20"
"17","2","2","1"
"18","2","2","21"
"19","1","1","3"
"20","1","2","24"
"21","1","1","25"
"22","1","1","19"
"23","2","1","22"
"24","1","1","17"
"25","1","1","23"
"26","1","2","6"
"27","1","1","1"
"28","1","2","26"
"29","2","1","2"
"30","2","1","10"
"31","1","2","18"
"32","2","1","26"
"33","1","1","21"
"34","2","2","17"
"35","1","2","30"
"36","2","2","25"
"37","1","2","8"
"38","1","1","5"
"39","2","1","14"
"40","2","2","5"
"41","1","1","9"
"42","1","1","27"
"43","2","2","9"
"44","2","2","3"
"45","2","1","12"
"46","2","1","24"
"47","1","2","20"
"48","1","1","7"
"49","2","2","15"
"50","1","2","4"
"51","2","1","30"
"52","2","1","16"
"53","1","1","13"
"54","2","1","6"
"55","2","1","8"
"56","2","1","28"
"57","2","2","29"
"58","2","1","4"
"59","1","2","28"
"60","1","2","14"
