,A,B,C
1,1,1,21
2,1,2,2
3,1,3,14
4,1,1,20
5,1,2,12
6,1,3,19
7,1,1,17
8,1,2,1
9,1,3,9
10,1,1,3
11,1,2,12
12,1,3,11
13,1,1,18
14,1,2,21
15,1,3,22
16,1,1,16
17,1,2,11
18,1,3,14
19,1,1,7
20,1,2,23
21,1,3,2
22,1,1,22
23,1,2,8
24,1,3,10
25,1,1,22
26,1,2,13
27,1,3,10
28,1,1,13
29,1,2,20
30,1,3,3
31,1,1,8
32,1,2,21
33,1,3,13
34,1,1,10
35,1,2,5
36,1,3,15
37,1,1,12
38,1,2,15
39,1,3,1
40,1,1,6
41,1,2,18
42,1,3,4
43,1,1,9
44,1,2,17
45,1,3,16
46,1,1,23
47,1,2,9
48,1,3,19
49,1,1,5
50,1,2,15
51,1,3,17
52,1,1,20
53,1,2,14
54,1,3,3
55,1,1,7
56,1,2,23
57,1,3,5
58,1,1,2
59,1,2,4
60,1,3,6
61,1,1,8
62,1,2,7
63,1,3,16
64,1,1,19
65,1,2,4
66,1,3,6
67,1,1,1
68,1,2,11
69,1,3,18
70,2,1,15
71,2,2,8
72,2,3,7
73,2,1,4
74,2,2,18
75,2,3,4
76,2,1,1
77,2,2,3
78,2,3,9
79,2,1,18
80,2,2,16
81,2,3,20
82,2,1,17
83,2,2,10
84,2,3,20
85,2,1,23
86,2,2,9
87,2,3,8
88,2,1,19
89,2,2,7
90,2,3,1
91,2,1,11
92,2,2,19
93,2,3,18
94,2,1,11
95,2,2,5
96,2,3,17
97,2,1,14
98,2,2,19
99,2,3,21
100,2,1,4
101,2,2,16
102,2,3,15
103,2,1,2
104,2,2,13
105,2,3,11
106,2,1,14
107,2,2,22
108,2,3,8
109,2,1,12
110,2,2,22
111,2,3,13
112,2,1,9
113,2,2,3
114,2,3,22
115,2,1,15
116,2,2,10
117,2,3,2
118,2,1,6
119,2,2,17
120,2,3,12
121,2,1,13
122,2,2,6
123,2,3,5
124,2,1,3
125,2,2,2
126,2,3,21
127,2,1,21
128,2,2,1
129,2,3,23
130,2,1,5
131,2,2,20
132,2,3,7
133,2,1,10
134,2,2,14
135,2,3,23
136,2,1,16
137,2,2,6
138,2,3,12
