"","A","B","C"
"1","2","2","13"
"2","1","2","34"
"3","1","1","19"
"4","2","1","50"
"5","1","1","49"
"6","2","2","21"
"7","2","2","47"
"8","1","1","7"
"9","2","2","41"
"10","1","2","24"
"11","1","2","14"
"12","2","1","24"
"13","2","1","4"
"14","1","1","39"
"15","1","2","30"
"16","1","1","13"
"17","1","1","43"
"18","1","2","26"
"19","2","2","5"
"20","2","1","30"
"21","1","1","31"
"22","1","2","48"
"23","2","1","16"
"24","2","1","8"
"25","2","2","39"
"26","1","1","17"
"27","2","2","49"
"28","1","2","28"
"29","1","1","27"
"30","1","1","15"
"31","1","2","18"
"32","1","2","32"
"33","1","2","44"
"34","1","1","23"
"35","1","2","40"
"36","1","1","9"
"37","2","2","1"
"38","2","2","31"
"39","2","2","37"
"40","2","2","27"
"41","2","1","6"
"42","1","1","47"
"43","2","1","40"
"44","1","2","46"
"45","2","2","43"
"46","2","2","29"
"47","1","2","50"
"48","2","1","2"
"49","1","1","25"
"50","2","1","20"
"51","1","2","36"
"52","1","2","38"
"53","1","1","5"
"54","2","1","34"
"55","2","2","35"
"56","1","1","3"
"57","1","2","42"
"58","2","2","15"
"59","2","1","48"
"60","2","2","33"
"61","2","1","32"
"62","2","2","7"
"63","2","2","45"
"64","2","1","28"
"65","1","1","29"
"66","1","1","1"
"67","2","1","36"
"68","1","1","33"
"69","2","2","11"
"70","2","1","46"
"71","2","2","25"
"72","2","2","23"
"73","2","1","18"
"74","1","2","16"
"75","1","2","12"
"76","1","2","22"
"77","1","2","6"
"78","2","1","42"
"79","1","1","37"
"80","1","2","8"
"81","2","1","22"
"82","1","2","10"
"83","2","1","10"
"84","1","2","20"
"85","1","1","45"
"86","2","1","38"
"87","2","1","14"
"88","1","1","35"
"89","2","2","17"
"90","2","1","26"
"91","1","1","21"
"92","2","1","12"
"93","1","1","41"
"94","2","2","9"
"95","2","1","44"
"96","2","2","19"
"97","1","2","2"
"98","2","2","3"
"99","1","2","4"
"100","1","1","11"
