"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","2","1","2","1","1","1","2","2","2","1","1","1","1","2","1","1","10"
"2","1","2","1","2","1","2","1","1","2","1","1","1","2","1","1","2","14"
"3","1","1","2","1","2","2","1","1","1","1","2","1","2","2","2","3","14"
"4","1","1","1","1","1","1","1","1","1","1","2","2","2","2","1","1","9"
"5","2","2","1","2","1","1","1","2","2","2","1","1","2","1","2","3","3"
"6","1","1","2","2","1","2","2","1","2","2","2","1","2","2","2","6","15"
"7","1","2","2","1","2","1","1","1","2","2","1","2","2","1","2","4","8"
"8","1","1","2","2","2","1","2","2","1","2","2","2","1","2","1","2","9"
"9","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1"
"10","2","2","2","1","1","1","2","1","1","2","1","1","1","2","2","6","6"
"11","1","1","2","1","1","2","1","2","2","2","1","1","2","1","1","3","2"
"12","2","1","2","1","1","1","2","2","2","1","2","1","2","1","1","2","18"
"13","1","1","1","1","2","1","2","2","1","1","1","2","2","1","2","6","14"
"14","2","2","1","2","1","1","1","2","2","2","2","2","1","2","1","3","7"
"15","1","2","2","1","2","1","2","1","1","1","1","1","2","1","1","4","17"
"16","1","2","1","1","2","1","2","2","2","1","2","1","1","1","2","5","12"
"17","2","2","2","1","2","2","1","2","1","1","1","1","1","2","1","5","3"
"18","2","1","1","1","2","2","1","1","2","2","1","1","2","1","2","2","16"
"19","1","1","2","2","2","1","1","1","1","2","1","2","1","1","1","2","13"
"20","1","2","2","2","1","2","2","1","2","1","1","2","1","1","2","4","9"
"21","1","2","2","2","2","2","1","1","2","1","2","1","1","2","2","4","18"
"22","2","1","1","2","1","2","2","2","1","1","2","1","1","2","1","4","2"
"23","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","3"
"24","2","1","2","2","2","1","1","1","2","1","2","1","2","2","2","2","2"
"25","1","1","1","2","1","1","2","1","2","2","1","1","2","2","2","5","11"
"26","2","2","1","2","1","1","1","2","2","2","1","1","2","1","1","3","9"
"27","1","2","1","1","2","1","2","2","2","1","1","2","1","1","2","5","2"
"28","2","2","2","1","1","1","2","1","1","2","1","2","2","2","1","6","12"
"29","2","2","1","2","2","1","2","1","1","1","2","2","1","2","2","3","8"
"30","2","2","2","1","1","1","2","1","1","2","2","2","2","1","1","6","2"
"31","2","1","2","2","2","1","1","1","2","1","1","2","2","2","2","2","12"
"32","2","1","2","2","2","1","1","1","2","1","1","2","1","1","1","2","6"
"33","1","1","1","2","1","1","2","1","2","2","2","2","2","1","2","5","5"
