"","A","B","C"
"1","1","2","6"
"2","2","2","3"
"3","2","2","11"
"4","1","1","25"
"5","2","2","1"
"6","1","2","12"
"7","2","2","21"
"8","2","1","14"
"9","1","1","17"
"10","2","1","8"
"11","1","2","2"
"12","1","1","3"
"13","1","1","5"
"14","1","1","11"
"15","2","1","6"
"16","1","1","13"
"17","1","1","9"
"18","2","1","16"
"19","1","2","10"
"20","1","1","23"
"21","2","1","2"
"22","2","1","4"
"23","2","1","12"
"24","1","1","15"
"25","1","1","19"
"26","2","1","20"
"27","1","2","4"
"28","2","1","22"
"29","2","2","9"
"30","2","1","24"
"31","2","2","5"
"32","1","2","18"
"33","2","1","26"
"34","1","2","8"
"35","1","1","1"
"36","2","2","17"
"37","2","2","13"
"38","1","2","16"
"39","1","2","22"
"40","2","1","18"
"41","1","2","24"
"42","1","1","7"
"43","2","2","15"
"44","1","2","14"
"45","1","1","21"
"46","2","2","25"
"47","1","2","20"
"48","2","2","23"
"49","2","2","19"
"50","2","1","10"
"51","1","2","26"
"52","2","2","7"
