"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V","W"
"1","4","4","3","2","1","3","2","1","5","2","1","5","4","1","5","4","3","2","3","4","5","5"
"2","1","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","2"
"3","4","1","5","4","3","3","5","2","4","1","2","3","4","2","5","3","1","1","4","2","5","3"
"4","3","2","4","1","3","5","1","2","3","2","1","5","4","5","3","1","4","3","5","2","4","1"
"5","3","4","2","5","3","1","2","3","4","1","3","5","2","2","1","5","4","5","3","1","4","4"
"6","1","5","5","5","5","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","2"
"7","1","4","4","4","4","2","2","2","2","5","5","5","5","3","3","3","3","1","1","1","1","4"
"8","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1"
"9","4","5","4","3","2","1","2","3","4","2","5","3","1","5","2","4","1","1","5","4","3","2"
"10","1","4","4","4","4","1","1","1","1","3","3","3","3","5","5","5","5","2","2","2","2","3"
"11","2","3","4","5","1","5","4","3","2","2","4","1","3","2","5","3","1","2","1","5","4","2"
"12","2","3","4","5","1","4","2","5","3","4","3","2","1","1","3","5","2","1","4","2","5","1"
"13","4","4","3","2","1","2","5","3","1","5","2","4","1","3","4","5","1","3","5","2","4","4"
"14","2","2","3","4","5","4","3","2","1","1","3","5","2","1","4","2","5","1","5","4","3","2"
"15","2","5","1","2","3","2","1","5","4","4","1","3","5","4","2","5","3","4","3","2","1","2"
"16","4","2","1","5","4","3","4","5","1","4","2","5","3","2","4","1","3","3","2","1","5","2"
"17","2","4","1","3","5","5","4","3","2","3","1","4","2","5","1","2","3","1","4","2","5","5"
"18","2","4","5","1","2","1","5","4","3","3","5","2","4","3","1","4","2","3","2","1","5","2"
"19","3","4","2","5","3","2","4","1","3","3","2","1","5","4","5","1","2","1","5","4","3","5"
"20","1","4","4","4","4","5","5","5","5","1","1","1","1","2","2","2","2","3","3","3","3","2"
"21","3","1","4","2","5","3","4","5","1","3","5","2","4","4","3","2","1","2","5","3","1","4"
"22","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"23","1","3","3","3","3","1","1","1","1","4","4","4","4","2","2","2","2","5","5","5","5","4"
"24","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1"
"25","4","5","3","1","4","4","2","5","3","3","1","4","2","2","5","3","1","4","5","1","2","1"
"26","3","2","4","1","3","1","3","5","2","5","2","4","1","4","1","3","5","2","3","4","5","2"
"27","2","5","2","4","1","5","3","1","4","2","3","4","5","4","3","2","1","3","2","1","5","4"
"28","2","2","3","4","5","3","1","4","2","3","2","1","5","5","2","4","1","5","3","1","4","1"
"29","2","4","5","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5","1","2","3","3"
"30","3","2","5","3","1","5","2","4","1","1","5","4","3","2","3","4","5","4","3","2","1","5"
"31","4","5","4","3","2","4","3","2","1","3","2","1","5","2","1","5","4","3","4","5","1","5"
"32","3","3","1","4","2","3","2","1","5","4","5","1","2","4","1","3","5","3","5","2","4","3"
"33","3","5","2","4","1","3","4","5","1","5","4","3","2","3","1","4","2","1","3","5","2","1"
"34","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","1"
"35","1","5","5","5","5","2","2","2","2","4","4","4","4","1","1","1","1","3","3","3","3","3"
"36","2","1","3","5","2","2","1","5","4","5","3","1","4","2","3","4","5","3","1","4","2","5"
"37","2","5","1","2","3","4","5","1","2","3","4","5","1","2","3","4","5","1","2","3","4","3"
"38","1","5","1","2","3","5","2","4","1","5","3","1","4","5","4","3","2","2","4","1","3","5"
"39","4","4","3","2","1","1","3","5","2","4","5","1","2","5","3","1","4","4","2","5","3","3"
"40","3","4","1","3","5","2","3","4","5","4","3","2","1","2","5","3","1","5","2","4","1","1"
"41","4","4","3","2","1","5","1","2","3","1","4","2","5","4","1","3","5","5","4","3","2","2"
"42","1","3","3","3","3","5","5","5","5","2","2","2","2","4","4","4","4","1","1","1","1","3"
"43","2","4","1","3","5","4","2","5","3","1","2","3","4","3","2","1","5","2","1","5","4","4"
"44","4","5","4","3","2","2","4","1","3","5","1","2","3","1","4","2","5","5","3","1","4","3"
"45","3","5","3","1","4","3","5","2","4","4","3","2","1","5","1","2","3","2","1","5","4","5"
"46","2","1","2","3","4","2","5","3","1","2","1","5","4","4","1","3","5","4","2","5","3","1"
"47","4","5","4","3","2","3","1","4","2","1","3","5","2","4","5","1","2","4","1","3","5","4"
"48","4","2","1","5","4","1","5","4","3","5","4","3","2","4","3","2","1","5","1","2","3","5"
"49","3","5","2","4","1","4","1","3","5","3","5","2","4","2","4","1","3","5","1","2","3","2"
"50","3","1","3","5","2","5","2","4","1","4","1","3","5","3","5","2","4","1","2","3","4","2"
"51","3","4","2","5","3","4","3","2","1","5","1","2","3","5","2","4","1","4","1","3","5","3"
"52","1","2","2","2","2","5","5","5","5","3","3","3","3","1","1","1","1","4","4","4","4","4"
"53","3","2","5","3","1","2","1","5","4","3","4","5","1","3","5","2","4","2","4","1","3","3"
