"","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"29","2","2","2","1","2","1","2","1","1","2","1","1","3","2","3","1","2","1","3","3","2","1","1","3","2","3","1","2","1","3","3","2","1","1","3","2","3","1","2","1","3","3","2","3","1","3","2","1","2","1","1","4"
"30","1","2","2","2","1","1","2","2","1","1","1","3","2","3","2","1","2","2","1","3","1","2","1","3","1","3","2","3","3","2","1","2","3","2","1","2","1","3","1","1","3","2","3","1","1","2","3","1","1","3","2","8"
"31","1","2","1","2","2","1","1","2","2","2","2","1","2","1","2","1","3","1","3","2","3","3","2","3","2","3","2","1","2","1","3","1","1","3","1","3","1","3","2","3","2","1","2","3","3","2","1","2","2","1","3","8"
"32","2","1","2","1","2","1","1","2","2","1","1","1","3","3","2","2","1","3","1","2","3","2","2","1","1","3","3","2","1","2","3","1","3","3","2","2","1","1","3","2","3","1","2","3","3","2","2","1","1","2","4","5"
"33","1","1","2","2","2","2","1","1","1","2","1","2","3","2","1","1","3","3","2","2","1","1","2","3","2","1","1","3","3","2","2","1","1","2","3","2","1","1","3","3","2","2","1","1","3","3","3","3","1","1","4","7"
"34","2","1","1","2","2","2","2","2","1","1","2","1","2","2","1","3","1","3","1","3","2","2","1","2","2","1","3","1","3","1","3","2","2","1","2","2","1","3","1","3","1","3","2","3","3","1","3","2","2","3","5","7"
"35","2","1","1","2","1","1","2","1","2","2","3","2","3","2","3","2","1","2","1","3","1","2","1","2","1","2","1","3","1","3","2","3","1","3","1","3","1","3","2","3","2","1","2","1","3","1","2","1","2","1","2","3"
"36","2","1","2","1","2","1","1","2","2","1","2","1","3","3","1","3","2","2","3","2","1","1","3","2","2","3","2","1","1","2","1","3","3","2","1","1","2","1","3","3","1","3","2","1","1","3","3","2","2","3","6","3"
"37","2","2","1","1","1","2","1","2","1","2","2","1","2","1","2","1","3","1","3","2","3","2","1","2","1","2","1","3","1","3","2","3","2","1","2","1","2","1","3","1","3","2","3","1","2","2","2","2","1","1","6","7"
"38","1","1","2","2","2","2","1","1","1","2","2","3","1","3","2","2","1","1","3","3","2","2","3","1","3","2","2","1","1","3","3","2","2","3","1","3","2","2","1","1","3","3","2","1","3","3","3","3","1","1","4","1"
"39","1","1","2","2","2","2","1","1","1","2","1","3","2","2","3","2","1","1","2","1","3","2","1","3","3","1","3","2","2","3","2","1","3","2","1","1","2","1","3","3","1","3","2","2","1","1","1","1","2","2","6","8"
"40","1","2","1","1","2","2","2","1","2","1","2","2","1","1","3","3","2","1","2","3","1","1","1","3","3","2","2","1","3","1","2","3","3","3","2","2","1","1","3","2","3","1","2","2","3","2","3","1","3","1","6","9"
"41","1","2","1","1","2","2","2","1","2","1","3","3","3","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1","2","1","2","3","2","3","4","8"
"42","2","2","2","2","1","2","1","1","2","1","2","2","1","3","1","2","3","2","1","1","3","3","3","2","1","2","3","1","3","2","2","1","1","1","3","2","3","1","2","1","3","3","2","2","1","1","2","2","1","1","5","8"
"43","1","1","2","2","2","2","1","1","1","2","3","1","2","1","3","3","2","2","1","1","3","3","1","2","1","3","3","2","2","1","1","3","3","1","2","1","3","3","2","2","1","1","3","1","3","3","3","3","1","1","4","4"
"44","2","1","2","1","2","1","1","2","2","1","3","3","2","2","1","1","3","2","3","1","2","1","1","3","3","2","2","1","3","1","2","3","2","2","1","1","3","3","2","1","2","3","1","3","3","2","2","1","1","2","4","2"
"45","2","2","2","1","2","1","2","1","1","2","3","1","1","3","3","1","1","2","2","2","2","1","2","2","1","1","2","2","3","3","3","3","2","3","3","2","2","3","3","1","1","1","1","1","2","1","3","2","3","2","3","8"
"46","2","2","2","2","1","2","1","1","2","1","3","2","3","3","2","1","2","1","2","1","3","2","1","2","2","1","3","1","3","1","3","2","1","3","1","1","3","2","3","2","3","2","1","3","2","2","3","3","2","2","1","3"
"47","1","1","2","1","1","2","2","2","2","2","1","3","1","1","3","2","3","2","3","2","1","2","1","2","2","1","3","1","3","1","3","2","3","2","3","3","2","1","2","1","2","1","3","3","2","3","3","1","3","1","5","5"
"48","2","2","2","1","2","1","2","1","1","2","1","2","2","1","1","2","2","3","3","3","3","2","3","3","2","2","3","3","1","1","1","1","3","1","1","3","3","1","1","2","2","2","2","1","2","1","3","2","3","2","3","2"
"49","2","1","1","2","1","1","2","1","2","2","2","1","2","1","2","1","3","1","3","2","3","1","3","1","3","1","3","2","3","2","1","2","3","2","3","2","3","2","1","2","1","3","1","1","3","1","2","1","2","1","2","9"
"50","1","1","1","1","1","1","1","1","1","1","2","3","1","3","2","2","1","1","3","3","2","1","2","3","2","1","1","3","3","2","2","1","3","1","2","1","3","3","2","2","1","1","3","3","1","1","3","3","1","1","3","3"
"51","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","2","2","3","3","3","3","1","2","2","1","1","2","2","3","3","3","3","1","2","2","1","1","2","2","3","3","3","3","1","2","2","1","1","2","2","5","1"
"52","2","2","2","1","2","1","2","1","1","2","2","3","3","2","2","3","3","1","1","1","1","3","1","1","3","3","1","1","2","2","2","2","1","2","2","1","1","2","2","3","3","3","3","1","2","1","3","2","3","2","3","5"
"53","1","1","2","2","2","2","1","1","1","2","2","3","3","1","1","1","1","2","2","3","3","1","2","2","3","3","3","3","1","1","2","2","3","1","1","2","2","2","2","3","3","1","1","3","2","2","2","2","3","3","2","6"
"54","1","1","2","2","2","2","1","1","1","2","3","2","1","1","2","1","3","3","1","3","2","1","3","2","2","3","2","1","1","2","1","3","2","1","3","3","1","3","2","2","3","2","1","2","1","1","1","1","2","2","6","5"
"55","1","2","1","1","2","2","2","1","2","1","3","1","2","3","1","2","3","1","2","3","1","3","1","2","3","1","2","3","1","2","3","1","3","1","2","3","1","2","3","1","2","3","1","3","1","3","1","2","1","2","2","4"
"56","2","2","1","1","1","2","1","2","1","2","3","2","3","2","3","2","1","2","1","3","1","3","2","3","2","3","2","1","2","1","3","1","3","2","3","2","3","2","1","2","1","3","1","1","2","2","2","2","1","1","6","1"
"57","2","1","1","2","2","2","2","2","1","1","1","1","3","2","3","1","2","1","3","3","2","3","3","2","1","2","3","1","3","2","2","1","2","2","1","3","1","2","3","2","1","1","3","2","2","3","2","1","1","2","3","6"
"58","2","1","1","2","2","2","2","2","1","1","3","1","1","2","2","2","2","3","3","1","1","1","2","2","3","3","3","3","1","1","2","2","2","3","3","1","1","1","1","2","2","3","3","1","1","2","1","3","3","1","1","8"
"59","2","1","1","2","2","2","2","2","1","1","3","2","3","3","2","1","2","1","2","1","3","3","2","3","3","2","1","2","1","2","1","3","3","2","3","3","2","1","2","1","2","1","3","3","3","1","3","2","2","3","5","1"
"60","1","2","2","2","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","3","1","2","2","1","4","3"
"61","2","2","2","2","1","2","1","1","2","1","1","3","2","3","2","1","2","2","1","3","1","1","3","2","3","2","1","2","2","1","3","1","1","3","2","3","2","1","2","2","1","3","1","1","3","3","1","1","3","3","3","7"
"62","1","1","2","1","1","2","2","2","2","2","2","1","3","3","1","3","2","2","3","2","1","2","1","3","3","1","3","2","2","3","2","1","2","1","3","3","1","3","2","2","3","2","1","2","1","2","2","3","2","3","3","1"
"63","2","1","1","2","1","1","2","1","2","2","3","1","2","1","3","3","2","2","1","1","3","1","2","3","2","1","1","3","3","2","2","1","2","3","1","3","2","2","1","1","3","3","2","3","2","3","1","3","1","3","6","5"
"64","2","1","1","2","2","2","2","2","1","1","1","2","2","3","3","3","3","1","1","2","2","2","3","3","1","1","1","1","2","2","3","3","3","1","1","2","2","2","2","3","3","1","1","1","1","2","1","3","3","1","1","2"
"65","2","1","2","1","2","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","3","3","1","2","4"
"66","1","2","2","2","1","1","2","2","1","1","3","1","1","2","2","2","2","3","3","1","1","3","1","1","2","2","2","2","3","3","1","1","3","1","1","2","2","2","2","3","3","1","1","3","3","1","2","3","3","2","6","7"
"67","1","1","2","1","1","2","2","2","2","2","3","2","3","3","2","1","2","1","2","1","3","1","3","1","1","3","2","3","2","3","2","1","2","1","2","2","1","3","1","3","1","3","2","3","2","3","3","1","3","1","5","2"
"68","2","2","1","1","1","2","1","2","1","2","1","2","3","1","2","3","1","2","3","1","2","2","3","1","2","3","1","2","3","1","2","3","3","1","2","3","1","2","3","1","2","3","1","2","3","3","3","3","2","2","2","8"
"69","1","2","1","1","2","2","2","1","2","1","1","1","3","3","2","2","1","3","1","2","3","3","3","2","2","1","1","3","2","3","1","2","2","2","1","1","3","3","2","1","2","3","1","2","3","2","3","1","3","1","6","6"
"70","1","1","1","1","1","1","1","1","1","1","1","2","3","2","1","1","3","3","2","2","1","3","1","2","1","3","3","2","2","1","1","3","2","3","1","3","2","2","1","1","3","3","2","3","1","1","3","3","1","1","3","9"
"71","1","2","1","2","2","1","1","2","2","2","2","3","3","2","2","3","3","1","1","1","1","1","2","2","1","1","2","2","3","3","3","3","3","1","1","3","3","1","1","2","2","2","2","1","1","3","2","3","3","2","5","6"
"72","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","3","2","2","3","3","2","2","2","3","3","1","1","3","3","1","1","3","3","3","1","1","2","2","1","1","2","2","2","3","3","2","2","3","3","1","2"
"73","1","2","1","1","2","2","2","1","2","1","2","3","1","2","3","1","2","3","1","2","3","2","3","1","2","3","1","2","3","1","2","3","2","3","1","2","3","1","2","3","1","2","3","3","1","3","1","2","1","2","2","1"
