"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","1","2","2","2","2","1","1","2","1","1","2","1","2","1","1","2","1","1","2","1","8"
"2","2","1","1","1","2","2","2","2","1","1","2","2","2","1","2","1","2","2","2","2","11"
"3","1","2","2","2","1","2","1","1","1","2","2","2","2","1","2","1","2","1","1","1","17"
"4","1","1","1","2","2","2","1","1","1","2","2","1","1","2","2","1","1","2","1","1","19"
"5","2","1","2","1","1","2","2","1","2","1","1","1","2","2","2","1","1","2","2","2","5"
"6","1","2","1","1","1","1","2","1","1","1","1","1","2","1","2","1","2","2","1","2","19"
"7","2","1","1","2","2","1","2","1","1","1","2","2","1","1","1","1","2","1","2","2","4"
"8","2","1","1","2","2","2","1","1","2","1","1","2","2","2","1","2","1","2","1","1","4"
"9","1","1","2","2","1","2","1","1","2","1","1","1","1","1","2","2","2","1","2","1","14"
"10","1","1","1","2","2","1","1","2","1","2","1","2","1","2","2","1","1","2","2","1","2"
"11","2","2","2","1","2","2","1","1","1","1","2","2","1","1","2","1","1","2","1","1","8"
"12","1","1","2","2","2","1","2","1","2","1","2","2","1","1","2","1","2","1","1","1","5"
"13","2","1","2","2","2","1","2","2","2","1","1","2","1","2","1","1","2","2","1","1","18"
"14","2","2","2","1","1","1","1","1","2","2","1","2","2","2","2","1","1","2","2","1","11"
"15","2","2","1","2","1","1","1","1","2","2","2","2","1","1","1","1","1","1","2","2","1"
"16","2","2","2","1","1","2","2","2","1","2","2","2","1","2","1","2","2","2","2","1","6"
"17","2","1","1","1","1","2","2","1","2","2","1","2","1","2","1","1","2","1","2","2","8"
"18","2","2","1","1","2","1","2","1","2","2","1","1","2","1","2","1","2","1","2","1","16"
"19","2","1","1","1","1","1","1","2","2","1","2","1","1","1","2","1","1","2","1","1","20"
"20","1","2","1","2","2","1","1","1","2","2","2","2","2","1","1","1","2","2","2","2","12"
"21","2","1","2","2","1","2","2","2","1","2","2","1","2","1","2","2","2","2","1","2","12"
"22","1","2","2","1","1","2","1","1","1","1","1","2","1","2","1","2","2","2","1","2","15"
"23","2","2","2","1","1","1","1","2","2","1","1","2","1","1","1","2","1","1","2","2","19"
"24","1","1","2","2","1","1","1","1","1","2","1","1","1","2","1","2","2","1","1","1","11"
"25","1","1","1","2","1","1","2","2","2","2","1","1","2","2","2","2","2","2","1","2","8"
"26","1","2","1","2","2","1","1","2","2","1","2","1","2","2","2","2","1","1","1","2","6"
"27","1","2","1","1","2","2","2","1","1","1","2","2","1","2","1","2","2","2","1","1","16"
"28","2","2","2","2","2","1","1","1","2","2","1","1","1","2","2","2","2","2","1","2","17"
"29","2","1","1","2","1","2","2","1","2","2","2","1","1","2","1","2","2","2","2","1","7"
"30","2","2","2","1","2","1","1","2","1","2","1","2","1","2","1","1","2","2","1","2","14"
"31","2","1","2","2","1","1","2","1","1","2","2","2","2","2","1","1","1","1","1","2","9"
"32","2","2","1","2","1","1","2","1","1","1","2","1","1","2","2","2","2","1","2","1","2"
"33","2","2","2","1","1","2","2","1","2","1","2","1","2","1","1","2","1","1","1","2","2"
"34","1","1","1","2","1","1","1","1","2","1","2","2","2","1","1","2","1","2","2","1","15"
"35","2","1","1","1","2","2","1","1","1","2","2","1","1","1","2","2","1","1","1","2","18"
"36","2","2","1","1","2","2","1","2","1","2","2","1","2","2","1","2","1","2","1","1","5"
"37","1","1","1","1","1","2","2","2","1","1","2","2","2","2","1","1","1","1","2","2","17"
"38","2","1","1","1","1","1","1","2","2","2","2","1","1","1","1","2","2","2","1","2","21"
"39","2","1","1","1","1","1","1","2","1","1","1","1","2","2","1","1","2","1","1","2","13"
"40","1","2","2","1","1","2","2","1","2","1","2","1","1","1","1","1","2","2","1","1","10"
"41","2","2","2","1","2","1","1","1","1","1","1","1","1","2","1","1","1","1","2","1","12"
"42","1","2","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","2","2","18"
"43","1","2","1","2","2","2","2","1","1","2","1","2","2","2","1","2","2","1","1","2","20"
"44","1","1","1","1","2","2","1","1","2","2","1","1","1","1","2","1","2","1","2","2","6"
"45","2","2","1","2","2","2","2","2","1","2","1","1","1","1","2","1","1","1","1","2","15"
"46","2","1","1","2","2","2","1","2","1","1","1","2","1","2","2","2","2","1","2","2","10"
"47","2","1","1","1","1","1","1","1","1","2","1","2","2","1","2","2","1","1","1","1","10"
"48","1","1","1","1","2","1","2","1","1","2","2","1","2","1","1","2","1","2","2","1","14"
"49","1","1","1","1","1","2","2","2","2","1","1","2","1","2","2","2","1","1","1","1","12"
"50","2","2","1","2","1","1","2","1","1","1","1","1","2","2","2","2","2","2","1","1","1"
"51","1","2","1","1","1","1","2","1","2","2","2","2","1","2","2","2","1","2","2","2","13"
"52","2","2","1","2","2","2","1","1","2","1","1","1","2","2","1","1","1","2","1","2","3"
"53","1","1","2","2","1","2","1","1","1","1","2","1","1","2","1","1","1","2","2","2","21"
"54","2","2","2","1","2","2","1","1","2","1","2","1","1","2","2","2","2","1","2","2","9"
"55","2","2","2","2","1","2","2","2","1","2","1","1","1","1","1","1","1","1","2","1","20"
"56","1","2","1","1","2","1","2","2","2","2","1","2","1","1","1","2","1","2","1","1","9"
"57","1","2","1","1","1","2","1","2","2","1","1","2","2","1","1","1","2","1","1","1","7"
"58","1","1","2","1","2","1","1","1","2","1","2","2","2","2","2","2","2","2","2","2","20"
"59","1","1","2","1","2","2","2","2","1","1","1","2","1","1","2","2","1","2","2","2","1"
"60","2","1","2","2","1","1","2","1","1","1","1","2","2","1","1","1","1","2","1","1","6"
"61","1","2","2","1","1","1","2","2","1","2","2","1","1","1","2","1","2","2","1","2","4"
"62","1","1","1","2","1","2","1","2","1","1","1","1","2","1","2","1","2","2","2","1","9"
"63","1","1","2","1","1","1","2","2","1","2","2","2","1","2","2","2","1","1","1","1","3"
"64","2","2","2","2","2","2","1","2","1","1","2","2","2","1","2","2","2","2","2","1","13"
"65","1","2","1","2","1","1","1","2","1","2","1","2","1","1","1","2","2","1","2","2","5"
"66","1","2","1","1","1","1","1","2","1","1","2","1","2","2","1","1","2","1","2","1","18"
"67","2","1","2","1","2","1","1","1","1","2","2","2","2","1","2","2","1","1","1","2","7"
"68","1","2","1","2","2","2","2","2","2","1","2","1","1","1","1","2","1","1","1","2","11"
"69","2","1","2","2","1","2","1","2","1","2","1","1","2","1","1","2","1","2","2","2","16"
"70","1","1","2","1","2","1","2","1","1","1","1","1","2","1","1","2","2","1","2","2","3"
"71","1","1","2","2","2","2","2","1","2","2","1","1","1","1","1","1","1","1","1","1","13"
"72","2","1","1","1","2","1","2","2","2","1","1","1","1","1","1","2","1","2","2","1","17"
"73","1","2","1","1","2","2","2","1","1","2","1","2","2","2","2","1","1","1","2","1","21"
"74","2","1","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","1","2","1","19"
"75","1","2","2","2","2","1","2","2","2","2","2","1","2","2","1","1","1","2","2","2","10"
"76","1","1","2","1","2","2","1","2","2","2","1","2","2","1","1","1","2","2","1","2","2"
"77","1","1","2","2","1","1","1","2","2","1","2","2","1","2","2","1","1","1","1","2","16"
"78","1","2","2","2","2","1","2","2","1","1","1","1","1","2","2","1","1","2","2","2","7"
"79","2","2","1","2","1","2","2","2","2","1","2","2","2","2","2","1","1","1","1","2","14"
"80","2","1","2","1","2","1","2","2","2","2","2","1","2","2","2","1","2","1","2","1","15"
"81","1","2","2","1","1","2","1","2","2","2","1","1","2","2","2","2","1","1","2","1","4"
"82","2","2","2","2","2","1","2","2","2","1","1","2","2","1","2","2","2","1","1","1","21"
"83","1","1","2","1","2","2","1","2","2","2","2","1","2","2","1","1","2","1","1","1","1"
"84","2","2","1","2","1","2","1","2","2","2","2","2","1","1","2","1","2","2","2","1","3"
