"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","1","1","1","2","2","2","2","3","3","3","1","1","1","4","4","4","5"
"2","2","2","2","1","2","2","1","1","2","4","3","1","4","3","4","2","3"
"3","1","1","1","2","2","2","2","4","4","4","3","3","3","1","1","1","3"
"4","2","1","2","1","2","1","4","2","3","4","2","1","3","1","2","4","6"
"5","2","2","2","2","1","1","2","2","1","3","4","2","3","4","3","1","3"
"6","2","2","1","1","1","4","3","2","3","4","3","2","1","4","1","2","1"
"7","2","1","1","2","2","4","1","1","3","2","4","2","3","1","4","3","4"
"8","2","1","2","2","1","2","3","3","1","4","2","4","1","3","2","1","4"
"9","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1"
"10","1","1","1","1","1","1","1","4","4","4","2","2","2","3","3","3","5"
"11","2","1","1","2","2","4","1","3","2","1","3","4","2","4","3","1","6"
"12","2","1","2","1","2","1","4","3","4","2","3","2","1","2","4","1","2"
"13","2","1","1","1","1","3","2","2","4","1","3","1","4","2","3","4","4"
"14","2","2","1","2","2","3","4","4","3","1","2","4","1","2","1","3","3"
"15","1","1","2","1","2","3","3","3","3","3","3","3","3","3","3","3","1"
"16","1","2","2","1","2","4","2","4","3","1","1","2","4","3","2","1","4"
"17","1","1","2","2","1","4","4","1","1","1","3","3","3","2","2","2","5"
"18","2","2","1","2","2","3","4","1","4","3","4","1","2","3","2","1","1"
"19","2","1","1","2","2","4","1","2","1","3","2","3","4","3","1","4","2"
"20","2","2","2","1","2","2","1","4","1","2","1","4","3","2","3","4","1"
"21","1","1","2","2","1","4","4","2","2","2","1","1","1","3","3","3","3"
"22","2","2","2","1","2","2","1","2","4","1","4","3","1","4","2","3","5"
"23","1","2","1","2","2","1","3","4","1","2","3","1","4","4","2","3","6"
"24","2","2","2","2","1","1","2","3","2","1","2","3","4","1","4","3","1"
"25","2","2","1","1","1","4","3","3","4","2","1","3","2","1","2","4","3"
"26","1","2","1","2","2","1","3","1","2","4","4","3","1","2","3","4","4"
"27","1","2","2","2","1","3","1","4","2","3","3","2","1","1","2","4","2"
"28","1","1","2","1","2","3","3","2","2","2","4","4","4","1","1","1","5"
"29","1","2","1","1","1","2","4","3","2","1","4","2","3","3","1","4","6"
"30","2","1","2","2","1","2","3","4","3","1","4","1","2","1","3","2","2"
"31","1","2","1","1","1","2","4","2","1","3","3","4","2","1","4","3","4"
"32","2","1","1","1","1","3","2","1","2","4","1","4","3","4","2","3","2"
"33","2","1","2","2","1","2","3","1","4","3","1","2","4","2","1","3","6"
"34","2","1","2","1","2","1","4","4","2","3","1","3","2","4","1","2","4"
"35","1","2","2","1","2","4","2","1","4","3","2","4","1","1","3","2","6"
"36","1","1","2","2","1","4","4","4","4","4","4","4","4","4","4","4","1"
"37","1","2","1","2","2","1","3","2","4","1","1","4","3","3","4","2","2"
"38","1","1","1","1","1","1","1","3","3","3","4","4","4","2","2","2","3"
"39","2","2","1","1","1","4","3","4","2","3","2","1","3","2","4","1","5"
"40","1","1","2","1","2","3","3","1","1","1","2","2","2","4","4","4","3"
"41","1","2","1","1","1","2","4","1","3","2","2","3","4","4","3","1","2"
"42","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"43","2","2","1","2","2","3","4","3","1","4","1","2","4","1","3","2","5"
"44","1","2","2","2","1","3","1","2","3","4","1","3","2","2","4","1","6"
"45","2","2","2","2","1","1","2","1","3","2","3","4","2","3","1","4","5"
"46","2","1","1","1","1","3","2","4","1","2","4","3","1","3","4","2","6"
"47","1","2","2","1","2","4","2","3","1","4","4","1","2","2","1","3","2"
"48","1","2","2","2","1","3","1","3","4","2","2","1","3","4","1","2","4"
