"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","1","1","2","2","1","4","4","4","4","4","4","4","4","4","1"
"2","2","2","1","2","2","3","1","4","4","1","1","1","4","2","1"
"3","2","1","1","2","2","4","1","2","4","2","2","1","3","3","4"
"4","1","2","1","2","2","1","4","2","3","4","3","2","4","2","6"
"5","1","2","2","1","2","4","1","3","2","1","2","3","1","3","6"
"6","2","2","2","2","1","1","3","2","2","3","3","3","2","4","1"
"7","1","2","2","2","1","3","4","3","2","4","1","2","3","4","4"
"8","1","2","1","2","2","1","3","1","3","4","2","1","2","4","10"
"9","1","1","2","1","2","3","2","1","3","4","2","3","4","1","9"
"10","1","2","2","1","2","4","3","4","1","3","2","1","4","3","4"
"11","1","1","1","2","2","2","1","4","1","3","2","4","2","1","5"
"12","1","2","2","2","1","3","2","2","1","1","3","1","1","3","8"
"13","1","2","2","2","1","3","4","3","4","1","2","2","2","1","2"
"14","2","2","1","2","2","3","4","2","1","2","2","3","1","1","5"
"15","2","1","2","1","2","1","3","2","1","2","1","2","4","1","2"
"16","2","2","1","1","1","4","4","2","3","2","4","4","1","4","7"
"17","2","1","2","2","1","2","4","1","2","1","2","1","3","2","2"
"18","2","1","1","1","1","3","2","1","3","1","1","2","4","4","4"
"19","2","2","2","1","2","2","2","2","3","3","1","1","2","4","9"
"20","2","2","2","2","1","1","1","1","4","4","2","2","1","3","9"
"21","2","1","1","2","2","4","2","3","4","3","4","3","1","4","2"
"22","1","1","2","2","1","4","1","2","4","3","1","4","3","2","9"
"23","2","1","1","1","1","3","1","4","3","4","3","4","2","3","2"
"24","1","1","2","1","2","3","3","3","3","3","3","3","3","3","1"
"25","1","2","1","1","1","2","1","2","3","1","4","3","2","1","4"
"26","2","2","2","2","1","1","1","3","2","3","1","1","4","1","7"
"27","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"28","2","2","1","2","2","3","3","1","4","1","3","3","2","3","7"
"29","1","1","1","2","2","2","2","2","2","2","2","2","2","2","1"
"30","1","1","2","2","1","4","2","1","1","3","3","2","1","1","7"
"31","1","2","2","1","2","4","2","4","2","1","3","4","3","1","10"
"32","2","2","1","1","1","4","2","3","3","2","2","2","3","1","1"
"33","2","2","2","1","2","2","4","1","2","2","1","3","4","3","3"
"34","2","1","2","1","2","1","4","3","1","3","3","4","2","2","4"
"35","2","1","2","2","1","2","1","1","3","2","3","4","4","1","10"
"36","1","1","2","2","1","4","3","2","3","1","4","2","4","3","5"
"37","2","1","2","2","1","2","3","4","2","4","4","3","1","1","4"
"38","1","1","1","1","1","1","1","4","2","2","3","2","3","3","3"
"39","1","1","1","2","2","2","4","3","3","1","1","4","3","3","7"
"40","1","2","2","1","2","4","3","4","3","2","1","1","1","2","2"
"41","2","1","1","2","2","4","3","3","1","4","1","2","2","3","10"
"42","1","1","1","1","1","1","3","4","4","2","2","3","4","4","7"
"43","2","2","2","2","1","1","2","4","3","4","4","1","3","3","5"
"44","1","1","1","2","2","2","3","4","2","1","3","2","1","4","9"
"45","2","2","2","2","1","1","3","2","1","1","2","4","3","4","3"
"46","2","1","2","2","1","2","3","3","3","2","3","1","1","2","6"
"47","1","1","1","2","2","2","2","3","1","1","4","1","4","4","3"
"48","2","2","2","1","2","2","1","3","4","3","3","2","4","4","5"
"49","2","1","1","1","1","3","3","1","1","3","4","2","3","2","8"
"50","1","2","1","2","2","1","4","4","3","3","1","3","3","1","8"
"51","1","2","1","2","2","1","2","1","4","2","3","4","1","2","4"
"52","1","2","2","1","2","4","1","1","2","2","4","2","2","4","8"
"53","2","2","1","1","1","4","3","1","2","1","1","4","2","2","5"
"54","2","1","1","1","1","3","2","2","2","3","2","4","4","3","6"
"55","2","1","2","1","2","1","2","2","4","1","4","3","3","2","10"
"56","2","1","2","2","1","2","2","4","4","2","1","3","2","3","8"
"57","2","2","2","1","2","2","4","1","1","4","4","4","1","3","1"
"58","2","2","2","1","2","2","2","4","1","4","2","2","3","2","7"
"59","1","2","2","2","1","3","1","3","1","2","4","3","4","2","10"
"60","1","2","2","2","1","3","2","4","1","2","1","4","2","4","6"
"61","1","2","1","1","1","2","3","3","4","4","2","4","4","2","8"
"62","2","2","1","1","1","4","4","4","1","1","3","3","4","2","9"
"63","2","1","2","1","2","1","1","3","3","1","2","4","1","4","8"
"64","1","2","1","1","1","2","3","1","4","3","4","1","3","1","6"
"65","2","1","1","1","1","3","4","4","2","3","2","1","1","4","10"
"66","1","1","2","1","2","3","4","1","4","2","3","1","3","4","5"
"67","2","1","1","2","2","4","4","2","2","4","3","1","4","1","8"
"68","2","1","1","2","2","4","1","1","1","4","1","3","3","4","6"
"69","2","2","1","2","2","3","3","3","2","2","4","4","3","1","9"
"70","1","1","1","1","1","1","4","3","1","2","4","1","2","3","9"
"71","1","2","1","2","2","1","2","1","2","3","4","4","4","3","2"
"72","1","1","1","1","1","1","2","3","2","4","1","3","1","2","5"
"73","1","1","2","1","2","3","1","2","2","4","4","1","2","2","7"
"74","2","2","1","1","1","4","2","3","4","4","3","1","2","1","3"
"75","1","2","1","1","1","2","4","2","4","3","1","2","1","3","10"
"76","2","1","2","1","2","1","4","4","4","1","4","2","2","1","6"
"77","1","1","2","1","2","3","3","2","4","4","1","4","1","1","3"
"78","1","2","1","1","1","2","1","2","1","4","3","3","3","4","2"
"79","1","1","2","2","1","4","4","1","3","3","2","3","2","2","3"
"80","2","2","1","2","2","3","1","4","3","3","4","2","1","2","3"
