"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","1","2","3","2","7","6","1","9","5","3","8","4","9"
"2","3","2","1","3","8","8","8","8","8","8","8","8","1"
"3","2","3","1","2","2","7","5","1","9","4","3","8","9"
"4","1","3","2","3","8","4","2","7","6","1","9","5","9"
"5","3","1","2","2","3","5","2","4","9","6","8","1","6"
"6","1","2","3","2","9","4","7","5","3","6","1","8","8"
"7","2","2","2","1","3","7","1","8","6","9","4","2","8"
"8","1","2","3","2","2","2","2","2","2","2","2","2","1"
"9","3","3","3","1","4","2","5","3","7","1","8","6","8"
"10","2","2","2","1","4","6","2","1","3","8","7","9","3"
"11","3","3","3","1","6","3","2","8","5","4","1","7","7"
"12","1","3","2","3","3","3","3","3","3","3","3","3","1"
"13","3","3","3","1","2","4","1","6","8","5","7","3","6"
"14","3","2","1","3","6","1","4","2","9","3","7","5","8"
"15","3","2","1","3","1","6","3","5","7","4","9","2","6"
"16","2","3","1","2","4","5","9","7","8","3","1","2","2"
"17","3","3","3","1","7","8","3","1","2","6","4","5","2"
"18","3","1","2","2","9","8","4","6","5","1","3","2","3"
"19","1","3","2","3","6","9","7","1","4","5","8","2","4"
"20","1","1","1","1","1","1","1","1","1","1","1","1","1"
"21","1","1","1","1","5","9","2","6","7","3","4","8","5"
"22","3","1","2","2","7","7","7","7","7","7","7","7","1"
"23","2","1","3","3","4","4","4","4","4","4","4","4","1"
"24","2","3","1","2","5","4","3","2","1","9","8","7","3"
"25","1","2","3","2","1","3","8","7","9","5","4","6","3"
"26","2","2","2","1","2","8","7","4","1","3","9","6","7"
"27","1","3","2","3","2","1","9","8","7","6","5","4","3"
"28","3","2","1","3","2","5","6","9","3","1","4","7","4"
"29","2","1","3","3","9","2","8","1","6","3","5","7","6"
"30","2","1","3","3","5","6","7","8","9","1","2","3","2"
"31","1","2","3","2","6","7","3","4","8","1","5","9","5"
"32","3","1","2","2","8","9","1","2","3","4","5","6","2"
"33","2","1","3","3","8","3","5","9","1","6","7","2","5"
"34","1","1","1","1","7","4","6","3","9","8","5","2","7"
"35","2","1","3","3","3","8","6","2","7","5","1","9","9"
"36","2","2","2","1","7","3","9","2","4","1","6","8","6"
"37","2","3","1","2","7","2","4","8","3","5","9","1","5"
"38","3","3","3","1","3","6","4","7","1","2","5","8","4"
"39","1","3","2","3","9","6","5","2","8","7","4","1","7"
"40","1","1","1","1","8","6","9","4","2","5","3","7","8"
"41","1","2","3","2","4","9","6","8","1","7","3","5","6"
"42","2","3","1","2","9","3","1","4","7","8","2","5","4"
"43","2","3","1","2","8","1","7","3","5","2","4","9","6"
"44","1","2","3","2","5","8","9","3","6","4","7","1","4"
"45","3","1","2","2","2","6","8","3","4","9","1","5","5"
"46","3","1","2","2","1","4","5","8","2","3","6","9","4"
"47","2","1","3","3","2","9","3","7","5","8","6","1","8"
"48","3","2","1","3","9","7","2","3","1","5","6","4","2"
"49","2","1","3","3","7","1","2","5","8","9","3","6","4"
"50","1","3","2","3","1","2","6","4","5","9","7","8","2"
"51","2","1","3","3","1","7","9","6","3","2","8","5","7"
"52","1","1","1","1","3","2","7","9","8","4","6","5","3"
"53","3","2","1","3","3","4","9","1","5","7","2","6","5"
"54","1","2","3","2","3","1","5","6","4","8","9","7","2"
"55","2","2","2","1","5","5","5","5","5","5","5","5","1"
"56","3","3","3","1","1","5","7","2","6","8","3","4","5"
"57","3","2","1","3","7","9","5","4","6","2","1","3","3"
"58","1","2","3","2","8","5","4","1","7","9","6","3","7"
"59","3","3","3","1","5","1","8","4","3","7","6","2","9"
"60","1","3","2","3","7","5","8","6","1","4","2","9","8"
"61","2","1","3","3","6","5","1","3","2","7","9","8","3"
"62","3","3","3","1","9","9","9","9","9","9","9","9","1"
"63","1","1","1","1","6","8","5","7","3","9","2","4","6"
"64","2","3","1","2","6","6","6","6","6","6","6","6","1"
"65","3","2","1","3","4","3","7","6","2","9","5","1","9"
"66","2","2","2","1","8","2","3","6","9","7","1","4","4"
"67","1","1","1","1","2","3","4","5","6","7","8","9","2"
"68","1","3","2","3","5","7","4","9","2","8","1","6","6"
"69","2","3","1","2","1","8","2","9","4","7","5","3","8"
"70","3","1","2","2","6","2","9","5","1","8","4","3","9"
"71","2","2","2","1","6","4","8","9","7","2","3","1","2"
"72","1","3","2","3","4","8","1","5","9","2","6","7","5"
"73","3","1","2","2","4","1","3","9","6","5","2","8","7"
"74","3","2","1","3","5","2","1","7","4","6","3","9","7"
"75","3","1","2","2","5","3","6","1","8","2","9","4","8"
"76","1","1","1","1","9","5","3","8","4","2","7","6","9"
"77","2","2","2","1","1","9","4","3","8","6","2","7","9"
"78","3","3","3","1","8","7","6","5","4","3","2","1","3"
"79","1","1","1","1","4","7","8","2","5","6","9","3","4"
"80","2","2","2","1","9","1","6","7","2","4","8","3","5"
"81","2","3","1","2","3","9","8","5","2","1","7","4","7"
