"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","2","2","1","1","2","2","1","2","2","2","2","1","4","2","1","3","2","3","14"
"2","1","2","2","2","1","2","2","1","2","2","1","2","4","4","1","4","1","1","2"
"3","2","2","1","2","1","2","1","2","2","1","2","2","2","1","3","2","1","4","5"
"4","2","2","1","2","2","1","2","2","1","2","2","1","4","4","4","4","4","4","1"
"5","1","2","2","2","1","2","1","1","1","2","2","1","2","3","3","3","2","4","16"
"6","2","2","1","2","2","1","1","1","1","1","2","2","3","3","1","3","3","1","9"
"7","2","2","1","2","2","1","2","1","2","1","1","1","2","3","2","1","1","4","15"
"8","1","2","2","1","1","1","2","2","1","1","2","2","4","2","2","1","3","3","12"
"9","2","2","1","2","2","1","1","1","1","2","1","2","4","1","4","2","2","1","13"
"10","2","2","1","2","1","2","1","1","1","1","1","1","4","2","2","3","4","4","4"
"11","1","1","1","2","1","2","2","1","2","1","2","2","4","1","3","3","2","3","19"
"12","2","1","2","1","2","2","1","1","1","1","1","1","2","4","1","3","1","2","3"
"13","1","1","1","2","2","1","1","2","2","2","1","2","1","4","4","4","1","3","16"
"14","2","1","2","1","2","2","1","2","2","1","2","2","1","1","4","1","4","4","2"
"15","2","2","1","1","2","2","2","2","1","2","1","2","2","1","3","4","3","1","10"
"16","1","2","2","2","2","1","2","2","1","1","1","1","3","2","4","4","1","4","19"
"17","2","1","2","2","2","1","1","1","1","1","1","1","1","2","4","1","2","3","5"
"18","1","2","2","1","2","2","1","2","2","1","2","2","2","2","2","2","2","2","1"
"19","2","1","2","1","1","1","2","2","1","2","1","2","2","1","2","3","1","3","8"
"20","2","1","2","2","1","2","2","1","2","1","2","2","2","2","4","4","3","1","20"
"21","1","1","1","2","2","1","1","2","2","2","1","2","2","2","1","3","4","3","17"
"22","2","1","2","1","1","1","1","2","2","2","1","2","4","3","3","2","4","4","18"
"23","1","2","2","1","2","2","2","1","2","2","2","1","1","1","3","1","1","3","9"
"24","2","2","1","1","1","1","2","1","2","1","2","2","3","3","4","2","1","2","17"
