"","A","B","C"
"1","2","2","7"
"2","1","1","35"
"3","1","1","67"
"4","2","1","40"
"5","2","2","39"
"6","2","1","4"
"7","1","1","23"
"8","1","1","59"
"9","2","1","22"
"10","1","1","33"
"11","1","1","69"
"12","2","2","5"
"13","2","1","38"
"14","1","2","2"
"15","1","1","39"
"16","1","2","62"
"17","2","2","19"
"18","2","2","15"
"19","2","2","3"
"20","2","2","51"
"21","2","2","61"
"22","2","1","68"
"23","2","1","2"
"24","1","2","18"
"25","2","2","69"
"26","2","1","6"
"27","2","1","44"
"28","1","2","34"
"29","1","2","8"
"30","1","2","28"
"31","1","1","61"
"32","1","2","10"
"33","1","2","16"
"34","1","1","51"
"35","2","2","65"
"36","2","1","24"
"37","2","2","35"
"38","2","1","14"
"39","2","1","32"
"40","2","2","67"
"41","2","1","54"
"42","2","1","34"
"43","1","2","38"
"44","2","1","48"
"45","1","1","27"
"46","1","1","43"
"47","2","2","45"
"48","2","2","25"
"49","1","2","26"
"50","1","1","19"
"51","1","2","56"
"52","1","1","31"
"53","1","1","57"
"54","2","1","62"
"55","1","1","1"
"56","2","1","30"
"57","2","2","57"
"58","2","2","33"
"59","1","2","64"
"60","1","2","20"
"61","1","1","5"
"62","1","1","63"
"63","2","1","36"
"64","2","1","20"
"65","1","2","30"
"66","1","2","42"
"67","1","2","52"
"68","1","2","58"
"69","2","2","37"
"70","2","2","43"
"71","1","2","36"
"72","1","2","32"
"73","1","2","4"
"74","1","2","24"
"75","2","1","56"
"76","1","2","46"
"77","2","2","9"
"78","2","2","13"
"79","2","1","60"
"80","1","2","60"
"81","2","2","59"
"82","2","1","8"
"83","2","1","58"
"84","2","2","47"
"85","1","1","21"
"86","2","1","66"
"87","2","2","11"
"88","1","1","41"
"89","1","2","68"
"90","2","2","21"
"91","2","1","16"
"92","1","2","14"
"93","2","2","55"
"94","1","1","55"
"95","2","2","27"
"96","2","1","70"
"97","2","1","26"
"98","1","1","25"
"99","2","1","18"
"100","2","2","23"
"101","1","1","3"
"102","1","1","15"
"103","1","1","37"
"104","1","1","7"
"105","1","1","17"
"106","1","2","66"
"107","2","2","63"
"108","2","1","42"
"109","1","2","48"
"110","1","1","45"
"111","2","1","52"
"112","1","2","12"
"113","1","1","9"
"114","1","2","6"
"115","1","1","53"
"116","1","2","40"
"117","2","1","46"
"118","2","1","12"
"119","2","2","53"
"120","2","2","17"
"121","2","2","1"
"122","2","1","64"
"123","1","2","22"
"124","1","2","44"
"125","1","2","70"
"126","2","1","28"
"127","2","2","49"
"128","1","1","11"
"129","2","2","41"
"130","1","1","29"
"131","1","1","65"
"132","1","1","47"
"133","2","2","29"
"134","1","2","50"
"135","1","1","13"
"136","2","1","50"
"137","2","2","31"
"138","1","2","54"
"139","1","1","49"
"140","2","1","10"
