"","A","B","C","D","E","F","G","H"
"1","1","2","1","2","10","2","1","5"
"2","2","2","2","1","6","9","1","3"
"3","2","2","2","1","8","3","5","4"
"4","2","1","2","1","10","7","6","3"
"5","1","2","1","2","9","2","6","4"
"6","1","1","1","2","4","9","6","1"
"7","2","1","2","2","4","3","8","2"
"8","1","1","1","2","1","3","6","9"
"9","2","2","1","1","4","4","4","4"
"10","1","2","2","1","9","5","2","7"
"11","1","2","1","1","8","6","1","7"
"12","2","1","1","2","3","5","1","9"
"13","2","2","2","1","4","1","10","5"
"14","2","1","1","2","9","1","5","3"
"15","2","2","1","2","7","2","5","9"
"16","2","2","1","1","2","5","6","10"
"17","1","1","2","1","9","3","7","5"
"18","2","1","1","1","8","5","7","6"
"19","2","1","1","1","9","8","9","10"
"20","1","1","2","2","8","10","10","10"
"21","1","2","2","2","9","4","1","6"
"22","2","1","2","2","2","2","2","2"
"23","2","2","2","1","6","1","4","9"
"24","2","1","1","2","5","6","4","8"
"25","1","2","1","1","7","3","4","10"
"26","1","1","1","2","10","1","7","4"
"27","2","2","1","1","10","8","10","9"
"28","2","2","1","2","1","7","8","6"
"29","1","2","2","2","7","5","9","3"
"30","2","1","1","1","2","1","8","7"
"31","2","1","2","2","7","1","6","8"
"32","1","1","1","1","2","9","4","6"
"33","1","1","2","2","8","9","9","9"
"34","1","2","1","1","3","7","10","4"
"35","1","1","1","1","1","9","3","5"
"36","2","2","1","2","6","8","7","1"
"37","2","2","1","2","8","7","2","1"
"38","2","1","1","2","3","6","7","10"
"39","2","1","2","1","9","6","3","1"
"40","2","2","1","1","3","3","3","3"
"41","1","1","2","2","3","8","4","5"
"42","1","1","1","1","2","10","5","1"
"43","1","1","1","1","1","8","2","3"
"44","1","2","1","2","4","10","7","3"
"45","1","2","2","1","3","2","8","1"
"46","2","1","2","2","1","6","9","4"
"47","2","2","2","2","2","7","9","5"
"48","2","2","1","2","9","9","10","8"
"49","1","2","1","2","9","7","4","2"
"50","2","1","2","1","8","2","4","3"
"51","1","1","1","1","6","7","5","8"
"52","1","1","2","2","6","3","10","7"
"53","2","2","1","2","3","9","5","7"
"54","1","1","2","2","6","2","3","10"
"55","2","2","2","1","10","9","8","10"
"56","1","1","2","1","5","7","3","9"
"57","1","2","2","1","4","5","3","8"
"58","2","1","1","2","10","4","3","7"
"59","2","2","2","1","1","2","7","8"
"60","1","1","2","1","7","9","2","4"
"61","1","2","2","2","1","4","5","10"
"62","2","2","2","2","5","9","7","2"
"63","2","2","2","2","1","10","4","7"
"64","1","1","2","1","10","6","5","2"
"65","2","1","1","1","8","4","6","5"
"66","2","2","2","1","6","6","6","6"
"67","2","1","2","2","7","4","10","1"
"68","2","1","2","2","4","7","1","10"
"69","2","1","2","1","5","10","1","4"
"70","1","2","2","1","1","1","1","1"
"71","1","1","1","2","2","3","1","8"
"72","1","1","2","2","10","5","4","1"
"73","1","2","1","1","10","10","9","8"
"74","2","1","1","2","6","10","2","5"
"75","2","1","2","1","9","10","8","9"
"76","2","1","1","1","1","5","10","2"
"77","1","2","2","2","8","8","8","8"
"78","2","1","2","1","3","4","2","8"
"79","1","2","2","1","2","4","7","9"
"80","2","2","2","2","2","8","3","4"
"81","1","2","1","1","5","1","2","10"
"82","2","2","2","2","10","3","2","6"
"83","2","2","1","1","5","3","9","1"
"84","1","2","1","2","4","6","2","9"
"85","1","2","2","2","2","6","10","3"
"86","2","2","2","2","5","5","5","5"
"87","1","1","1","2","5","4","8","3"
"88","1","1","2","1","4","8","5","6"
"89","1","2","1","1","6","4","9","2"
"90","1","1","2","2","3","1","9","6"
"91","2","2","1","2","7","10","3","6"
"92","1","2","1","2","8","1","3","2"
"93","1","2","2","1","3","10","6","2"
"94","1","1","2","1","7","7","7","7"
"95","1","1","1","2","6","5","8","4"
"96","2","1","1","1","4","2","9","7"
"97","1","2","1","1","7","6","8","5"
"98","2","1","1","1","7","8","1","2"
"99","1","2","2","2","5","8","6","7"
"100","1","1","1","1","5","2","10","6"
