,A,B,C
1,1,1,7
2,1,2,3
3,1,3,7
4,1,4,4
5,1,5,2
6,1,1,5
7,1,2,3
8,1,3,6
9,1,4,2
10,1,5,7
11,1,1,2
12,1,2,5
13,1,3,6
14,1,4,4
15,1,5,2
16,1,1,6
17,1,2,6
18,1,3,3
19,1,4,1
20,1,5,3
21,1,1,1
22,1,2,1
23,1,3,5
24,1,4,5
25,1,5,3
26,1,1,4
27,1,2,7
28,1,3,1
29,1,4,2
30,1,5,1
31,1,1,7
32,1,2,4
33,1,3,5
34,1,4,6
35,1,5,4
36,2,1,5
37,2,2,4
38,2,3,7
39,2,4,7
40,2,5,5
41,2,1,2
42,2,2,2
43,2,3,3
44,2,4,5
45,2,5,6
46,2,1,3
47,2,2,7
48,2,3,1
49,2,4,7
50,2,5,6
51,2,1,6
52,2,2,5
53,2,3,4
54,2,4,3
55,2,5,4
56,2,1,1
57,2,2,1
58,2,3,4
59,2,4,6
60,2,5,7
61,2,1,3
62,2,2,6
63,2,3,2
64,2,4,1
65,2,5,1
66,2,1,4
67,2,2,2
68,2,3,2
69,2,4,3
70,2,5,5
