"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","1","2","2","4","3","3","1","4","1","2","2","3","15"
"2","2","1","2","3","3","3","3","3","3","3","3","3","1"
"3","2","2","1","3","2","2","1","1","3","1","1","3","9"
"4","1","1","1","1","2","3","2","4","1","3","1","2","3"
"5","1","2","2","1","2","1","4","2","3","4","1","2","7"
"6","1","1","1","3","3","1","1","3","4","2","3","2","14"
"7","2","1","2","3","2","1","3","4","2","3","4","1","5"
"8","1","2","2","4","4","2","2","4","3","1","4","1","14"
"9","1","1","1","2","1","2","3","1","4","3","2","1","7"
"10","1","1","1","4","2","3","4","4","3","1","2","1","17"
"11","2","2","1","3","4","3","2","4","1","2","3","4","7"
"12","1","2","2","3","4","2","1","2","2","3","1","1","18"
"13","1","2","2","3","3","1","4","1","3","3","2","3","19"
"14","1","1","1","2","3","1","4","3","4","1","3","1","8"
"15","2","2","1","2","3","4","2","4","4","3","1","1","12"
"16","1","1","1","4","3","1","2","1","1","4","2","2","18"
"17","2","2","1","4","2","1","1","3","3","2","1","1","4"
"18","2","1","2","2","4","1","1","4","4","4","1","3","16"
"19","2","1","2","4","1","3","2","1","2","3","1","3","8"
"20","2","1","2","1","4","4","4","1","4","2","2","1","13"
"21","2","1","2","2","2","2","3","3","1","1","2","4","20"
"22","2","2","1","1","2","4","3","4","4","1","3","3","18"
"23","2","2","1","1","3","2","2","3","3","3","2","4","16"
"24","2","2","1","1","3","2","1","1","2","4","3","4","17"
"25","1","2","2","3","1","4","3","3","4","2","1","2","17"
"26","2","1","2","3","4","1","4","2","3","1","3","4","3"
"27","2","1","2","4","3","4","3","2","1","1","1","2","6"
"28","1","1","1","1","1","1","1","1","1","1","1","1","1"
"29","2","2","1","2","1","1","3","2","3","4","4","1","15"
"30","2","2","1","4","3","2","3","1","4","2","4","3","3"
"31","1","1","1","1","1","4","2","2","3","2","3","3","2"
"32","1","1","1","3","2","1","3","1","1","2","4","4","12"
"33","1","2","2","3","1","4","4","1","1","1","4","2","16"
"34","1","1","1","4","2","3","3","2","2","2","3","1","16"
"35","2","1","2","1","2","2","4","1","4","3","3","2","15"
"36","1","1","1","2","1","2","1","4","3","3","3","4","6"
"37","2","1","2","2","4","1","2","2","1","3","4","3","17"
"38","2","1","2","3","3","2","4","4","1","4","1","1","2"
"39","2","1","2","4","2","4","2","1","3","4","3","1","10"
"40","2","1","2","2","1","3","4","3","3","2","4","4","18"
"41","2","1","2","4","3","4","1","3","2","1","4","3","7"
"42","2","2","1","1","1","3","2","3","1","1","4","1","19"
"43","1","2","2","3","3","3","2","2","4","4","3","1","20"
"44","1","1","1","2","4","2","4","3","1","2","1","3","10"
"45","2","1","2","1","4","3","1","3","3","4","2","2","12"
"46","2","2","1","3","4","3","4","1","2","2","2","1","6"
"47","1","2","2","1","4","4","3","3","1","3","3","1","9"
"48","1","2","2","2","3","4","2","1","3","2","1","4","5"
"49","2","2","1","2","2","4","4","2","1","3","2","3","14"
"50","2","2","1","2","4","1","2","1","2","1","3","2","11"
"51","2","2","1","4","1","2","4","3","1","4","3","2","5"
"52","2","1","2","1","3","2","1","2","1","2","4","1","11"
"53","1","2","2","2","2","3","1","1","4","1","4","4","2"
"54","1","2","2","2","4","3","3","1","1","4","3","3","4"
"55","1","1","1","2","3","3","4","4","2","4","4","2","9"
"56","1","1","1","3","1","4","3","4","3","4","2","3","11"
"57","1","2","2","1","3","1","3","4","2","1","2","4","10"
"58","2","2","1","2","3","3","3","2","3","1","1","2","13"
"59","1","1","1","4","4","2","3","2","4","4","1","4","19"
"60","2","1","2","3","1","2","2","4","4","1","2","2","4"
"61","1","1","1","3","2","2","2","3","2","4","4","3","13"
"62","2","1","2","1","1","3","3","1","2","4","1","4","14"
"63","2","2","1","3","2","4","1","2","1","4","2","4","8"
"64","1","2","2","1","2","1","2","3","4","4","4","3","6"
"65","2","2","1","4","4","1","3","3","2","3","2","2","2"
"66","1","1","1","4","4","4","1","1","3","3","4","2","20"
"67","2","2","1","1","1","1","4","4","2","2","1","3","20"
"68","1","2","2","2","2","2","2","2","2","2","2","2","1"
"69","1","1","1","1","4","3","1","2","4","1","2","3","5"
"70","1","1","1","1","3","4","4","2","2","3","4","4","4"
"71","2","2","1","4","4","4","4","4","4","4","4","4","1"
"72","1","2","2","2","1","4","1","3","2","4","2","1","3"
"73","1","1","1","3","4","4","2","3","2","1","1","4","15"
"74","2","1","2","2","2","4","1","4","2","2","3","2","19"
"75","1","2","2","4","2","3","4","3","4","3","1","4","11"
"76","1","2","2","4","1","2","4","2","2","1","3","3","12"
"77","2","1","2","4","1","1","2","2","4","2","2","4","9"
"78","1","2","2","4","1","1","1","4","1","3","3","4","13"
"79","1","2","2","1","4","2","3","4","3","2","4","2","8"
"80","2","2","1","3","1","3","1","2","4","3","4","2","10"
