"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U"
"1","2","1","2","2","2","2","1","1","1","2","2","2","1","2","2","1","1","1","1","12"
"2","2","1","2","1","2","1","2","2","2","1","2","2","1","2","1","2","2","1","2","4"
"3","1","1","2","1","2","1","2","1","1","2","1","1","1","1","1","1","2","1","1","13"
"4","1","2","1","1","1","1","2","2","1","1","1","2","1","2","2","1","1","1","2","15"
"5","2","2","2","2","1","1","2","2","2","2","2","2","1","1","2","1","1","1","1","14"
"6","2","2","2","1","2","2","1","1","2","2","2","2","1","2","1","1","1","1","2","8"
"7","2","2","1","2","2","1","1","2","1","1","2","2","2","2","1","1","2","1","1","7"
"8","1","1","1","2","2","2","2","1","2","1","1","2","2","1","2","1","2","2","1","5"
"9","1","1","2","2","2","2","2","2","2","1","1","2","1","2","1","2","2","1","2","2"
"10","1","1","1","1","1","2","1","2","2","1","1","1","1","2","1","1","2","2","1","10"
"11","2","1","1","2","2","2","1","1","2","1","1","1","1","2","2","2","2","2","2","14"
"12","1","1","1","1","2","1","2","2","2","1","2","1","2","1","2","2","1","1","2","12"
"13","2","1","2","1","2","2","2","2","1","1","1","1","1","2","2","2","1","2","1","7"
"14","2","1","2","2","2","1","1","1","2","2","2","1","2","2","2","1","2","2","1","15"
"15","1","2","1","2","2","1","1","1","2","2","2","1","2","1","1","1","1","1","1","4"
"16","1","2","2","2","1","1","1","2","2","2","1","2","2","2","1","2","2","1","1","19"
"17","1","2","1","1","2","1","1","2","2","2","2","1","1","2","2","2","1","2","2","18"
"18","2","2","2","2","2","2","1","1","2","1","1","1","1","2","1","2","1","2","1","16"
"19","2","1","2","1","1","1","1","2","1","2","1","2","2","1","1","2","1","2","2","3"
"20","2","1","1","2","2","1","2","2","1","2","1","1","2","1","1","2","1","2","2","17"
"21","1","1","2","2","1","2","1","2","1","1","1","2","1","1","2","1","1","2","2","4"
"22","2","2","2","2","1","2","2","2","2","1","2","1","1","1","1","2","1","2","1","15"
"23","1","2","2","2","2","1","2","1","2","1","2","1","2","2","1","1","1","2","2","2"
"24","2","1","1","2","2","1","1","2","1","2","1","1","2","2","1","1","1","1","1","11"
"25","2","1","2","1","1","1","2","2","2","2","2","1","1","2","2","2","1","1","1","5"
"26","1","2","1","1","2","2","1","1","2","1","1","2","1","1","1","1","1","1","1","9"
"27","1","1","1","1","2","2","1","1","1","2","1","2","2","1","1","2","2","1","2","15"
