"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P"
"1","2","2","2","1","1","2","1","1","1","1","2","2","1","5","3"
"2","2","1","1","1","2","2","2","1","2","1","1","1","2","1","3"
"3","1","2","1","2","1","2","1","1","2","1","1","1","1","2","2"
"4","1","2","2","1","2","2","1","2","2","2","1","1","2","6","1"
"5","1","1","1","2","2","2","2","2","2","2","1","2","1","5","6"
"6","2","1","2","2","1","2","1","2","2","1","1","2","2","6","5"
"7","2","1","1","2","2","2","1","2","1","1","1","2","2","4","4"
"8","2","2","1","1","2","1","1","2","2","1","2","2","1","5","1"
"9","2","1","2","1","1","1","2","2","2","1","1","2","1","2","6"
"10","1","2","2","2","2","2","1","1","2","1","2","1","2","4","6"
"11","2","2","2","2","2","1","2","2","1","1","1","1","2","2","3"
"12","1","1","2","1","1","1","2","2","2","1","2","1","2","3","4"
"13","2","1","1","2","1","2","2","1","1","1","2","2","2","3","1"
"14","1","1","1","2","1","1","1","2","1","2","2","1","1","4","3"
"15","1","2","1","2","1","2","2","2","1","1","1","1","1","1","1"
"16","2","2","1","2","1","1","1","1","2","2","1","1","1","3","5"
"17","1","1","1","1","1","1","1","1","1","2","1","2","2","1","6"
"18","1","1","1","1","2","1","2","2","1","1","2","1","1","6","2"
"19","2","2","2","2","2","1","2","1","2","2","2","2","2","1","2"
"20","2","2","1","1","1","1","1","1","1","1","2","1","2","6","6"
"21","1","2","2","1","1","2","2","1","1","2","1","1","2","5","4"
"22","2","2","1","2","2","1","2","1","1","2","1","2","1","6","4"
"23","1","2","1","1","2","1","1","2","2","2","1","2","2","3","3"
"24","2","1","2","1","2","2","1","2","1","2","2","1","1","1","5"
"25","2","1","2","1","1","1","2","1","2","2","1","1","1","4","1"
"26","2","2","1","1","1","2","2","2","2","2","2","2","2","4","2"
"27","1","1","2","2","1","2","2","1","2","2","2","2","1","6","3"
"28","2","1","1","1","2","2","1","1","2","2","2","1","1","2","4"
"29","1","2","1","1","1","2","2","2","1","2","2","2","2","2","5"
"30","1","1","1","2","2","1","2","1","2","1","2","1","2","5","5"
"31","2","2","2","2","2","2","2","2","1","2","2","1","1","3","6"
"32","1","1","2","2","2","1","1","1","1","2","2","2","2","2","1"
"33","1","1","2","1","2","2","1","1","1","1","1","2","1","3","2"
"34","2","1","2","2","1","1","1","2","1","2","1","1","2","5","2"
"35","1","2","2","1","2","1","2","1","1","1","1","2","1","4","5"
"36","1","2","2","2","1","1","1","2","2","1","2","2","1","1","4"
