"","A","B","C"
"1","2","2","11"
"2","1","2","10"
"3","2","1","56"
"4","1","2","56"
"5","1","2","16"
"6","2","2","55"
"7","1","2","26"
"8","2","1","16"
"9","1","1","9"
"10","2","2","7"
"11","1","2","44"
"12","1","1","29"
"13","1","2","6"
"14","1","2","58"
"15","2","1","36"
"16","2","2","51"
"17","1","2","40"
"18","2","1","40"
"19","1","1","53"
"20","2","2","29"
"21","2","2","47"
"22","1","2","2"
"23","1","1","21"
"24","1","2","8"
"25","1","1","55"
"26","1","1","45"
"27","2","1","10"
"28","1","1","15"
"29","1","1","41"
"30","1","2","24"
"31","2","1","20"
"32","2","1","58"
"33","1","1","63"
"34","2","2","65"
"35","1","2","18"
"36","2","2","13"
"37","1","1","5"
"38","2","1","8"
"39","2","1","30"
"40","1","1","27"
"41","2","2","5"
"42","1","1","57"
"43","2","2","27"
"44","2","1","22"
"45","2","1","50"
"46","1","2","32"
"47","1","2","50"
"48","1","1","51"
"49","2","1","34"
"50","2","1","4"
"51","1","2","62"
"52","2","2","17"
"53","2","1","54"
"54","1","2","48"
"55","2","1","64"
"56","1","1","35"
"57","1","1","43"
"58","2","2","9"
"59","1","1","19"
"60","1","1","7"
"61","2","2","45"
"62","1","1","49"
"63","2","1","46"
"64","2","2","37"
"65","1","2","4"
"66","2","1","26"
"67","1","2","46"
"68","2","1","38"
"69","2","2","23"
"70","2","1","28"
"71","1","2","14"
"72","2","1","2"
"73","2","1","14"
"74","1","1","11"
"75","2","1","48"
"76","1","1","23"
"77","2","1","18"
"78","2","2","59"
"79","1","1","47"
"80","2","1","52"
"81","1","2","34"
"82","1","2","66"
"83","1","2","42"
"84","1","1","25"
"85","2","2","31"
"86","2","1","6"
"87","2","2","49"
"88","2","2","63"
"89","1","1","39"
"90","1","1","3"
"91","1","1","31"
"92","1","2","12"
"93","2","2","35"
"94","2","2","57"
"95","2","2","19"
"96","2","1","60"
"97","1","2","60"
"98","2","1","42"
"99","2","2","25"
"100","1","1","37"
"101","2","1","66"
"102","2","2","39"
"103","2","2","33"
"104","2","1","12"
"105","1","2","54"
"106","1","1","17"
"107","1","2","30"
"108","1","2","22"
"109","2","2","53"
"110","2","2","61"
"111","2","1","62"
"112","1","1","33"
"113","2","1","24"
"114","2","2","21"
"115","1","2","28"
"116","2","1","44"
"117","2","2","41"
"118","1","1","65"
"119","2","1","32"
"120","1","2","38"
"121","1","1","13"
"122","1","1","1"
"123","2","2","3"
"124","2","2","15"
"125","1","2","20"
"126","1","2","36"
"127","1","1","61"
"128","2","2","1"
"129","1","1","59"
"130","1","2","52"
"131","1","2","64"
"132","2","2","43"
