"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R"
"1","1","1","1","1","2","2","1","2","2","4","1","3","2","4","2","1","3"
"2","2","1","2","1","1","1","2","2","1","2","2","3","3","3","2","4","16"
"3","1","2","2","1","1","1","1","2","2","1","2","3","4","4","4","3","6"
"4","1","1","1","1","1","1","2","2","1","1","4","4","2","2","1","3","20"
"5","1","1","1","2","1","2","1","2","2","4","4","1","1","1","4","2","16"
"6","2","1","2","2","2","1","1","2","2","3","1","4","1","2","2","3","15"
"7","1","2","2","2","2","1","2","2","1","1","1","3","3","2","1","1","4"
"8","2","2","1","1","2","2","2","1","2","1","2","2","1","3","4","3","17"
"9","1","2","2","1","1","1","1","2","2","1","4","2","3","4","1","2","7"
"10","1","2","2","1","2","2","1","2","2","2","2","2","2","2","2","2","1"
"11","1","2","2","1","2","2","2","2","1","4","4","2","1","3","2","3","14"
"12","1","1","1","1","1","1","2","2","1","3","2","3","1","1","4","1","19"
"13","2","1","2","2","1","2","1","1","1","1","1","3","4","2","3","2","14"
"14","1","2","2","1","1","1","2","1","2","2","4","1","4","3","3","2","15"
"15","1","2","2","2","2","1","1","2","2","3","4","3","4","3","1","4","11"
"16","1","1","1","1","2","2","2","2","1","1","3","2","3","4","4","1","15"
"17","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"18","2","2","1","2","1","2","2","2","1","3","4","1","2","2","2","1","6"
"19","2","2","1","2","1","2","2","2","1","3","2","4","1","2","3","4","7"
"20","1","2","2","2","1","2","2","2","1","4","1","2","1","4","2","4","8"
"21","1","2","2","1","2","2","2","1","2","4","1","4","2","2","3","2","19"
"22","2","1","2","1","2","2","2","2","1","3","3","2","3","1","1","2","13"
"23","1","2","2","2","1","2","1","1","1","2","2","3","2","4","4","3","13"
"24","1","1","1","2","2","1","1","2","2","1","1","4","1","3","3","4","13"
"25","2","2","1","1","1","1","1","1","1","3","1","2","4","1","2","3","5"
"26","1","2","2","2","2","1","2","1","2","4","2","1","3","4","3","1","10"
"27","2","2","1","1","2","2","1","1","1","2","4","3","1","2","1","3","10"
"28","1","1","1","2","2","1","1","2","2","2","4","2","2","1","3","3","12"
"29","1","1","1","2","1","2","1","2","2","4","3","3","4","2","1","2","17"
"30","1","1","1","1","2","2","2","1","2","3","4","3","3","2","4","4","18"
"31","2","1","2","2","2","1","1","1","1","1","2","1","1","4","2","2","18"
"32","2","1","2","2","1","2","1","2","2","3","2","2","4","4","3","1","20"
"33","2","1","2","1","1","1","2","1","2","2","1","2","1","2","4","1","11"
"34","2","1","2","1","1","1","1","2","2","1","3","4","2","1","2","4","10"
"35","2","1","2","2","2","1","2","1","2","4","1","3","2","1","4","3","7"
"36","2","2","1","1","1","1","1","2","2","4","3","3","1","3","3","1","9"
"37","1","2","2","1","1","1","1","1","1","3","2","4","1","3","1","2","3"
"38","2","2","1","2","1","2","2","1","2","1","4","2","3","1","3","4","3"
"39","2","1","2","2","1","2","2","1","2","2","4","4","1","4","1","1","2"
"40","1","2","2","2","1","2","2","1","2","1","3","4","2","3","4","1","5"
"41","2","1","2","1","2","2","2","2","1","4","2","4","4","3","1","1","12"
"42","1","2","2","1","2","2","2","1","2","2","3","3","1","1","2","4","20"
"43","1","1","1","2","2","1","2","1","2","1","2","2","4","2","2","4","9"
"44","2","2","1","2","2","1","1","1","1","2","3","2","4","4","1","4","19"
"45","2","1","2","1","1","1","1","1","1","4","4","2","2","3","4","4","4"
"46","1","1","1","2","2","1","2","2","1","2","4","3","1","4","3","2","5"
"47","2","2","1","2","2","1","2","2","1","4","4","4","4","4","4","4","1"
"48","2","1","2","1","1","1","2","2","1","2","1","1","2","4","3","4","17"
"49","1","2","2","1","2","2","1","2","2","3","1","1","4","1","4","4","2"
"50","1","1","1","2","1","2","2","1","2","2","2","4","4","1","2","2","4"
"51","1","1","1","2","1","2","2","2","1","3","1","2","4","3","4","2","10"
"52","2","2","1","1","1","1","2","1","2","3","1","3","3","4","2","2","12"
"53","1","1","1","1","1","1","1","1","1","4","2","2","3","2","3","3","2"
"54","2","2","1","2","1","2","1","1","1","4","2","3","2","1","1","4","15"
"55","2","1","2","2","2","1","2","2","1","2","3","1","4","2","4","3","3"
"56","1","2","2","2","1","2","2","2","1","2","1","1","3","1","1","3","9"
"57","2","2","1","2","2","1","2","2","1","1","3","3","2","3","2","2","2"
"58","2","1","2","2","2","1","2","1","2","4","3","2","1","1","1","2","6"
"59","2","2","1","1","2","2","2","1","2","1","1","4","4","4","1","3","16"
"60","1","2","2","2","2","1","1","1","1","3","3","2","2","2","3","1","16"
"61","1","1","1","1","2","2","1","1","1","2","1","4","3","3","3","4","6"
"62","1","2","2","2","2","1","1","1","1","3","4","4","3","1","2","1","17"
"63","1","1","1","1","1","1","2","1","2","3","3","1","2","4","1","4","14"
"64","2","1","2","1","2","2","1","1","1","3","4","4","2","4","4","2","9"
"65","2","1","2","1","2","2","1","1","1","1","4","3","4","1","3","1","8"
"66","2","2","1","2","1","2","1","2","2","2","1","2","2","3","1","1","18"
"67","2","1","2","2","1","2","1","2","2","1","4","1","3","3","2","3","19"
"68","2","2","1","1","1","1","1","2","2","2","3","4","3","2","4","2","8"
"69","1","2","2","2","1","2","1","1","1","1","3","1","1","2","4","4","12"
"70","1","1","1","2","2","1","2","1","2","3","2","1","2","3","1","3","8"
"71","2","2","1","1","2","2","2","2","1","1","2","1","2","1","3","2","11"
"72","1","1","1","1","2","2","1","1","1","2","3","1","4","3","2","1","7"
"73","2","2","1","2","2","1","1","1","1","4","1","1","3","3","4","2","20"
"74","1","2","2","1","1","1","2","2","1","4","3","4","4","1","3","3","18"
"75","1","1","1","2","1","2","1","1","1","4","3","4","3","4","2","3","11"
"76","2","1","2","2","1","2","2","1","2","3","3","3","3","3","3","3","1"
"77","2","2","1","1","2","2","1","2","2","3","3","1","1","4","3","3","4"
"78","2","1","2","1","2","2","1","2","2","4","2","1","3","2","1","4","5"
"79","2","2","1","2","2","1","1","2","2","2","2","4","3","1","4","1","14"
"80","2","2","1","1","1","1","2","1","2","4","4","1","4","2","2","1","13"
