,A,B,C
1,1,1,6
2,1,2,5
3,1,3,6
4,1,4,4
5,1,5,2
6,1,1,4
7,1,2,2
8,1,3,7
9,1,4,4
10,1,5,6
11,1,1,7
12,1,2,3
13,1,3,6
14,1,4,4
15,1,5,2
16,1,1,7
17,1,2,1
18,1,3,6
19,1,4,5
20,1,5,2
21,1,1,5
22,1,2,7
23,1,3,4
24,1,4,5
25,1,5,3
26,1,1,2
27,1,2,1
28,1,3,5
29,1,4,1
30,1,5,1
31,1,1,3
32,1,2,3
33,1,3,1
34,1,4,7
35,1,5,3
36,2,1,1
37,2,2,6
38,2,3,7
39,2,4,3
40,2,5,7
41,2,1,4
42,2,2,7
43,2,3,5
44,2,4,1
45,2,5,7
46,2,1,1
47,2,2,1
48,2,3,4
49,2,4,2
50,2,5,4
51,2,1,4
52,2,2,6
53,2,3,2
54,2,4,5
55,2,5,5
56,2,1,5
57,2,2,4
58,2,3,3
59,2,4,6
60,2,5,6
61,2,1,2
62,2,2,7
63,2,3,3
64,2,4,3
65,2,5,6
66,2,1,1
67,2,2,2
68,2,3,3
69,2,4,2
70,2,5,5
71,3,1,3
72,3,2,6
73,3,3,5
74,3,4,3
75,3,5,1
76,3,1,2
77,3,2,5
78,3,3,7
79,3,4,7
80,3,5,7
81,3,1,5
82,3,2,3
83,3,3,2
84,3,4,6
85,3,5,3
86,3,1,6
87,3,2,5
88,3,3,4
89,3,4,7
90,3,5,4
91,3,1,6
92,3,2,4
93,3,3,2
94,3,4,1
95,3,5,1
96,3,1,3
97,3,2,2
98,3,3,1
99,3,4,2
100,3,5,4
101,3,1,7
102,3,2,4
103,3,3,1
104,3,4,6
105,3,5,5
