"","A","B","C","D","E","F","G","H","J","K","L","M","N"
"1","1","2","2","2","1","1","1","2","1","1","2","3","6"
"2","2","2","2","2","2","2","2","2","2","2","1","3","1"
"3","2","2","2","1","2","2","1","2","1","1","1","1","5"
"4","2","1","2","1","1","1","2","2","2","1","2","2","1"
"5","1","1","1","2","2","2","1","2","2","1","1","2","6"
"6","2","1","1","1","2","1","1","2","1","2","2","3","4"
"7","1","2","1","1","2","1","2","2","2","1","2","4","5"
"8","2","1","1","1","2","2","2","1","2","2","2","1","6"
"9","1","2","2","1","2","1","1","1","2","2","1","2","4"
"10","1","1","2","1","1","2","1","2","2","2","2","4","3"
"11","2","2","1","2","2","1","2","1","1","1","2","2","3"
"12","1","1","2","1","2","2","2","1","1","1","1","3","3"
"13","2","2","2","1","1","1","2","1","1","2","1","4","6"
"14","2","1","2","2","2","1","1","1","2","1","1","4","2"
"15","2","1","2","2","1","2","1","1","1","2","2","2","5"
"16","1","1","1","2","1","1","2","1","2","2","1","3","5"
"17","1","2","2","2","1","2","2","1","2","1","2","1","4"
"18","2","2","1","2","1","1","1","2","2","2","1","1","3"
"19","1","2","1","2","2","2","1","1","1","2","2","4","1"
"20","2","1","1","2","1","2","2","2","1","1","1","4","4"
"21","1","2","1","1","1","2","2","2","1","2","1","2","2"
"22","2","2","1","1","1","2","1","1","2","1","2","3","2"
"23","1","1","2","2","2","1","2","2","1","2","2","1","2"
"24","1","1","1","1","1","1","1","1","1","1","1","1","1"
