"","A","B","C","D","E","F","G","H","J"
"1","2","1","2","2","1","2","1","2","4"
"2","2","1","2","2","2","1","2","4","1"
"3","2","2","1","1","2","2","3","2","1"
"4","1","1","1","2","1","2","3","4","2"
"5","1","1","1","2","2","1","4","2","3"
"6","1","1","1","1","2","2","2","3","4"
"7","1","2","2","2","1","2","4","3","1"
"8","2","2","1","1","1","1","4","4","4"
"9","1","2","2","1","2","2","1","4","3"
"10","2","1","2","1","1","1","3","3","3"
"11","1","1","1","1","1","1","1","1","1"
"12","2","2","1","2","1","2","2","1","3"
"13","1","2","2","1","1","1","2","2","2"
"14","2","2","1","2","2","1","1","3","2"
"15","2","1","2","1","2","2","4","1","2"
"16","1","2","2","2","2","1","3","1","4"
