"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","2","2","1","1","2","2","1","1","1","2","2","1","2","2","1","3","1","4","3","2","5"
"2","1","2","2","1","1","1","2","2","1","1","2","2","2","2","1","1","2","1","3","2","11"
"3","2","2","1","2","1","2","2","1","2","1","2","2","1","1","1","4","2","4","4","2","9"
"4","1","2","2","1","2","2","1","1","1","2","1","2","2","1","2","4","4","1","2","2","4"
"5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"6","2","2","1","1","2","2","1","1","1","2","2","1","1","2","2","2","2","1","3","3","12"
"7","1","2","2","2","2","1","2","1","2","1","2","2","1","2","2","1","3","2","1","4","5"
"8","1","1","1","2","1","2","2","2","1","1","1","1","1","1","1","2","4","1","2","3","5"
"9","2","2","1","1","2","2","2","1","2","2","1","2","2","1","2","4","1","4","1","1","2"
"10","1","1","1","1","2","2","2","2","1","2","1","2","1","2","2","2","2","3","1","1","18"
"11","2","1","2","2","1","2","2","1","2","2","1","2","2","1","2","3","3","3","3","3","1"
"12","2","2","1","2","2","1","2","2","1","2","2","1","2","2","1","4","4","4","4","4","1"
"13","2","2","1","2","1","2","1","1","1","1","2","2","2","1","2","3","3","2","4","4","18"
"14","1","1","1","1","1","1","2","2","1","1","2","2","2","1","2","4","4","4","1","3","16"
"15","1","1","1","1","1","1","1","1","1","2","2","1","1","2","2","4","1","3","3","4","13"
"16","2","1","2","1","1","1","2","1","2","1","1","1","1","2","2","4","2","1","2","4","10"
"17","1","2","2","2","2","1","2","1","2","1","2","2","2","2","1","4","4","3","1","1","12"
"18","1","1","1","2","2","1","1","2","2","2","1","2","2","2","1","2","1","4","2","4","8"
"19","1","2","2","1","1","1","1","2","2","1","1","1","1","2","2","3","4","4","4","3","6"
"20","2","1","2","1","2","2","2","2","1","2","2","1","1","1","1","2","4","4","1","4","19"
"21","1","1","1","2","2","1","2","1","2","2","2","1","2","1","2","3","2","1","4","3","7"
"22","2","1","2","1","1","1","1","1","1","1","2","2","2","2","1","2","3","4","4","1","15"
"23","2","2","1","2","2","1","1","1","1","2","1","2","1","2","2","1","1","1","4","2","16"
"24","1","2","2","2","2","1","2","2","1","2","1","2","1","1","1","3","2","1","1","4","15"
"25","2","1","2","2","2","1","1","1","1","2","1","2","1","1","1","4","3","4","2","3","11"
"26","2","2","1","2","1","2","1","2","2","2","2","1","1","2","2","3","4","3","1","4","11"
"27","2","2","1","1","1","1","1","2","2","1","1","1","1","2","2","2","3","4","1","2","7"
"28","2","1","2","1","2","2","2","1","2","2","2","1","2","2","1","1","4","2","4","3","3"
"29","1","2","2","1","2","2","2","2","1","2","2","1","1","2","2","4","3","1","4","1","14"
"30","2","1","2","2","1","2","2","1","2","1","2","2","2","2","1","2","3","1","1","2","13"
"31","1","1","1","2","1","2","1","1","1","2","1","2","2","2","1","2","4","3","4","2","10"
"32","1","1","1","1","2","2","1","2","2","2","1","2","2","2","1","1","3","1","1","3","9"
"33","2","2","1","1","1","1","2","1","2","2","1","2","1","2","2","1","3","3","2","3","19"
"34","1","2","2","2","2","1","1","2","2","2","2","1","2","1","2","1","3","4","3","1","10"
"35","1","1","1","2","2","1","2","2","1","2","2","1","1","1","1","1","3","3","4","2","20"
"36","1","2","2","2","1","2","1","1","1","2","2","1","2","1","2","1","2","3","1","3","8"
"37","2","2","1","2","2","1","2","2","1","1","1","1","2","1","2","1","4","2","2","1","13"
"38","1","1","1","2","1","2","1","2","2","1","2","2","1","2","2","1","4","1","4","4","2"
"39","2","1","2","2","1","2","2","2","1","1","2","2","1","2","2","1","1","4","3","3","4"
"40","1","2","2","1","2","2","2","1","2","1","1","1","2","2","1","3","3","3","2","4","16"
"41","2","2","1","2","2","1","2","1","2","1","1","1","1","1","1","2","2","3","4","4","4"
"42","2","2","1","2","2","1","1","2","2","1","2","2","2","2","1","2","1","3","2","3","14"
"43","1","1","1","1","1","1","1","2","2","2","2","1","2","2","1","3","3","2","1","1","4"
"44","2","1","2","2","1","2","1","2","2","2","2","1","1","1","1","2","2","2","3","1","16"
"45","2","1","2","2","2","1","2","1","2","2","2","1","2","1","2","2","1","1","1","2","6"
"46","2","1","2","2","2","1","2","2","1","1","1","1","1","2","2","3","1","3","3","1","9"
"47","1","2","2","1","1","1","2","2","1","1","2","2","2","1","2","2","1","3","4","3","17"
"48","2","2","1","1","1","1","1","1","1","1","1","1","2","2","1","4","2","2","1","3","20"
"49","2","1","2","1","1","1","2","2","1","2","2","1","2","2","1","3","2","3","2","2","2"
"50","1","2","2","2","1","2","1","1","1","1","1","1","2","2","1","3","1","1","4","1","19"
"51","2","1","2","2","2","1","1","1","1","2","1","2","1","2","2","3","4","2","1","2","17"
"52","1","2","2","2","1","2","1","2","2","1","1","1","1","1","1","4","1","3","1","2","3"
"53","1","1","1","1","1","1","2","1","2","2","1","2","1","1","1","3","4","2","3","2","14"
"54","1","1","1","2","2","1","1","1","1","1","2","2","1","2","2","3","2","4","2","1","3"
"55","2","1","2","1","2","2","2","2","1","1","1","1","1","2","2","4","3","2","4","2","8"
"56","2","1","2","1","1","1","1","2","2","2","1","2","1","1","1","1","1","2","4","4","12"
"57","2","1","2","2","2","1","1","2","2","1","1","1","2","2","1","4","4","1","3","3","18"
"58","1","1","1","2","1","2","2","1","2","2","2","1","1","2","2","4","1","2","2","3","15"
"59","2","2","1","1","2","2","1","2","2","1","1","1","2","1","2","1","4","3","3","2","15"
"60","2","1","2","1","1","1","1","2","2","2","1","2","2","1","2","4","2","3","4","1","5"
"61","2","2","1","1","1","1","2","2","1","2","1","2","2","1","2","2","3","1","3","4","3"
"62","2","2","1","2","1","2","1","2","2","2","2","1","1","1","1","4","3","1","2","1","17"
"63","1","1","1","1","2","2","2","1","2","1","1","1","2","1","2","2","1","2","4","1","11"
"64","2","2","1","1","1","1","2","1","2","1","2","2","1","1","1","3","4","1","3","1","8"
"65","2","2","1","1","2","2","2","2","1","1","2","2","1","1","1","3","1","2","1","3","10"
"66","1","2","2","1","2","2","1","2","2","2","1","2","1","1","1","3","2","4","4","3","13"
"67","1","2","2","2","1","2","2","1","2","2","1","2","1","2","2","2","4","4","3","1","20"
"68","1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","2","3","2","3","3","2"
"69","2","2","1","2","1","2","2","2","1","2","1","2","2","2","1","1","2","2","2","1","6"
"70","1","2","2","2","1","2","2","2","1","2","1","2","2","2","1","4","1","2","3","4","7"
"71","1","1","1","2","1","2","2","2","1","1","1","1","2","1","2","3","3","4","2","2","12"
