"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S"
"1","1","2","1","2","1","2","1","2","2","1","2","6","3","1","6","1","4","4"
"2","2","1","2","1","1","1","2","2","3","2","3","6","4","2","1","2","5","5"
"3","1","1","2","2","1","2","1","2","1","1","3","4","5","4","3","6","2","5"
"4","2","1","1","1","1","1","1","1","3","1","2","5","5","6","4","4","6","2"
"5","2","1","2","2","2","1","2","2","2","3","3","1","5","1","1","5","4","6"
"6","1","2","2","2","1","2","2","1","3","1","2","5","2","3","1","1","3","5"
"7","2","2","2","2","1","2","2","1","3","3","3","1","6","6","6","6","6","6"
"8","2","1","2","1","2","2","1","2","1","3","2","5","6","1","4","3","2","5"
"9","1","2","1","1","2","2","1","2","2","3","3","1","2","4","4","2","1","3"
"10","2","1","2","1","1","1","2","2","1","3","1","6","2","6","5","6","3","3"
"11","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"12","2","2","1","1","1","1","2","2","2","2","1","4","6","5","4","1","3","6"
"13","2","2","1","1","2","2","2","1","3","1","1","6","3","1","5","2","6","5"
"14","2","1","1","2","2","2","1","2","2","3","1","3","4","1","3","2","3","2"
"15","1","2","2","1","2","1","2","2","3","1","2","3","5","2","4","3","4","3"
"16","1","2","1","2","2","1","2","2","2","1","3","5","1","2","5","4","3","6"
"17","2","1","1","2","2","2","1","2","1","2","3","3","6","3","5","4","5","4"
"18","1","1","1","1","1","2","2","1","1","1","3","3","2","2","3","5","6","4"
"19","1","2","1","2","1","2","1","2","1","3","1","6","5","3","2","3","6","6"
"20","1","2","1","2","2","1","2","2","1","3","2","5","3","4","1","6","5","2"
"21","2","2","2","1","1","2","1","2","2","1","2","2","3","6","3","5","5","6"
"22","1","2","1","2","2","1","2","2","3","2","1","5","5","6","3","2","1","4"
"23","2","1","1","1","1","1","1","1","2","3","1","5","1","2","6","6","2","4"
"24","1","1","2","2","1","2","1","2","2","2","1","4","3","2","1","4","6","3"
"25","1","2","1","2","1","2","1","2","3","2","3","6","1","5","4","5","2","2"
"26","2","1","1","2","2","2","2","1","1","3","2","4","3","2","4","5","3","1"
"27","2","1","2","2","2","1","2","2","3","1","1","1","3","5","5","3","2","4"
"28","1","2","2","1","2","1","1","1","3","2","1","4","2","1","3","4","2","6"
"29","1","2","2","1","2","1","1","1","2","1","3","4","4","3","5","6","4","2"
"30","2","2","2","1","1","2","1","2","3","2","3","2","1","4","1","3","3","4"
"31","1","1","1","2","1","1","2","2","3","2","3","2","4","1","4","6","6","1"
"32","2","1","2","1","1","1","2","2","2","1","2","6","6","4","3","4","1","1"
"33","1","1","1","1","1","1","1","1","2","2","2","1","5","5","5","5","5","5"
"34","2","2","1","2","2","1","1","1","1","1","1","2","4","6","1","5","2","3"
"35","1","1","2","2","2","1","1","1","1","2","2","6","4","2","6","3","1","6"
"36","2","2","2","2","1","1","1","1","3","3","2","3","1","1","2","4","5","3"
"37","2","2","2","1","1","2","1","2","1","3","1","2","5","2","5","1","1","2"
"38","2","2","1","1","1","1","2","2","3","3","2","4","4","3","2","5","1","4"
"39","2","1","1","2","2","2","2","1","2","1","3","4","1","6","2","3","1","5"
"40","1","1","2","1","2","2","2","1","3","3","3","2","3","5","6","4","1","2"
"41","2","2","2","2","1","2","2","1","2","2","2","1","2","2","2","2","2","2"
"42","1","1","2","2","2","1","1","1","2","3","3","6","2","6","4","1","5","4"
"43","1","2","2","1","2","1","2","2","1","2","3","3","3","6","2","1","2","1"
"44","1","1","1","2","1","1","2","2","2","1","2","2","6","3","6","2","2","3"
"45","1","1","1","1","1","1","1","1","3","3","3","1","3","3","3","3","3","3"
"46","1","2","2","1","2","1","1","1","1","3","2","4","6","5","1","2","6","4"
"47","2","1","2","2","2","1","2","2","1","2","2","1","1","3","3","1","6","2"
"48","1","2","1","1","2","2","1","2","3","1","1","1","6","2","2","6","5","1"
"49","2","2","2","2","1","1","1","1","1","1","3","3","5","5","6","2","3","1"
"50","1","2","2","1","2","1","2","2","2","3","1","3","1","4","6","5","6","5"
"51","2","2","2","2","1","2","2","1","1","1","1","1","4","4","4","4","4","4"
"52","2","1","1","2","2","2","1","2","3","1","2","3","2","5","1","6","1","6"
"53","1","1","2","1","2","2","2","1","2","2","2","2","5","1","2","6","3","4"
"54","2","2","1","1","1","1","2","2","1","1","3","4","2","1","6","3","5","2"
"55","1","2","2","2","1","2","2","1","2","3","1","5","4","5","3","3","5","1"
"56","1","1","2","1","2","2","2","1","1","1","1","2","1","3","4","2","5","6"
"57","1","2","1","1","2","2","1","2","1","2","2","1","4","6","6","4","3","5"
"58","1","1","2","2","1","2","1","2","3","3","2","4","1","6","5","2","4","1"
"59","2","2","1","2","2","1","1","1","2","2","2","2","2","4","5","3","6","1"
"60","1","1","1","2","1","1","2","2","1","3","1","2","2","5","2","4","4","5"
"61","2","1","2","1","2","2","1","2","3","2","1","5","2","3","6","5","4","1"
