"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T"
"1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2"
"3","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1"
"4","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2"
"5","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2"
"6","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1"
"7","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2"
"8","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1"
"9","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2"
"10","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1"
"11","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2","2"
"12","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1"
"13","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1","2"
"14","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1"
"15","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1"
"16","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2"
"17","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1"
"18","2","2","2","2","1","2","1","2","1","1","1","1","2","2","1","1","2","1","1"
"19","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2","1","1","1"
"20","1","1","1","1","2","2","1","1","2","1","1","2","2","2","2","1","2","1","2"
