,A,B,C
1,1,1,6
2,1,2,2
3,1,3,15
4,1,1,13
5,1,2,4
6,1,3,8
7,1,1,10
8,1,2,2
9,1,3,9
10,1,1,6
11,1,2,19
12,1,3,12
13,1,1,16
14,1,2,14
15,1,3,19
16,1,1,15
17,1,2,18
18,1,3,10
19,1,1,15
20,1,2,16
21,1,3,11
22,1,1,3
23,1,2,13
24,1,3,12
25,1,1,8
26,1,2,5
27,1,3,17
28,1,1,17
29,1,2,7
30,1,3,4
31,1,1,11
32,1,2,4
33,1,3,14
34,1,1,5
35,1,2,12
36,1,3,2
37,1,1,1
38,1,2,10
39,1,3,7
40,1,1,8
41,1,2,3
42,1,3,16
43,1,1,1
44,1,2,6
45,1,3,3
46,1,1,13
47,1,2,5
48,1,3,1
49,1,1,18
50,1,2,9
51,1,3,18
52,1,1,19
53,1,2,17
54,1,3,9
55,1,1,14
56,1,2,11
57,1,3,7
58,2,1,16
59,2,2,14
60,2,3,6
61,2,1,4
62,2,2,13
63,2,3,19
64,2,1,7
65,2,2,7
66,2,3,17
67,2,1,10
68,2,2,11
69,2,3,5
70,2,1,19
71,2,2,12
72,2,3,13
73,2,1,3
74,2,2,6
75,2,3,15
76,2,1,9
77,2,2,17
78,2,3,3
79,2,1,2
80,2,2,1
81,2,3,5
82,2,1,17
83,2,2,16
84,2,3,6
85,2,1,4
86,2,2,9
87,2,3,10
88,2,1,12
89,2,2,3
90,2,3,16
91,2,1,5
92,2,2,10
93,2,3,13
94,2,1,2
95,2,2,18
96,2,3,11
97,2,1,9
98,2,2,1
99,2,3,18
100,2,1,14
101,2,2,15
102,2,3,4
103,2,1,11
104,2,2,15
105,2,3,2
106,2,1,7
107,2,2,8
108,2,3,8
109,2,1,12
110,2,2,8
111,2,3,1
112,2,1,18
113,2,2,19
114,2,3,14
