"","A","B","C","D","E","F","G","H","J","K","L","M","N","O","P","Q","R","S","T","U","V"
"1","2","2","1","2","1","2","2","1","3","4","2","2","3","4","2","3","2","6","7","6","5"
"2","2","1","1","1","1","1","1","1","4","4","3","2","4","2","2","2","4","7","4","2","4"
"3","2","2","2","2","2","1","2","2","1","4","4","2","1","1","3","3","3","3","6","4","4"
"4","1","2","1","2","2","2","2","1","1","3","2","2","1","2","4","2","4","4","1","7","1"
"5","2","1","2","2","1","2","1","2","2","2","2","3","4","2","2","3","1","3","3","7","8"
"6","2","2","1","1","2","1","2","2","2","2","1","1","4","4","4","1","1","4","7","1","4"
"7","1","1","2","2","2","2","1","2","4","1","2","3","2","4","4","2","3","5","5","6","4"
"8","1","2","1","1","1","1","1","1","4","2","4","2","1","1","4","4","1","2","3","6","3"
"9","1","1","2","2","2","2","2","1","4","2","3","4","1","3","2","2","1","1","7","4","7"
"10","2","1","2","2","1","1","1","1","3","2","2","1","1","3","1","4","2","8","1","3","4"
"11","1","1","1","1","2","1","1","1","2","3","3","2","2","4","4","3","2","1","6","3","8"
"12","2","2","1","2","1","2","1","2","3","3","3","1","4","3","4","3","4","2","5","4","2"
"13","1","1","1","1","2","2","2","1","3","4","2","3","4","2","1","4","3","2","6","1","7"
"14","2","1","1","2","2","2","1","2","1","2","4","1","3","2","4","4","3","1","4","5","5"
"15","1","1","1","2","1","1","2","2","2","2","1","4","3","2","3","2","4","8","6","6","2"
"16","2","2","2","2","2","2","2","1","4","4","4","4","4","4","4","4","4","8","8","8","8"
"17","1","2","2","1","2","1","2","2","3","1","3","3","1","2","4","3","1","8","2","2","5"
"18","2","2","2","2","2","2","1","2","4","3","1","3","3","3","2","4","2","4","6","2","3"
"19","1","1","1","2","1","1","1","1","2","1","4","3","4","1","1","2","2","4","8","4","5"
"20","1","2","2","2","1","1","2","2","3","3","4","2","3","3","1","2","1","5","4","1","8"
"21","2","2","2","1","1","1","1","1","1","1","2","4","4","3","4","2","1","6","6","5","6"
"22","2","1","2","1","2","2","2","1","2","3","4","1","1","4","1","2","3","6","3","2","2"
"23","1","1","1","1","2","2","1","2","3","3","3","4","3","1","3","4","1","6","8","7","4"
"24","1","2","2","1","2","1","1","1","3","2","2","4","2","1","2","3","3","4","4","8","2"
"25","1","1","2","1","1","2","2","1","4","4","4","1","3","2","3","3","1","4","5","3","6"
"26","2","1","1","1","1","2","2","1","1","3","2","3","2","4","3","1","1","8","4","4","3"
"27","2","2","1","1","2","2","2","1","3","2","1","3","1","1","3","2","2","7","5","5","8"
"28","2","1","1","2","2","1","1","1","4","2","4","3","2","3","3","3","4","6","2","1","1"
"29","1","1","2","2","2","1","1","1","1","1","2","1","3","1","3","1","4","2","7","2","8"
"30","2","2","2","1","1","2","2","1","4","2","3","1","2","1","1","1","4","5","6","7","5"
"31","2","1","2","2","1","2","2","1","2","1","3","4","3","1","4","3","3","7","1","1","3"
"32","1","2","2","1","2","2","1","2","2","2","2","2","3","4","1","4","4","7","2","4","6"
"33","2","1","2","1","2","1","2","2","3","3","4","3","4","1","2","1","4","1","1","6","6"
"34","1","2","2","2","1","2","2","1","2","3","4","4","2","2","2","1","2","2","2","5","4"
"35","1","1","2","1","1","1","2","2","1","4","4","3","2","3","4","4","2","7","7","7","2"
"36","2","1","1","2","2","1","2","2","4","1","1","4","1","4","1","3","2","2","4","7","6"
"37","1","2","1","1","1","2","1","2","1","2","4","4","4","4","3","3","2","5","1","2","7"
"38","2","2","1","2","1","1","2","2","2","4","2","4","2","1","1","4","1","1","5","2","1"
"39","1","1","2","1","1","1","1","1","1","3","1","4","1","4","2","4","4","3","5","1","5"
"40","1","2","1","2","2","2","1","2","1","4","3","1","2","1","2","2","2","8","3","1","6"
"41","1","2","2","2","1","1","1","1","3","4","1","1","4","4","3","2","3","1","2","7","3"
"42","1","1","2","1","1","2","1","2","4","3","1","2","4","1","1","3","3","8","7","5","1"
"43","1","1","1","2","1","2","2","1","3","2","1","2","2","3","4","1","3","3","8","2","6"
"44","2","2","2","2","2","1","1","1","1","3","1","1","2","2","1","3","1","7","8","6","7"
"45","2","2","1","1","2","1","1","1","2","1","4","2","3","3","2","1","3","8","5","7","7"
"46","2","1","1","2","2","2","2","1","1","1","1","2","4","1","2","4","1","5","2","3","2"
"47","2","1","2","1","2","1","1","1","3","4","1","4","3","2","4","1","2","5","3","4","1"
"48","1","1","1","1","2","1","2","2","2","4","2","1","1","3","2","3","4","5","8","5","3"
"49","1","1","1","2","1","2","1","2","3","1","4","1","1","4","2","1","1","7","6","8","1"
"50","2","1","1","1","1","1","2","2","4","3","2","1","3","1","4","2","2","3","2","8","7"
"51","2","1","2","2","1","1","2","2","3","1","3","2","2","4","3","4","4","4","3","5","7"
"52","1","2","1","1","1","1","2","2","4","1","1","1","2","2","2","4","3","6","1","4","8"
"53","1","2","1","1","1","2","2","1","1","1","1","3","3","3","1","3","4","1","3","8","4"
"54","2","1","1","1","1","2","1","2","1","4","3","4","1","3","1","1","3","4","2","6","8"
"55","2","2","1","1","2","2","1","2","3","1","4","4","2","2","1","2","4","3","7","3","3"
"56","1","2","2","2","1","2","1","2","2","4","1","3","1","1","4","1","4","6","4","3","7"
"57","1","1","2","2","2","1","2","2","1","2","3","2","4","2","1","1","2","6","5","8","3"
"58","2","2","2","1","1","1","2","2","1","2","3","3","3","4","2","2","3","2","8","3","1"
"59","2","1","2","1","2","2","1","2","2","4","1","2","2","3","3","2","1","2","1","8","5"
"60","1","2","1","2","2","1","1","1","4","4","3","3","3","4","1","1","1","3","1","5","2"
"61","1","2","1","2","2","1","2","2","4","3","2","4","4","3","3","1","3","7","3","3","5"
"62","2","2","1","2","1","1","1","1","2","3","3","3","1","2","3","4","3","5","7","8","6"
"63","2","2","2","1","1","2","1","2","4","1","2","2","1","2","3","1","2","1","8","1","2"
"64","1","2","2","1","2","2","2","1","2","1","3","1","4","3","3","4","2","3","4","6","1"
