"","A","B","C","D","E","F","G"
"1","2","1","2","3","1","2","4"
"2","2","2","1","3","2","4","1"
"3","2","1","2","1","3","4","2"
"4","1","2","2","3","4","1","2"
"5","2","1","2","4","2","1","3"
"6","1","2","2","2","1","4","3"
"7","2","2","1","1","4","2","3"
"8","2","2","1","4","1","3","2"
"9","1","2","2","4","3","2","1"
"10","1","1","1","3","3","3","3"
"11","2","2","1","2","3","1","4"
"12","2","1","2","2","4","3","1"
"13","1","1","1","2","2","2","2"
"14","1","1","1","4","4","4","4"
"15","1","2","2","1","2","3","4"
"16","1","1","1","1","1","1","1"
